date,TRIP
2011-01-01,75
2011-01-02,81
2011-01-03,79
2011-01-04,79
2011-01-05,82
2011-01-06,79
2011-01-07,80
2011-01-08,80
2011-01-09,83
2011-01-10,84
2011-01-11,81
2011-01-12,84
2011-01-13,80
2011-01-14,76
2011-01-15,79
2011-01-16,86
2011-01-17,80
2011-01-18,80
2011-01-19,80
2011-01-20,79
2011-01-21,77
2011-01-22,78
2011-01-23,83
2011-01-24,80
2011-01-25,78
2011-01-26,75
2011-01-27,77
2011-01-28,77
2011-01-29,77
2011-01-30,79
2011-01-31,76
2011-02-01,74
2011-02-02,74
2011-02-03,74
2011-02-04,74
2011-02-05,75
2011-02-06,79
2011-02-07,75
2011-02-08,79
2011-02-09,75
2011-02-10,75
2011-02-11,72
2011-02-12,76
2011-02-13,81
2011-02-14,73
2011-02-15,76
2011-02-16,75
2011-02-17,77
2011-02-18,73
2011-02-19,74
2011-02-20,77
2011-02-21,79
2011-02-22,76
2011-02-23,76
2011-02-24,77
2011-02-25,75
2011-02-26,75
2011-02-27,77
2011-02-28,76
2011-03-01,76
2011-03-02,74
2011-03-03,77
2011-03-04,74
2011-03-05,78
2011-03-06,78
2011-03-07,80
2011-03-08,77
2011-03-09,76
2011-03-10,74
2011-03-11,72
2011-03-12,68
2011-03-13,73
2011-03-14,73
2011-03-15,74
2011-03-16,75
2011-03-17,73
2011-03-18,75
2011-03-19,75
2011-03-20,75
2011-03-21,80
2011-03-22,78
2011-03-23,77
2011-03-24,74
2011-03-25,74
2011-03-26,75
2011-03-27,76
2011-03-28,79
2011-03-29,76
2011-03-30,73
2011-03-31,74
2011-04-01,72
2011-04-02,70
2011-04-03,78
2011-04-04,78
2011-04-05,79
2011-04-06,78
2011-04-07,76
2011-04-08,77
2011-04-09,76
2011-04-10,77
2011-04-11,81
2011-04-12,79
2011-04-13,80
2011-04-14,79
2011-04-15,76
2011-04-16,76
2011-04-17,82
2011-04-18,83
2011-04-19,83
2011-04-20,81
2011-04-21,77
2011-04-22,75
2011-04-23,76
2011-04-24,76
2011-04-25,87
2011-04-26,79
2011-04-27,75
2011-04-28,75
2011-04-29,72
2011-04-30,76
2011-05-01,80
2011-05-02,80
2011-05-03,81
2011-05-04,81
2011-05-05,79
2011-05-06,75
2011-05-07,81
2011-05-08,82
2011-05-09,85
2011-05-10,85
2011-05-11,84
2011-05-12,84
2011-05-13,79
2011-05-14,80
2011-05-15,89
2011-05-16,86
2011-05-17,85
2011-05-18,85
2011-05-19,82
2011-05-20,80
2011-05-21,84
2011-05-22,89
2011-05-23,89
2011-05-24,88
2011-05-25,89
2011-05-26,89
2011-05-27,89
2011-05-28,93
2011-05-29,96
2011-05-30,96
2011-05-31,94
2011-06-01,92
2011-06-02,95
2011-06-03,90
2011-06-04,92
2011-06-05,99
2011-06-06,90
2011-06-07,88
2011-06-08,90
2011-06-09,86
2011-06-10,88
2011-06-11,94
2011-06-12,100
2011-06-13,96
2011-06-14,88
2011-06-15,87
2011-06-16,85
2011-06-17,84
2011-06-18,90
2011-06-19,93
2011-06-20,91
2011-06-21,90
2011-06-22,93
2011-06-23,89
2011-06-24,87
2011-06-25,90
2011-06-26,96
2011-06-27,93
2011-06-28,92
2011-06-29,90
2011-06-30,90
2011-07-01,88
2011-07-02,91
2011-07-03,93
2011-07-04,93
2011-07-05,93
2011-07-06,92
2011-07-07,94
2011-07-08,92
2011-07-09,93
2011-07-10,99
2011-07-11,97
2011-07-12,97
2011-07-13,91
2011-07-14,91
2011-07-15,89
2011-07-16,95
2011-07-17,100
2011-07-18,99
2011-07-19,95
2011-07-20,94
2011-07-21,90
2011-07-22,88
2011-07-23,92
2011-07-24,95
2011-07-25,97
2011-07-26,95
2011-07-27,94
2011-07-28,92
2011-07-29,88
2011-07-30,88
2011-07-31,94
2011-08-01,95
2011-08-02,97
2011-08-03,95
2011-08-04,93
2011-08-05,89
2011-08-06,93
2011-08-07,95
2011-08-08,95
2011-08-09,91
2011-08-10,90
2011-08-11,89
2011-08-12,89
2011-08-13,90
2011-08-14,94
2011-08-15,93
2011-08-16,91
2011-08-17,88
2011-08-18,85
2011-08-19,84
2011-08-20,85
2011-08-21,89
2011-08-22,87
2011-08-23,87
2011-08-24,85
2011-08-25,81
2011-08-26,84
2011-08-27,84
2011-08-28,87
2011-08-29,90
2011-08-30,94
2011-08-31,87
2011-09-01,87
2011-09-02,88
2011-09-03,90
2011-09-04,93
2011-09-05,90
2011-09-06,87
2011-09-07,84
2011-09-08,83
2011-09-09,80
2011-09-10,82
2011-09-11,82
2011-09-12,85
2011-09-13,84
2011-09-14,85
2011-09-15,81
2011-09-16,82
2011-09-17,84
2011-09-18,83
