date,price
2011-05-11,84
2011-05-12,86
2011-05-13,81
2011-05-14,83
2011-05-15,77
2011-05-16,83
2011-05-17,83
2011-05-18,82
2011-05-19,81
2011-05-20,81
2011-05-21,80
2011-05-22,75
2011-05-23,80
2011-05-24,80
2011-05-25,80
2011-05-26,80
2011-05-27,81
2011-05-28,82
2011-05-29,77
2011-05-30,80
2011-05-31,82
2011-06-01,83
2011-06-02,86
2011-06-03,82
2011-06-04,82
2011-06-05,77
2011-06-06,80
2011-06-07,82
2011-06-08,82
2011-06-09,81
2011-06-10,81
2011-06-11,83
2011-06-12,79
2011-06-13,83
2011-06-14,81
2011-06-15,82
2011-06-16,81
2011-06-17,81
2011-06-18,83
2011-06-19,79
2011-06-20,82
2011-06-21,82
2011-06-22,84
2011-06-23,85
2011-06-24,85
2011-06-25,84
2011-06-26,80
2011-06-27,85
2011-06-28,84
2011-06-29,85
2011-06-30,83
2011-07-01,83
2011-07-02,84
2011-07-03,79
2011-07-04,80
2011-07-05,81
2011-07-06,83
2011-07-07,84
2011-07-08,85
2011-07-09,87
2011-07-10,81
2011-07-11,85
2011-07-12,86
2011-07-13,89
2011-07-14,87
2011-07-15,86
2011-07-16,89
2011-07-17,83
2011-07-18,87
2011-07-19,86
2011-07-20,88
2011-07-21,86
2011-07-22,86
2011-07-23,86
2011-07-24,81
2011-07-25,87
2011-07-26,86
2011-07-27,86
2011-07-28,86
2011-07-29,87
2011-07-30,88
2011-07-31,84
2011-08-01,85
2011-08-02,87
2011-08-03,89
2011-08-04,91
2011-08-05,95
2011-08-06,90
2011-08-07,84
2011-08-08,100
2011-08-09,100
2011-08-10,96
2011-08-11,95
2011-08-12,91
2011-08-13,90
2011-08-14,85
2011-08-15,87
2011-08-16,90
2011-08-17,90
2011-08-18,91
2011-08-19,93
2011-08-20,94
2011-08-21,86
2011-08-22,90
2011-08-23,90
2011-08-24,91
2011-08-25,91
2011-08-26,90
2011-08-27,86
2011-08-28,81
2011-08-29,87
2011-08-30,86
2011-08-31,85
2011-09-01,84
2011-09-02,88
2011-09-03,88
2011-09-04,84
2011-09-05,86
2011-09-06,88
2011-09-07,88
2011-09-08,87
2011-09-09,87
2011-09-10,85
2011-09-11,80
2011-09-12,85
2011-09-13,85
2011-09-14,84
2011-09-15,87
2011-09-16,88
2011-09-17,88
2011-09-18,80
2011-09-19,87
2011-09-20,84
2011-09-21,84
2011-09-22,89
2011-09-23,91
2011-09-24,88
2011-09-25,88
2011-09-26,99
2011-09-27,93
2011-09-28,90
2011-09-29,91
2011-09-30,90
2011-10-01,88
2011-10-02,82
2011-10-03,90
2011-10-04,94
2011-10-05,97
2011-10-06,91
2011-10-07,92
2011-10-08,88
2011-10-09,84
2011-10-10,89
2011-10-11,91
2011-10-12,88
2011-10-13,87
2011-10-14,87
2011-10-15,88
2011-10-16,82
2011-10-17,88
2011-10-18,90
2011-10-19,88
2011-10-20,87
2011-10-21,87
2011-10-22,88
2011-10-23,83
2011-10-24,90
2011-10-25,85
2011-10-26,80
2011-10-27,86
2011-10-28,86
2011-10-29,85
2011-10-30,79
2011-10-31,86
2011-11-01,87
2011-11-02,86
2011-11-03,85
2011-11-04,84
2011-11-05,83
2011-11-06,79
2011-11-07,85
2011-11-08,86
2011-11-09,87
2011-11-10,85
2011-11-11,86
2011-11-12,85
2011-11-13,84
2011-11-14,89
2011-11-15,89
2011-11-16,88
2011-11-17,88
2011-11-18,87
2011-11-19,85
2011-11-20,82
2011-11-21,91
2011-11-22,91
2011-11-23,89
2011-11-24,87
2011-11-25,97
2011-11-26,92
2011-11-27,88
2011-11-28,94
2011-11-29,92
2011-11-30,92
2011-12-01,91
2011-12-02,91
2011-12-03,91
2011-12-04,86
2011-12-05,93
2011-12-06,91
2011-12-07,90
2011-12-08,91
2011-12-09,91
2011-12-10,93
2011-12-11,87
2011-12-12,90
2011-12-13,91
2011-12-14,90
2011-12-15,91
2011-12-16,92
2011-12-17,92
2011-12-18,85
2011-12-19,91
2011-12-20,91
2011-12-21,90
2011-12-22,90
2011-12-23,89
2011-12-24,84
2011-12-25,83
2011-12-26,92
2011-12-27,90
2011-12-28,93
2011-12-29,92
2011-12-30,93
2011-12-31,84
2012-01-01,81
2012-01-02,87
2012-01-03,89
2012-01-04,87
2012-01-05,87
2012-01-06,89
2012-01-07,87
2012-01-08,81
2012-01-09,87
2012-01-10,85
2012-01-11,85
2012-01-12,84
2012-01-13,83
2012-01-14,83
2012-01-15,79
2012-01-16,83
2012-01-17,85
2012-01-18,82
2012-01-19,84
2012-01-20,86
2012-01-21,85
2012-01-22,79
2012-01-23,84
2012-01-24,83
2012-01-25,85
2012-01-26,81
