date,price
2016-07-30,78
2016-07-31,73
2016-08-01,78
2016-08-02,80
2016-08-03,79
2016-08-04,79
2016-08-05,80
2016-08-06,78
2016-08-07,72
2016-08-08,77
2016-08-09,76
2016-08-10,77
2016-08-11,77
2016-08-12,76
2016-08-13,75
2016-08-14,70
2016-08-15,74
2016-08-16,76
2016-08-17,75
2016-08-18,73
2016-08-19,76
2016-08-20,74
2016-08-21,72
2016-08-22,78
2016-08-23,78
2016-08-24,77
2016-08-25,78
2016-08-26,77
2016-08-27,77
2016-08-28,74
2016-08-29,74
2016-08-30,77
2016-08-31,78
2016-09-01,77
2016-09-02,80
2016-09-03,77
2016-09-04,74
2016-09-05,73
2016-09-06,77
2016-09-07,85
2016-09-08,94
2016-09-09,87
2016-09-10,82
2016-09-11,75
2016-09-12,77
2016-09-13,73
2016-09-14,76
2016-09-15,79
2016-09-16,82
2016-09-17,79
2016-09-18,75
2016-09-19,78
2016-09-20,77
2016-09-21,79
2016-09-22,76
2016-09-23,78
2016-09-24,76
2016-09-25,74
2016-09-26,75
2016-09-27,75
2016-09-28,78
2016-09-29,78
2016-09-30,78
2016-10-01,77
2016-10-02,74
2016-10-03,80
2016-10-04,81
2016-10-05,83
2016-10-06,80
2016-10-07,81
2016-10-08,80
2016-10-09,75
2016-10-10,78
2016-10-11,76
2016-10-12,80
2016-10-13,80
2016-10-14,82
2016-10-15,80
2016-10-16,76
2016-10-17,78
2016-10-18,82
2016-10-19,78
2016-10-20,80
2016-10-21,81
2016-10-22,79
2016-10-23,76
2016-10-24,79
2016-10-25,80
2016-10-26,80
2016-10-27,81
2016-10-28,83
2016-10-29,77
2016-10-30,70
2016-10-31,73
2016-11-01,76
2016-11-02,79
2016-11-03,78
2016-11-04,78
2016-11-05,75
2016-11-06,70
2016-11-07,77
2016-11-08,72
2016-11-09,77
2016-11-10,75
2016-11-11,79
2016-11-12,73
2016-11-13,68
2016-11-14,74
2016-11-15,76
2016-11-16,78
2016-11-17,77
2016-11-18,77
2016-11-19,75
2016-11-20,71
2016-11-21,75
2016-11-22,78
2016-11-23,78
2016-11-24,81
2016-11-25,83
2016-11-26,78
2016-11-27,75
2016-11-28,82
2016-11-29,79
2016-11-30,79
2016-12-01,80
2016-12-02,80
2016-12-03,77
2016-12-04,75
2016-12-05,78
2016-12-06,78
2016-12-07,79
2016-12-08,82
2016-12-09,79
2016-12-10,75
2016-12-11,74
2016-12-12,78
2016-12-13,79
2016-12-14,80
2016-12-15,82
2016-12-16,83
2016-12-17,81
2016-12-18,76
2016-12-19,81
2016-12-20,81
2016-12-21,87
2016-12-22,85
2016-12-23,84
2016-12-24,82
2016-12-25,77
2016-12-26,83
2016-12-27,82
2016-12-28,84
2016-12-29,83
2016-12-30,84
2016-12-31,75
2017-01-01,74
2017-01-02,81
2017-01-03,83
2017-01-04,82
2017-01-05,85
2017-01-06,83
2017-01-07,80
2017-01-08,78
2017-01-09,82
2017-01-10,80
2017-01-11,80
2017-01-12,77
2017-01-13,79
2017-01-14,77
2017-01-15,74
2017-01-16,79
2017-01-17,82
2017-01-18,79
2017-01-19,79
2017-01-20,79
2017-01-21,80
2017-01-22,76
2017-01-23,80
2017-01-24,82
2017-01-25,80
2017-01-26,76
2017-01-27,82
2017-01-28,79
2017-01-29,76
2017-01-30,78
2017-01-31,80
2017-02-01,78
2017-02-02,80
2017-02-03,82
2017-02-04,80
2017-02-05,75
2017-02-06,81
2017-02-07,79
2017-02-08,80
2017-02-09,80
2017-02-10,81
2017-02-11,78
2017-02-12,75
2017-02-13,79
2017-02-14,76
2017-02-15,80
2017-02-16,80
2017-02-17,80
2017-02-18,77
2017-02-19,76
2017-02-20,80
2017-02-21,81
2017-02-22,82
2017-02-23,80
2017-02-24,79
2017-02-25,79
2017-02-26,76
2017-02-27,85
2017-02-28,85
2017-03-01,82
2017-03-02,85
2017-03-03,85
2017-03-04,79
2017-03-05,77
2017-03-06,80
2017-03-07,80
2017-03-08,79
2017-03-09,80
2017-03-10,81
2017-03-11,76
2017-03-12,72
2017-03-13,70
2017-03-14,79
2017-03-15,80
2017-03-16,81
2017-03-17,81
2017-03-18,78
2017-03-19,76
2017-03-20,81
2017-03-21,81
2017-03-22,80
2017-03-23,83
2017-03-24,86
2017-03-25,79
2017-03-26,78
2017-03-27,80
2017-03-28,82
2017-03-29,86
2017-03-30,91
2017-03-31,100
2017-04-01,83
2017-04-02,80
2017-04-03,83
2017-04-04,79
2017-04-05,82
2017-04-06,81
2017-04-07,82
2017-04-08,79
2017-04-09,77
2017-04-10,80
2017-04-11,82
2017-04-12,86
2017-04-13,84
2017-04-14,80
