date,MYL
2015-08-18,70
2015-08-19,66
2015-08-20,77
2015-08-21,69
2015-08-22,49
2015-08-23,37
2015-08-24,68
2015-08-25,77
2015-08-26,39
2015-08-27,68
2015-08-28,54
2015-08-29,46
2015-08-30,59
2015-08-31,87
2015-09-01,66
2015-09-02,71
2015-09-03,56
2015-09-04,79
2015-09-05,62
2015-09-06,62
2015-09-07,65
2015-09-08,70
2015-09-09,66
2015-09-10,58
2015-09-11,78
2015-09-12,72
2015-09-13,63
2015-09-14,88
2015-09-15,90
2015-09-16,65
2015-09-17,52
2015-09-18,52
2015-09-19,75
2015-09-20,63
2015-09-21,67
2015-09-22,65
2015-09-23,69
2015-09-24,66
2015-09-25,82
2015-09-26,71
2015-09-27,75
2015-09-28,68
2015-09-29,61
2015-09-30,77
2015-10-01,46
2015-10-02,71
2015-10-03,84
2015-10-04,75
2015-10-05,100
2015-10-06,70
2015-10-07,84
2015-10-08,62
2015-10-09,69
2015-10-10,64
2015-10-11,58
2015-10-12,81
2015-10-13,53
2015-10-14,63
2015-10-15,54
2015-10-16,56
2015-10-17,51
2015-10-18,55
2015-10-19,62
2015-10-20,60
2015-10-21,73
2015-10-22,63
2015-10-23,79
2015-10-24,65
2015-10-25,58
2015-10-26,58
2015-10-27,72
2015-10-28,72
2015-10-29,75
2015-10-30,86
2015-10-31,46
2015-11-01,55
2015-11-02,70
2015-11-03,62
2015-11-04,59
2015-11-05,80
2015-11-06,62
2015-11-07,56
2015-11-08,48
2015-11-09,66
2015-11-10,67
2015-11-11,83
2015-11-12,65
2015-11-13,100
2015-11-14,50
2015-11-15,45
2015-11-16,72
2015-11-17,53
2015-11-18,69
2015-11-19,64
2015-11-20,73
2015-11-21,58
2015-11-22,65
2015-11-23,69
2015-11-24,48
2015-11-25,68
2015-11-26,48
2015-11-27,67
2015-11-28,52
2015-11-29,44
2015-11-30,56
2015-12-01,61
2015-12-02,66
2015-12-03,63
2015-12-04,52
2015-12-05,60
2015-12-06,40
2015-12-07,65
2015-12-08,60
2015-12-09,57
2015-12-10,57
2015-12-11,39
2015-12-12,54
2015-12-13,46
2015-12-14,62
2015-12-15,67
2015-12-16,55
2015-12-17,35
2015-12-18,46
2015-12-19,44
2015-12-20,44
2015-12-21,59
2015-12-22,50
2015-12-23,42
2015-12-24,32
2015-12-25,51
2015-12-26,45
2015-12-27,48
2015-12-28,66
2015-12-29,62
2015-12-30,51
2015-12-31,47
2016-01-01,34
2016-01-02,39
2016-01-03,50
2016-01-04,53
2016-01-05,58
2016-01-06,74
2016-01-07,36
2016-01-08,63
2016-01-09,46
2016-01-10,37
2016-01-11,52
2016-01-12,59
2016-01-13,58
2016-01-14,58
2016-01-15,47
2016-01-16,49
2016-01-17,41
2016-01-18,36
2016-01-19,59
2016-01-20,61
2016-01-21,44
2016-01-22,51
2016-01-23,32
2016-01-24,33
2016-01-25,46
2016-01-26,46
2016-01-27,49
2016-01-28,55
2016-01-29,51
2016-01-30,52
2016-01-31,42
2016-02-01,55
2016-02-02,60
2016-02-03,43
2016-02-04,38
2016-02-05,61
2016-02-06,43
2016-02-07,44
2016-02-08,43
2016-02-09,56
2016-02-10,66
2016-02-11,77
2016-02-12,82
2016-02-13,47
2016-02-14,58
2016-02-15,55
2016-02-16,54
2016-02-17,49
2016-02-18,57
2016-02-19,58
2016-02-20,42
2016-02-21,72
2016-02-22,64
2016-02-23,51
2016-02-24,57
2016-02-25,66
2016-02-26,59
2016-02-27,41
2016-02-28,65
2016-02-29,54
2016-03-01,63
2016-03-02,62
2016-03-03,58
2016-03-04,41
2016-03-05,35
2016-03-06,41
2016-03-07,49
2016-03-08,51
2016-03-09,41
2016-03-10,68
2016-03-11,44
2016-03-12,43
2016-03-13,51
2016-03-14,42
2016-03-15,63
2016-03-16,39
2016-03-17,61
2016-03-18,62
2016-03-19,60
2016-03-20,58
2016-03-21,64
2016-03-22,54
2016-03-23,71
2016-03-24,58
2016-03-25,43
2016-03-26,41
2016-03-27,55
2016-03-28,64
2016-03-29,59
2016-03-30,57
2016-03-31,67
2016-04-01,44
2016-04-02,57
2016-04-03,40
2016-04-04,42
2016-04-05,71
2016-04-06,55
2016-04-07,61
2016-04-08,64
2016-04-09,40
2016-04-10,57
2016-04-11,56
2016-04-12,66
2016-04-13,51
2016-04-14,64
2016-04-15,78
2016-04-16,47
2016-04-17,45
2016-04-18,49
2016-04-19,52
2016-04-20,50
2016-04-21,59
2016-04-22,45
2016-04-23,47
2016-04-24,56
2016-04-25,49
2016-04-26,60
2016-04-27,55
2016-04-28,50
2016-04-29,42
2016-04-30,31
2016-05-01,59
2016-05-02,53
2016-05-03,60
2016-05-04,40
