date,MYL
2014-12-01,59
2014-12-02,98
2014-12-03,64
2014-12-04,57
2014-12-05,71
2014-12-06,87
2014-12-07,52
2014-12-08,81
2014-12-09,59
2014-12-10,69
2014-12-11,48
2014-12-12,56
2014-12-13,72
2014-12-14,45
2014-12-15,55
2014-12-16,55
2014-12-17,53
2014-12-18,38
2014-12-19,57
2014-12-20,37
2014-12-21,70
2014-12-22,48
2014-12-23,55
2014-12-24,49
2014-12-25,51
2014-12-26,38
2014-12-27,48
2014-12-28,64
2014-12-29,57
2014-12-30,67
2014-12-31,70
2015-01-01,47
2015-01-02,70
2015-01-03,59
2015-01-04,44
2015-01-05,45
2015-01-06,46
2015-01-07,34
2015-01-08,52
2015-01-09,27
2015-01-10,53
2015-01-11,48
2015-01-12,52
2015-01-13,43
2015-01-14,50
2015-01-15,32
2015-01-16,48
2015-01-17,45
2015-01-18,40
2015-01-19,35
2015-01-20,52
2015-01-21,39
2015-01-22,51
2015-01-23,56
2015-01-24,54
2015-01-25,56
2015-01-26,28
2015-01-27,49
2015-01-28,54
2015-01-29,37
2015-01-30,50
2015-01-31,31
2015-02-01,40
2015-02-02,31
2015-02-03,53
2015-02-04,34
2015-02-05,51
2015-02-06,61
2015-02-07,41
2015-02-08,42
2015-02-09,42
2015-02-10,42
2015-02-11,57
2015-02-12,35
2015-02-13,46
2015-02-14,47
2015-02-15,41
2015-02-16,46
2015-02-17,57
2015-02-18,61
2015-02-19,40
2015-02-20,55
2015-02-21,50
2015-02-22,46
2015-02-23,42
2015-02-24,42
2015-02-25,60
2015-02-26,46
2015-02-27,58
2015-02-28,35
2015-03-01,48
2015-03-02,59
2015-03-03,55
2015-03-04,54
2015-03-05,48
2015-03-06,53
2015-03-07,20
2015-03-08,39
2015-03-09,27
2015-03-10,50
2015-03-11,56
2015-03-12,46
2015-03-13,36
2015-03-14,49
2015-03-15,45
2015-03-16,67
2015-03-17,42
2015-03-18,45
2015-03-19,45
2015-03-20,48
2015-03-21,39
2015-03-22,71
2015-03-23,42
2015-03-24,56
2015-03-25,50
2015-03-26,58
2015-03-27,54
2015-03-28,41
2015-03-29,48
2015-03-30,53
2015-03-31,50
2015-04-01,62
2015-04-02,40
2015-04-03,50
2015-04-04,42
2015-04-05,43
2015-04-06,63
2015-04-07,33
2015-04-08,83
2015-04-09,75
2015-04-10,67
2015-04-11,68
2015-04-12,69
2015-04-13,77
2015-04-14,53
2015-04-15,58
2015-04-16,47
2015-04-17,65
2015-04-18,67
2015-04-19,51
2015-04-20,73
2015-04-21,100
2015-04-22,62
2015-04-23,70
2015-04-24,65
2015-04-25,46
2015-04-26,22
2015-04-27,56
2015-04-28,57
2015-04-29,59
2015-04-30,58
2015-05-01,42
2015-05-02,47
2015-05-03,42
2015-05-04,49
2015-05-05,57
2015-05-06,51
2015-05-07,50
2015-05-08,53
2015-05-09,32
2015-05-10,51
2015-05-11,54
2015-05-12,52
2015-05-13,48
2015-05-14,48
2015-05-15,51
2015-05-16,54
2015-05-17,38
2015-05-18,57
2015-05-19,57
2015-05-20,67
2015-05-21,49
2015-05-22,41
2015-05-23,52
2015-05-24,47
2015-05-25,44
2015-05-26,29
2015-05-27,41
2015-05-28,37
2015-05-29,50
2015-05-30,50
2015-05-31,43
2015-06-01,37
2015-06-02,43
2015-06-03,47
2015-06-04,50
2015-06-05,48
2015-06-06,45
2015-06-07,35
2015-06-08,60
2015-06-09,51
2015-06-10,52
2015-06-11,39
2015-06-12,50
2015-06-13,30
2015-06-14,33
2015-06-15,29
2015-06-16,45
2015-06-17,53
2015-06-18,29
2015-06-19,35
2015-06-20,47
2015-06-21,54
2015-06-22,53
2015-06-23,44
2015-06-24,44
2015-06-25,38
2015-06-26,51
2015-06-27,45
2015-06-28,58
2015-06-29,37
2015-06-30,48
2015-07-01,54
2015-07-02,67
2015-07-03,62
2015-07-04,44
2015-07-05,41
2015-07-06,55
2015-07-07,51
2015-07-08,33
2015-07-09,36
2015-07-10,58
2015-07-11,42
2015-07-12,41
2015-07-13,39
2015-07-14,48
2015-07-15,46
2015-07-16,52
2015-07-17,44
2015-07-18,36
2015-07-19,30
2015-07-20,50
2015-07-21,43
2015-07-22,36
2015-07-23,51
2015-07-24,31
2015-07-25,26
2015-07-26,40
2015-07-27,76
2015-07-28,53
2015-07-29,64
2015-07-30,45
2015-07-31,43
2015-08-01,54
2015-08-02,41
2015-08-03,36
2015-08-04,49
2015-08-05,52
2015-08-06,51
2015-08-07,58
2015-08-08,52
2015-08-09,39
2015-08-10,44
2015-08-11,43
2015-08-12,36
2015-08-13,35
2015-08-14,38
2015-08-15,33
2015-08-16,35
2015-08-17,45
2015-08-18,31
