date,MYL
2011-09-18,48
2011-09-19,73
2011-09-20,49
2011-09-21,39
2011-09-22,85
2011-09-23,42
2011-09-24,43
2011-09-25,30
2011-09-26,29
2011-09-27,43
2011-09-28,39
2011-09-29,45
2011-09-30,42
2011-10-01,37
2011-10-02,61
2011-10-03,44
2011-10-04,63
2011-10-05,34
2011-10-06,44
2011-10-07,20
2011-10-08,30
2011-10-09,59
2011-10-10,39
2011-10-11,50
2011-10-12,10
2011-10-13,24
2011-10-14,40
2011-10-15,59
2011-10-16,64
2011-10-17,52
2011-10-18,66
2011-10-19,38
2011-10-20,44
2011-10-21,72
2011-10-22,65
2011-10-23,57
2011-10-24,42
2011-10-25,37
2011-10-26,73
2011-10-27,78
2011-10-28,45
2011-10-29,54
2011-10-30,58
2011-10-31,64
2011-11-01,55
2011-11-02,34
2011-11-03,53
2011-11-04,30
2011-11-05,75
2011-11-06,57
2011-11-07,47
2011-11-08,42
2011-11-09,47
2011-11-10,48
2011-11-11,50
2011-11-12,41
2011-11-13,51
2011-11-14,42
2011-11-15,52
2011-11-16,42
2011-11-17,67
2011-11-18,39
2011-11-19,51
2011-11-20,34
2011-11-21,46
2011-11-22,70
2011-11-23,43
2011-11-24,40
2011-11-25,31
2011-11-26,23
2011-11-27,39
2011-11-28,59
2011-11-29,59
2011-11-30,37
2011-12-01,75
2011-12-02,59
2011-12-03,45
2011-12-04,50
2011-12-05,46
2011-12-06,37
2011-12-07,46
2011-12-08,67
2011-12-09,54
2011-12-10,40
2011-12-11,100
2011-12-12,32
2011-12-13,60
2011-12-14,65
2011-12-15,28
2011-12-16,69
2011-12-17,34
2011-12-18,57
2011-12-19,37
2011-12-20,38
2011-12-21,63
2011-12-22,30
2011-12-23,70
2011-12-24,25
2011-12-25,88
2011-12-26,50
2011-12-27,35
2011-12-28,50
2011-12-29,20
2011-12-30,58
2011-12-31,25
2012-01-01,26
2012-01-02,54
2012-01-03,46
2012-01-04,27
2012-01-05,37
2012-01-06,44
2012-01-07,43
2012-01-08,58
2012-01-09,35
2012-01-10,26
2012-01-11,13
2012-01-12,36
2012-01-13,46
2012-01-14,32
2012-01-15,89
2012-01-16,40
2012-01-17,44
2012-01-18,30
2012-01-19,40
2012-01-20,41
2012-01-21,26
2012-01-22,37
2012-01-23,52
2012-01-24,39
2012-01-25,31
2012-01-26,40
2012-01-27,46
2012-01-28,43
2012-01-29,32
2012-01-30,17
2012-01-31,99
2012-02-01,69
2012-02-02,44
2012-02-03,41
2012-02-04,36
2012-02-05,31
2012-02-06,60
2012-02-07,47
2012-02-08,52
2012-02-09,57
2012-02-10,45
2012-02-11,26
2012-02-12,40
2012-02-13,59
2012-02-14,26
2012-02-15,22
2012-02-16,57
2012-02-17,50
2012-02-18,42
2012-02-19,42
2012-02-20,31
2012-02-21,49
2012-02-22,65
2012-02-23,48
2012-02-24,45
2012-02-25,31
2012-02-26,36
2012-02-27,43
2012-02-28,25
2012-02-29,60
2012-03-01,49
2012-03-02,37
2012-03-03,49
2012-03-04,38
2012-03-05,48
2012-03-06,51
2012-03-07,47
2012-03-08,39
2012-03-09,59
2012-03-10,41
2012-03-11,56
2012-03-12,38
2012-03-13,51
2012-03-14,30
2012-03-15,56
2012-03-16,63
2012-03-17,37
2012-03-18,41
2012-03-19,60
2012-03-20,38
2012-03-21,21
2012-03-22,35
2012-03-23,46
2012-03-24,53
2012-03-25,37
2012-03-26,38
2012-03-27,60
2012-03-28,35
2012-03-29,44
2012-03-30,28
2012-03-31,36
2012-04-01,52
2012-04-02,35
2012-04-03,26
2012-04-04,93
2012-04-05,60
2012-04-06,60
2012-04-07,88
2012-04-08,39
2012-04-09,61
2012-04-10,63
2012-04-11,43
2012-04-12,52
2012-04-13,55
2012-04-14,62
2012-04-15,62
2012-04-16,43
2012-04-17,59
2012-04-18,38
2012-04-19,39
2012-04-20,13
2012-04-21,36
2012-04-22,56
2012-04-23,38
2012-04-24,21
2012-04-25,38
2012-04-26,56
2012-04-27,63
2012-04-28,21
2012-04-29,47
2012-04-30,49
2012-05-01,56
2012-05-02,38
2012-05-03,51
2012-05-04,45
2012-05-05,41
2012-05-06,25
2012-05-07,29
2012-05-08,55
2012-05-09,55
2012-05-10,35
2012-05-11,45
2012-05-12,36
2012-05-13,21
2012-05-14,46
2012-05-15,42
2012-05-16,25
2012-05-17,48
2012-05-18,77
2012-05-19,43
2012-05-20,26
2012-05-21,50
2012-05-22,34
2012-05-23,30
2012-05-24,34
2012-05-25,27
2012-05-26,32
2012-05-27,22
2012-05-28,40
2012-05-29,33
2012-05-30,33
2012-05-31,42
2012-06-01,35
2012-06-02,26
2012-06-03,46
2012-06-04,21
