date,MYL
2015-12-26,23
2015-12-27,23
2015-12-28,29
2015-12-29,33
2015-12-30,21
2015-12-31,19
2016-01-01,16
2016-01-02,19
2016-01-03,26
2016-01-04,22
2016-01-05,31
2016-01-06,46
2016-01-07,26
2016-01-08,30
2016-01-09,30
2016-01-10,23
2016-01-11,24
2016-01-12,24
2016-01-13,27
2016-01-14,23
2016-01-15,25
2016-01-16,22
2016-01-17,25
2016-01-18,16
2016-01-19,35
2016-01-20,29
2016-01-21,26
2016-01-22,29
2016-01-23,22
2016-01-24,24
2016-01-25,22
2016-01-26,26
2016-01-27,32
2016-01-28,29
2016-01-29,26
2016-01-30,26
2016-01-31,21
2016-02-01,29
2016-02-02,26
2016-02-03,22
2016-02-04,22
2016-02-05,29
2016-02-06,20
2016-02-07,15
2016-02-08,31
2016-02-09,27
2016-02-10,34
2016-02-11,43
2016-02-12,38
2016-02-13,20
2016-02-14,21
2016-02-15,28
2016-02-16,22
2016-02-17,24
2016-02-18,22
2016-02-19,25
2016-02-20,20
2016-02-21,27
2016-02-22,23
2016-02-23,32
2016-02-24,35
2016-02-25,32
2016-02-26,22
2016-02-27,23
2016-02-28,30
2016-02-29,31
2016-03-01,31
2016-03-02,35
2016-03-03,26
2016-03-04,23
2016-03-05,20
2016-03-06,16
2016-03-07,22
2016-03-08,32
2016-03-09,27
2016-03-10,23
2016-03-11,20
2016-03-12,24
2016-03-13,20
2016-03-14,35
2016-03-15,23
2016-03-16,26
2016-03-17,24
2016-03-18,32
2016-03-19,28
2016-03-20,32
2016-03-21,28
2016-03-22,26
2016-03-23,32
2016-03-24,26
2016-03-25,27
2016-03-26,24
2016-03-27,25
2016-03-28,20
2016-03-29,30
2016-03-30,27
2016-03-31,24
2016-04-01,26
2016-04-02,27
2016-04-03,19
2016-04-04,26
2016-04-05,32
2016-04-06,28
2016-04-07,28
2016-04-08,31
2016-04-09,21
2016-04-10,29
2016-04-11,28
2016-04-12,25
2016-04-13,30
2016-04-14,37
2016-04-15,29
2016-04-16,25
2016-04-17,21
2016-04-18,25
2016-04-19,28
2016-04-20,27
2016-04-21,24
2016-04-22,26
2016-04-23,23
2016-04-24,20
2016-04-25,25
2016-04-26,23
2016-04-27,19
2016-04-28,24
2016-04-29,20
2016-04-30,15
2016-05-01,29
2016-05-02,31
2016-05-03,28
2016-05-04,28
2016-05-05,28
2016-05-06,27
2016-05-07,23
2016-05-08,29
2016-05-09,25
2016-05-10,26
2016-05-11,27
2016-05-12,30
2016-05-13,27
2016-05-14,18
2016-05-15,24
2016-05-16,29
2016-05-17,28
2016-05-18,30
2016-05-19,23
2016-05-20,18
2016-05-21,23
2016-05-22,23
2016-05-23,19
2016-05-24,19
2016-05-25,21
2016-05-26,29
2016-05-27,34
2016-05-28,20
2016-05-29,17
2016-05-30,36
2016-05-31,30
2016-06-01,26
2016-06-02,23
2016-06-03,24
2016-06-04,27
2016-06-05,24
2016-06-06,28
2016-06-07,28
2016-06-08,27
2016-06-09,30
2016-06-10,34
2016-06-11,18
2016-06-12,15
2016-06-13,23
2016-06-14,24
2016-06-15,35
2016-06-16,32
2016-06-17,26
2016-06-18,17
2016-06-19,25
2016-06-20,25
2016-06-21,22
2016-06-22,23
2016-06-23,25
2016-06-24,24
2016-06-25,26
2016-06-26,23
2016-06-27,21
2016-06-28,22
2016-06-29,18
2016-06-30,19
2016-07-01,23
2016-07-02,18
2016-07-03,21
2016-07-04,25
2016-07-05,28
2016-07-06,26
2016-07-07,19
2016-07-08,25
2016-07-09,21
2016-07-10,17
2016-07-11,23
2016-07-12,27
2016-07-13,26
2016-07-14,18
2016-07-15,24
2016-07-16,27
2016-07-17,25
2016-07-18,31
2016-07-19,23
2016-07-20,26
2016-07-21,26
2016-07-22,22
2016-07-23,17
2016-07-24,16
2016-07-25,24
2016-07-26,24
2016-07-27,28
2016-07-28,24
2016-07-29,25
2016-07-30,32
2016-07-31,23
2016-08-01,26
2016-08-02,22
2016-08-03,22
2016-08-04,26
2016-08-05,22
2016-08-06,21
2016-08-07,24
2016-08-08,26
2016-08-09,25
2016-08-10,19
2016-08-11,22
2016-08-12,20
2016-08-13,25
2016-08-14,13
2016-08-15,23
2016-08-16,24
2016-08-17,19
2016-08-18,24
2016-08-19,26
2016-08-20,15
2016-08-21,21
2016-08-22,27
2016-08-23,37
2016-08-24,57
2016-08-25,100
2016-08-26,61
2016-08-27,30
2016-08-28,21
2016-08-29,44
2016-08-30,39
2016-08-31,34
2016-09-01,28
2016-09-02,31
2016-09-03,27
2016-09-04,27
2016-09-05,25
2016-09-06,37
2016-09-07,27
2016-09-08,24
2016-09-09,27
2016-09-10,24
2016-09-11,17
