date,MNST
2016-08-02,8
2016-08-03,25
2016-08-04,51
2016-08-05,33
2016-08-06,7
2016-08-07,7
2016-08-08,12
2016-08-09,17
2016-08-10,6
2016-08-11,6
2016-08-12,6
2016-08-13,10
2016-08-14,7
2016-08-15,6
2016-08-16,21
2016-08-17,6
2016-08-18,6
2016-08-19,6
2016-08-20,10
2016-08-21,7
2016-08-22,12
2016-08-23,6
2016-08-24,17
2016-08-25,10
2016-08-26,12
2016-08-27,7
2016-08-28,7
2016-08-29,8
2016-08-30,11
2016-08-31,8
2016-09-01,10
2016-09-02,9
2016-09-03,7
2016-09-04,7
2016-09-05,6
2016-09-06,8
2016-09-07,6
2016-09-08,9
2016-09-09,10
2016-09-10,7
2016-09-11,7
2016-09-12,0
2016-09-13,8
2016-09-14,8
2016-09-15,9
2016-09-16,12
2016-09-17,7
2016-09-18,6
2016-09-19,11
2016-09-20,14
2016-09-21,8
2016-09-22,11
2016-09-23,6
2016-09-24,7
2016-09-25,6
2016-09-26,32
2016-09-27,9
2016-09-28,15
2016-09-29,8
2016-09-30,8
2016-10-01,6
2016-10-02,6
2016-10-03,7
2016-10-04,5
2016-10-05,11
2016-10-06,6
2016-10-07,11
2016-10-08,13
2016-10-09,6
2016-10-10,24
2016-10-11,5
2016-10-12,8
2016-10-13,7
2016-10-14,6
2016-10-15,0
2016-10-16,6
2016-10-17,5
2016-10-18,12
2016-10-19,5
2016-10-20,5
2016-10-21,9
2016-10-22,6
2016-10-23,13
2016-10-24,14
2016-10-25,5
2016-10-26,32
2016-10-27,9
2016-10-28,9
2016-10-29,6
2016-10-30,6
2016-10-31,9
2016-11-01,9
2016-11-02,25
2016-11-03,25
2016-11-04,19
2016-11-05,6
2016-11-06,18
2016-11-07,16
2016-11-08,11
2016-11-09,26
2016-11-10,100
2016-11-11,32
2016-11-12,12
2016-11-13,12
2016-11-14,21
2016-11-15,21
2016-11-16,16
2016-11-17,9
2016-11-18,20
2016-11-19,8
2016-11-20,12
2016-11-21,18
2016-11-22,25
2016-11-23,21
2016-11-24,7
2016-11-25,19
2016-11-26,12
2016-11-27,12
2016-11-28,15
2016-11-29,12
2016-11-30,9
2016-12-01,16
2016-12-02,22
2016-12-03,8
2016-12-04,6
2016-12-05,24
2016-12-06,24
2016-12-07,16
2016-12-08,16
2016-12-09,11
2016-12-10,9
2016-12-11,6
2016-12-12,21
2016-12-13,9
2016-12-14,14
2016-12-15,13
2016-12-16,28
2016-12-17,8
2016-12-18,9
2016-12-19,11
2016-12-20,7
2016-12-21,13
2016-12-22,13
2016-12-23,12
2016-12-24,20
2016-12-25,14
2016-12-26,6
2016-12-27,11
2016-12-28,17
2016-12-29,9
2016-12-30,18
2016-12-31,13
2017-01-01,0
2017-01-02,11
2017-01-03,11
2017-01-04,14
2017-01-05,13
2017-01-06,9
2017-01-07,12
2017-01-08,16
2017-01-09,24
2017-01-10,10
2017-01-11,14
2017-01-12,16
2017-01-13,13
2017-01-14,8
2017-01-15,10
2017-01-16,12
2017-01-17,19
2017-01-18,17
2017-01-19,7
2017-01-20,14
2017-01-21,0
2017-01-22,6
2017-01-23,21
2017-01-24,12
2017-01-25,12
2017-01-26,12
2017-01-27,16
2017-01-28,9
2017-01-29,6
2017-01-30,14
2017-01-31,8
2017-02-01,5
2017-02-02,10
2017-02-03,19
2017-02-04,18
2017-02-05,9
2017-02-06,20
2017-02-07,19
2017-02-08,13
2017-02-09,10
2017-02-10,29
2017-02-11,6
2017-02-12,18
2017-02-13,18
2017-02-14,14
2017-02-15,14
2017-02-16,10
2017-02-17,13
2017-02-18,0
2017-02-19,6
2017-02-20,9
2017-02-21,8
2017-02-22,31
2017-02-23,14
2017-02-24,16
2017-02-25,6
2017-02-26,6
2017-02-27,16
2017-02-28,22
2017-03-01,49
2017-03-02,90
2017-03-03,40
2017-03-04,17
2017-03-05,11
2017-03-06,28
2017-03-07,17
2017-03-08,15
2017-03-09,17
2017-03-10,14
2017-03-11,8
2017-03-12,9
2017-03-13,27
2017-03-14,20
2017-03-15,17
2017-03-16,15
2017-03-17,11
2017-03-18,6
2017-03-19,6
2017-03-20,18
2017-03-21,13
2017-03-22,8
2017-03-23,17
2017-03-24,12
2017-03-25,18
2017-03-26,8
2017-03-27,8
2017-03-28,10
2017-03-29,14
2017-03-30,10
2017-03-31,27
2017-04-01,8
2017-04-02,6
2017-04-03,9
2017-04-04,19
2017-04-05,19
2017-04-06,9
2017-04-07,13
2017-04-08,12
2017-04-09,12
2017-04-10,24
2017-04-11,9
2017-04-12,11
2017-04-13,9
2017-04-14,18
2017-04-15,9
2017-04-16,10
2017-04-17,11
2017-04-18,11
