date,MNST
2011-09-18,0
2011-09-19,0
2011-09-20,8
2011-09-21,0
2011-09-22,8
2011-09-23,0
2011-09-24,0
2011-09-25,0
2011-09-26,0
2011-09-27,8
2011-09-28,0
2011-09-29,8
2011-09-30,0
2011-10-01,0
2011-10-02,0
2011-10-03,0
2011-10-04,0
2011-10-05,0
2011-10-06,0
2011-10-07,8
2011-10-08,0
2011-10-09,0
2011-10-10,0
2011-10-11,7
2011-10-12,0
2011-10-13,0
2011-10-14,0
2011-10-15,0
2011-10-16,19
2011-10-17,8
2011-10-18,8
2011-10-19,0
2011-10-20,0
2011-10-21,8
2011-10-22,10
2011-10-23,0
2011-10-24,12
2011-10-25,0
2011-10-26,0
2011-10-27,0
2011-10-28,0
2011-10-29,0
2011-10-30,0
2011-10-31,0
2011-11-01,0
2011-11-02,0
2011-11-03,0
2011-11-04,0
2011-11-05,10
2011-11-06,0
2011-11-07,0
2011-11-08,8
2011-11-09,0
2011-11-10,0
2011-11-11,0
2011-11-12,10
2011-11-13,9
2011-11-14,0
2011-11-15,0
2011-11-16,0
2011-11-17,0
2011-11-18,0
2011-11-19,0
2011-11-20,9
2011-11-21,0
2011-11-22,8
2011-11-23,8
2011-11-24,0
2011-11-25,0
2011-11-26,0
2011-11-27,0
2011-11-28,8
2011-11-29,15
2011-11-30,8
2011-12-01,0
2011-12-02,8
2011-12-03,14
2011-12-04,9
2011-12-05,0
2011-12-06,8
2011-12-07,8
2011-12-08,8
2011-12-09,8
2011-12-10,0
2011-12-11,9
2011-12-12,0
2011-12-13,15
2011-12-14,0
2011-12-15,0
2011-12-16,0
2011-12-17,0
2011-12-18,0
2011-12-19,8
2011-12-20,8
2011-12-21,0
2011-12-22,8
2011-12-23,0
2011-12-24,0
2011-12-25,0
2011-12-26,0
2011-12-27,0
2011-12-28,0
2011-12-29,0
2011-12-30,0
2011-12-31,10
2012-01-01,0
2012-01-02,0
2012-01-03,0
2012-01-04,8
2012-01-05,8
2012-01-06,8
2012-01-07,0
2012-01-08,0
2012-01-09,22
2012-01-10,15
2012-01-11,22
2012-01-12,15
2012-01-13,11
2012-01-14,9
2012-01-15,0
2012-01-16,0
2012-01-17,14
2012-01-18,14
2012-01-19,15
2012-01-20,8
2012-01-21,17
2012-01-22,13
2012-01-23,7
2012-01-24,7
2012-01-25,14
2012-01-26,19
2012-01-27,11
2012-01-28,9
2012-01-29,9
2012-01-30,7
2012-01-31,18
2012-02-01,0
2012-02-02,0
2012-02-03,11
2012-02-04,0
2012-02-05,9
2012-02-06,0
2012-02-07,7
2012-02-08,14
2012-02-09,14
2012-02-10,8
2012-02-11,26
2012-02-12,8
2012-02-13,14
2012-02-14,14
2012-02-15,22
2012-02-16,33
2012-02-17,19
2012-02-18,9
2012-02-19,9
2012-02-20,7
2012-02-21,15
2012-02-22,18
2012-02-23,22
2012-02-24,15
2012-02-25,17
2012-02-26,17
2012-02-27,7
2012-02-28,14
2012-02-29,7
2012-03-01,19
2012-03-02,16
2012-03-03,0
2012-03-04,0
2012-03-05,7
2012-03-06,7
2012-03-07,7
2012-03-08,22
2012-03-09,11
2012-03-10,9
2012-03-11,0
2012-03-12,7
2012-03-13,18
2012-03-14,14
2012-03-15,14
2012-03-16,19
2012-03-17,17
2012-03-18,9
2012-03-19,7
2012-03-20,14
2012-03-21,7
2012-03-22,7
2012-03-23,8
2012-03-24,0
2012-03-25,9
2012-03-26,21
2012-03-27,7
2012-03-28,14
2012-03-29,15
2012-03-30,15
2012-03-31,26
2012-04-01,9
2012-04-02,18
2012-04-03,7
2012-04-04,11
2012-04-05,15
2012-04-06,8
2012-04-07,0
2012-04-08,0
2012-04-09,8
2012-04-10,15
2012-04-11,11
2012-04-12,11
2012-04-13,22
2012-04-14,26
2012-04-15,9
2012-04-16,14
2012-04-17,10
2012-04-18,11
2012-04-19,21
2012-04-20,15
2012-04-21,9
2012-04-22,0
2012-04-23,14
2012-04-24,14
2012-04-25,14
2012-04-26,43
2012-04-27,22
2012-04-28,9
2012-04-29,0
2012-04-30,100
2012-05-01,66
2012-05-02,14
2012-05-03,25
2012-05-04,22
2012-05-05,13
2012-05-06,17
2012-05-07,35
2012-05-08,28
2012-05-09,46
2012-05-10,43
2012-05-11,41
2012-05-12,0
2012-05-13,0
2012-05-14,7
2012-05-15,38
2012-05-16,28
2012-05-17,18
2012-05-18,7
2012-05-19,9
2012-05-20,0
2012-05-21,14
2012-05-22,7
2012-05-23,25
2012-05-24,11
2012-05-25,15
2012-05-26,9
2012-05-27,9
2012-05-28,8
2012-05-29,10
2012-05-30,21
2012-05-31,28
2012-06-01,15
2012-06-02,9
2012-06-03,17
2012-06-04,28
