date,MNST
2014-07-24,3
2014-07-25,3
2014-07-26,0
2014-07-27,4
2014-07-28,5
2014-07-29,3
2014-07-30,6
2014-07-31,4
2014-08-01,4
2014-08-02,0
2014-08-03,4
2014-08-04,5
2014-08-05,3
2014-08-06,3
2014-08-07,14
2014-08-08,14
2014-08-09,0
2014-08-10,0
2014-08-11,3
2014-08-12,5
2014-08-13,5
2014-08-14,26
2014-08-15,100
2014-08-16,29
2014-08-17,6
2014-08-18,24
2014-08-19,23
2014-08-20,9
2014-08-21,9
2014-08-22,9
2014-08-23,7
2014-08-24,4
2014-08-25,9
2014-08-26,10
2014-08-27,10
2014-08-28,12
2014-08-29,5
2014-08-30,4
2014-08-31,6
2014-09-01,3
2014-09-02,11
2014-09-03,4
2014-09-04,3
2014-09-05,7
2014-09-06,4
2014-09-07,4
2014-09-08,3
2014-09-09,6
2014-09-10,7
2014-09-11,7
2014-09-12,8
2014-09-13,4
2014-09-14,0
2014-09-15,9
2014-09-16,6
2014-09-17,7
2014-09-18,7
2014-09-19,13
2014-09-20,4
2014-09-21,3
2014-09-22,10
2014-09-23,10
2014-09-24,7
2014-09-25,7
2014-09-26,6
2014-09-27,4
2014-09-28,4
2014-09-29,3
2014-09-30,7
2014-10-01,6
2014-10-02,3
2014-10-03,8
2014-10-04,7
2014-10-05,4
2014-10-06,3
2014-10-07,5
2014-10-08,9
2014-10-09,3
2014-10-10,6
2014-10-11,7
2014-10-12,0
2014-10-13,6
2014-10-14,4
2014-10-15,9
2014-10-16,3
2014-10-17,9
2014-10-18,4
2014-10-19,0
2014-10-20,8
2014-10-21,6
2014-10-22,7
2014-10-23,6
2014-10-24,6
2014-10-25,0
2014-10-26,3
2014-10-27,3
2014-10-28,7
2014-10-29,9
2014-10-30,6
2014-10-31,8
2014-11-01,4
2014-11-02,0
2014-11-03,7
2014-11-04,14
2014-11-05,4
2014-11-06,6
2014-11-07,10
2014-11-08,6
2014-11-09,5
2014-11-10,8
2014-11-11,7
2014-11-12,7
2014-11-13,8
2014-11-14,6
2014-11-15,7
2014-11-16,3
2014-11-17,4
2014-11-18,6
2014-11-19,7
2014-11-20,4
2014-11-21,4
2014-11-22,3
2014-11-23,5
2014-11-24,7
2014-11-25,4
2014-11-26,7
2014-11-27,4
2014-11-28,3
2014-11-29,3
2014-11-30,3
2014-12-01,10
2014-12-02,14
2014-12-03,7
2014-12-04,6
2014-12-05,3
2014-12-06,7
2014-12-07,3
2014-12-08,4
2014-12-09,4
2014-12-10,3
2014-12-11,7
2014-12-12,3
2014-12-13,0
2014-12-14,0
2014-12-15,0
2014-12-16,6
2014-12-17,3
2014-12-18,8
2014-12-19,5
2014-12-20,0
2014-12-21,0
2014-12-22,8
2014-12-23,5
2014-12-24,3
2014-12-25,4
2014-12-26,3
2014-12-27,3
2014-12-28,3
2014-12-29,5
2014-12-30,3
2014-12-31,10
2015-01-01,0
2015-01-02,9
2015-01-03,0
2015-01-04,3
2015-01-05,8
2015-01-06,13
2015-01-07,10
2015-01-08,6
2015-01-09,9
2015-01-10,3
2015-01-11,5
2015-01-12,7
2015-01-13,10
2015-01-14,9
2015-01-15,12
2015-01-16,9
2015-01-17,6
2015-01-18,6
2015-01-19,5
2015-01-20,4
2015-01-21,10
2015-01-22,4
2015-01-23,7
2015-01-24,3
2015-01-25,3
2015-01-26,4
2015-01-27,6
2015-01-28,9
2015-01-29,6
2015-01-30,7
2015-01-31,3
2015-02-01,5
2015-02-02,5
2015-02-03,6
2015-02-04,5
2015-02-05,16
2015-02-06,21
2015-02-07,3
2015-02-08,3
2015-02-09,9
2015-02-10,9
2015-02-11,10
2015-02-12,7
2015-02-13,7
2015-02-14,4
2015-02-15,3
2015-02-16,3
2015-02-17,7
2015-02-18,8
2015-02-19,9
2015-02-20,8
2015-02-21,7
2015-02-22,3
2015-02-23,11
2015-02-24,15
2015-02-25,14
2015-02-26,24
2015-02-27,64
2015-02-28,27
2015-03-01,7
2015-03-02,24
2015-03-03,16
2015-03-04,15
2015-03-05,10
2015-03-06,14
2015-03-07,8
2015-03-08,6
2015-03-09,13
2015-03-10,8
2015-03-11,12
2015-03-12,10
2015-03-13,9
2015-03-14,4
2015-03-15,3
2015-03-16,9
2015-03-17,6
2015-03-18,9
2015-03-19,13
2015-03-20,7
2015-03-21,8
2015-03-22,3
2015-03-23,8
2015-03-24,8
2015-03-25,4
2015-03-26,8
2015-03-27,7
2015-03-28,7
2015-03-29,8
2015-03-30,5
2015-03-31,10
2015-04-01,5
2015-04-02,7
2015-04-03,5
2015-04-04,3
2015-04-05,3
2015-04-06,4
2015-04-07,6
2015-04-08,8
2015-04-09,6
2015-04-10,6
