date,MNST
2013-11-06,43
2013-11-07,32
2013-11-08,56
2013-11-09,0
2013-11-10,25
2013-11-11,0
2013-11-12,43
2013-11-13,21
2013-11-14,43
2013-11-15,23
2013-11-16,26
2013-11-17,25
2013-11-18,21
2013-11-19,42
2013-11-20,43
2013-11-21,53
2013-11-22,22
2013-11-23,37
2013-11-24,0
2013-11-25,42
2013-11-26,21
2013-11-27,0
2013-11-28,23
2013-11-29,45
2013-11-30,0
2013-12-01,24
2013-12-02,51
2013-12-03,21
2013-12-04,84
2013-12-05,53
2013-12-06,0
2013-12-07,0
2013-12-08,0
2013-12-09,21
2013-12-10,21
2013-12-11,0
2013-12-12,22
2013-12-13,0
2013-12-14,26
2013-12-15,0
2013-12-16,64
2013-12-17,43
2013-12-18,33
2013-12-19,67
2013-12-20,23
2013-12-21,0
2013-12-22,26
2013-12-23,24
2013-12-24,26
2013-12-25,0
2013-12-26,24
2013-12-27,24
2013-12-28,26
2013-12-29,0
2013-12-30,23
2013-12-31,52
2014-01-01,0
2014-01-02,0
2014-01-03,22
2014-01-04,0
2014-01-05,0
2014-01-06,21
2014-01-07,31
2014-01-08,31
2014-01-09,21
2014-01-10,21
2014-01-11,24
2014-01-12,24
2014-01-13,50
2014-01-14,62
2014-01-15,30
2014-01-16,0
2014-01-17,43
2014-01-18,24
2014-01-19,0
2014-01-20,82
2014-01-21,40
2014-01-22,20
2014-01-23,20
2014-01-24,21
2014-01-25,48
2014-01-26,47
2014-01-27,40
2014-01-28,40
2014-01-29,20
2014-01-30,41
2014-01-31,32
2014-02-01,24
2014-02-02,23
2014-02-03,30
2014-02-04,40
2014-02-05,20
2014-02-06,27
2014-02-07,23
2014-02-08,0
2014-02-09,0
2014-02-10,49
2014-02-11,30
2014-02-12,40
2014-02-13,40
2014-02-14,42
2014-02-15,24
2014-02-16,0
2014-02-17,40
2014-02-18,30
2014-02-19,20
2014-02-20,71
2014-02-21,21
2014-02-22,0
2014-02-23,0
2014-02-24,20
2014-02-25,20
2014-02-26,40
2014-02-27,61
2014-02-28,63
2014-03-01,70
2014-03-02,0
2014-03-03,40
2014-03-04,41
2014-03-05,30
2014-03-06,21
2014-03-07,42
2014-03-08,24
2014-03-09,0
2014-03-10,41
2014-03-11,30
2014-03-12,20
2014-03-13,31
2014-03-14,85
2014-03-15,0
2014-03-16,0
2014-03-17,60
2014-03-18,30
2014-03-19,20
2014-03-20,20
2014-03-21,32
2014-03-22,23
2014-03-23,0
2014-03-24,20
2014-03-25,0
2014-03-26,20
2014-03-27,20
2014-03-28,42
2014-03-29,48
2014-03-30,24
2014-03-31,40
2014-04-01,20
2014-04-02,30
2014-04-03,20
2014-04-04,43
2014-04-05,0
2014-04-06,24
2014-04-07,40
2014-04-08,20
2014-04-09,100
2014-04-10,41
2014-04-11,42
2014-04-12,25
2014-04-13,0
2014-04-14,0
2014-04-15,20
2014-04-16,21
2014-04-17,22
2014-04-18,0
2014-04-19,0
2014-04-20,0
2014-04-21,22
2014-04-22,20
2014-04-23,20
2014-04-24,41
2014-04-25,21
2014-04-26,0
2014-04-27,23
2014-04-28,0
2014-04-29,20
2014-04-30,41
2014-05-01,66
2014-05-02,21
2014-05-03,24
2014-05-04,0
2014-05-05,41
2014-05-06,20
2014-05-07,40
2014-05-08,61
2014-05-09,42
2014-05-10,24
2014-05-11,24
2014-05-12,20
2014-05-13,20
2014-05-14,40
2014-05-15,20
2014-05-16,0
2014-05-17,49
2014-05-18,24
2014-05-19,20
2014-05-20,0
2014-05-21,44
2014-05-22,22
2014-05-23,35
2014-05-24,27
2014-05-25,27
2014-05-26,22
2014-05-27,44
2014-05-28,33
2014-05-29,23
2014-05-30,35
2014-05-31,27
2014-06-01,27
2014-06-02,22
2014-06-03,43
2014-06-04,44
2014-06-05,0
2014-06-06,23
2014-06-07,0
2014-06-08,28
2014-06-09,23
2014-06-10,45
2014-06-11,44
2014-06-12,0
2014-06-13,0
2014-06-14,27
2014-06-15,54
2014-06-16,44
2014-06-17,55
2014-06-18,22
2014-06-19,34
2014-06-20,24
2014-06-21,0
2014-06-22,69
2014-06-23,45
2014-06-24,45
2014-06-25,56
2014-06-26,23
2014-06-27,24
2014-06-28,28
2014-06-29,28
2014-06-30,34
2014-07-01,45
2014-07-02,23
2014-07-03,47
2014-07-04,24
2014-07-05,0
2014-07-06,27
2014-07-07,0
2014-07-08,22
2014-07-09,22
2014-07-10,23
2014-07-11,59
2014-07-12,54
2014-07-13,27
2014-07-14,23
2014-07-15,22
2014-07-16,0
2014-07-17,0
2014-07-18,36
2014-07-19,28
2014-07-20,0
2014-07-21,22
2014-07-22,34
2014-07-23,94
2014-07-24,34
