date,MNST
2015-12-26,12
2015-12-27,0
2015-12-28,15
2015-12-29,15
2015-12-30,10
2015-12-31,0
2016-01-01,0
2016-01-02,11
2016-01-03,11
2016-01-04,19
2016-01-05,24
2016-01-06,10
2016-01-07,14
2016-01-08,24
2016-01-09,16
2016-01-10,21
2016-01-11,14
2016-01-12,28
2016-01-13,37
2016-01-14,28
2016-01-15,19
2016-01-16,11
2016-01-17,0
2016-01-18,18
2016-01-19,23
2016-01-20,18
2016-01-21,14
2016-01-22,19
2016-01-23,11
2016-01-24,21
2016-01-25,18
2016-01-26,37
2016-01-27,14
2016-01-28,14
2016-01-29,43
2016-01-30,11
2016-01-31,20
2016-02-01,52
2016-02-02,9
2016-02-03,18
2016-02-04,36
2016-02-05,28
2016-02-06,31
2016-02-07,10
2016-02-08,14
2016-02-09,27
2016-02-10,49
2016-02-11,36
2016-02-12,65
2016-02-13,10
2016-02-14,10
2016-02-15,22
2016-02-16,26
2016-02-17,27
2016-02-18,31
2016-02-19,9
2016-02-20,10
2016-02-21,25
2016-02-22,22
2016-02-23,9
2016-02-24,53
2016-02-25,83
2016-02-26,68
2016-02-27,30
2016-02-28,15
2016-02-29,30
2016-03-01,30
2016-03-02,22
2016-03-03,22
2016-03-04,27
2016-03-05,10
2016-03-06,10
2016-03-07,34
2016-03-08,30
2016-03-09,26
2016-03-10,43
2016-03-11,27
2016-03-12,15
2016-03-13,0
2016-03-14,13
2016-03-15,17
2016-03-16,30
2016-03-17,35
2016-03-18,14
2016-03-19,10
2016-03-20,0
2016-03-21,31
2016-03-22,9
2016-03-23,9
2016-03-24,18
2016-03-25,15
2016-03-26,16
2016-03-27,0
2016-03-28,37
2016-03-29,22
2016-03-30,22
2016-03-31,22
2016-04-01,37
2016-04-02,10
2016-04-03,10
2016-04-04,13
2016-04-05,13
2016-04-06,35
2016-04-07,26
2016-04-08,14
2016-04-09,10
2016-04-10,10
2016-04-11,26
2016-04-12,26
2016-04-13,26
2016-04-14,9
2016-04-15,9
2016-04-16,0
2016-04-17,10
2016-04-18,43
2016-04-19,17
2016-04-20,30
2016-04-21,27
2016-04-22,28
2016-04-23,10
2016-04-24,10
2016-04-25,9
2016-04-26,17
2016-04-27,22
2016-04-28,22
2016-04-29,96
2016-04-30,31
2016-05-01,21
2016-05-02,49
2016-05-03,22
2016-05-04,26
2016-05-05,9
2016-05-06,28
2016-05-07,31
2016-05-08,21
2016-05-09,9
2016-05-10,21
2016-05-11,30
2016-05-12,22
2016-05-13,23
2016-05-14,20
2016-05-15,10
2016-05-16,9
2016-05-17,26
2016-05-18,17
2016-05-19,13
2016-05-20,32
2016-05-21,10
2016-05-22,0
2016-05-23,9
2016-05-24,17
2016-05-25,22
2016-05-26,9
2016-05-27,23
2016-05-28,21
2016-05-29,21
2016-05-30,27
2016-05-31,17
2016-06-01,13
2016-06-02,18
2016-06-03,14
2016-06-04,10
2016-06-05,10
2016-06-06,13
2016-06-07,17
2016-06-08,22
2016-06-09,9
2016-06-10,55
2016-06-11,10
2016-06-12,0
2016-06-13,26
2016-06-14,17
2016-06-15,9
2016-06-16,22
2016-06-17,32
2016-06-18,11
2016-06-19,10
2016-06-20,17
2016-06-21,18
2016-06-22,18
2016-06-23,27
2016-06-24,9
2016-06-25,10
2016-06-26,10
2016-06-27,17
2016-06-28,31
2016-06-29,13
2016-06-30,18
2016-07-01,28
2016-07-02,11
2016-07-03,11
2016-07-04,9
2016-07-05,28
2016-07-06,23
2016-07-07,23
2016-07-08,19
2016-07-09,11
2016-07-10,21
2016-07-11,13
2016-07-12,26
2016-07-13,45
2016-07-14,9
2016-07-15,9
2016-07-16,10
2016-07-17,11
2016-07-18,31
2016-07-19,63
2016-07-20,32
2016-07-21,23
2016-07-22,32
2016-07-23,11
2016-07-24,0
2016-07-25,22
2016-07-26,13
2016-07-27,27
2016-07-28,23
2016-07-29,24
2016-07-30,21
2016-07-31,21
2016-08-01,45
2016-08-02,13
2016-08-03,31
2016-08-04,100
2016-08-05,52
2016-08-06,21
2016-08-07,0
2016-08-08,22
2016-08-09,35
2016-08-10,13
2016-08-11,14
2016-08-12,9
2016-08-13,11
2016-08-14,21
2016-08-15,19
2016-08-16,31
2016-08-17,18
2016-08-18,13
2016-08-19,14
2016-08-20,26
2016-08-21,10
2016-08-22,22
2016-08-23,45
2016-08-24,13
2016-08-25,18
2016-08-26,18
2016-08-27,21
2016-08-28,0
2016-08-29,13
2016-08-30,9
2016-08-31,35
2016-09-01,26
2016-09-02,18
2016-09-03,21
2016-09-04,10
2016-09-05,0
2016-09-06,13
2016-09-07,9
2016-09-08,9
2016-09-09,27
2016-09-10,10
2016-09-11,10
