date,FOX,isPartial
2017-05-29,46,False
2017-05-30,49,False
2017-05-31,52,False
2017-06-01,53,False
2017-06-02,54,False
2017-06-03,61,False
2017-06-04,55,False
2017-06-05,52,False
2017-06-06,51,False
2017-06-07,51,False
2017-06-08,61,False
2017-06-09,58,False
2017-06-10,50,False
2017-06-11,50,False
2017-06-12,48,False
2017-06-13,49,False
2017-06-14,59,False
2017-06-15,52,False
2017-06-16,54,False
2017-06-17,51,False
2017-06-18,51,False
2017-06-19,51,False
2017-06-20,48,False
2017-06-21,51,False
2017-06-22,50,False
2017-06-23,54,False
2017-06-24,48,False
2017-06-25,51,False
2017-06-26,52,False
2017-06-27,49,False
2017-06-28,51,False
2017-06-29,53,False
2017-06-30,52,False
2017-07-01,49,False
2017-07-02,49,False
2017-07-03,44,False
2017-07-04,45,False
2017-07-05,47,False
2017-07-06,49,False
2017-07-07,52,False
2017-07-08,51,False
2017-07-09,50,False
2017-07-10,49,False
2017-07-11,51,False
2017-07-12,53,False
2017-07-13,48,False
2017-07-14,52,False
2017-07-15,49,False
2017-07-16,51,False
2017-07-17,49,False
2017-07-18,48,False
2017-07-19,48,False
2017-07-20,49,False
2017-07-21,50,False
2017-07-22,49,False
2017-07-23,48,False
2017-07-24,48,False
2017-07-25,46,False
2017-07-26,51,False
2017-07-27,54,False
2017-07-28,53,False
2017-07-29,50,False
2017-07-30,48,False
2017-07-31,51,False
2017-08-01,50,False
2017-08-02,50,False
2017-08-03,49,False
2017-08-04,51,False
2017-08-05,49,False
2017-08-06,51,False
2017-08-07,49,False
2017-08-08,54,False
2017-08-09,54,False
2017-08-10,52,False
2017-08-11,55,False
2017-08-12,53,False
2017-08-13,59,False
2017-08-14,55,False
2017-08-15,53,False
2017-08-16,57,False
2017-08-17,54,False
2017-08-18,56,False
2017-08-19,49,False
2017-08-20,49,False
2017-08-21,54,False
2017-08-22,49,False
2017-08-23,50,False
2017-08-24,50,False
2017-08-25,56,False
2017-08-26,71,False
2017-08-27,100,False
2017-08-28,51,False
2017-08-29,52,False
2017-08-30,50,False
2017-08-31,52,False
2017-09-01,51,False
2017-09-02,51,False
2017-09-03,48,False
2017-09-04,46,False
2017-09-05,53,False
2017-09-06,55,False
2017-09-07,54,False
2017-09-08,60,False
2017-09-09,61,False
2017-09-10,76,False
2017-09-11,60,False
2017-09-12,54,False
2017-09-13,52,False
2017-09-14,52,False
2017-09-15,56,False
2017-09-16,52,False
2017-09-17,60,False
2017-09-18,50,False
2017-09-19,53,False
2017-09-20,51,False
2017-09-21,56,False
2017-09-22,55,False
2017-09-23,53,False
2017-09-24,63,False
2017-09-25,54,False
2017-09-26,54,False
2017-09-27,52,False
2017-09-28,54,False
2017-09-29,53,False
2017-09-30,51,False
2017-10-01,59,False
2017-10-02,81,False
2017-10-03,60,False
2017-10-04,54,False
2017-10-05,58,False
2017-10-06,58,False
