date,FOX,isPartial
2011-01-01,59,False
2011-01-02,59,False
2011-01-03,54,False
2011-01-04,53,False
2011-01-05,54,False
2011-01-06,52,False
2011-01-07,57,False
2011-01-08,64,False
2011-01-09,68,False
2011-01-10,66,False
2011-01-11,64,False
2011-01-12,62,False
2011-01-13,58,False
2011-01-14,53,False
2011-01-15,53,False
2011-01-16,57,False
2011-01-17,52,False
2011-01-18,53,False
2011-01-19,53,False
2011-01-20,56,False
2011-01-21,59,False
2011-01-22,54,False
2011-01-23,60,False
2011-01-24,52,False
2011-01-25,53,False
2011-01-26,57,False
2011-01-27,57,False
2011-01-28,53,False
2011-01-29,54,False
2011-01-30,53,False
2011-01-31,57,False
2011-02-01,68,False
2011-02-02,67,False
2011-02-03,64,False
2011-02-04,59,False
2011-02-05,56,False
2011-02-06,74,False
2011-02-07,74,False
2011-02-08,54,False
2011-02-09,56,False
2011-02-10,53,False
2011-02-11,52,False
2011-02-12,51,False
2011-02-13,49,False
2011-02-14,46,False
2011-02-15,50,False
2011-02-16,53,False
2011-02-17,54,False
2011-02-18,52,False
2011-02-19,53,False
2011-02-20,54,False
2011-02-21,50,False
2011-02-22,54,False
2011-02-23,56,False
2011-02-24,53,False
2011-02-25,59,False
2011-02-26,52,False
2011-02-27,51,False
2011-02-28,49,False
2011-03-01,48,False
2011-03-02,51,False
2011-03-03,54,False
2011-03-04,57,False
2011-03-05,54,False
2011-03-06,53,False
2011-03-07,53,False
2011-03-08,54,False
2011-03-09,54,False
2011-03-10,54,False
2011-03-11,81,False
2011-03-12,61,False
2011-03-13,54,False
2011-03-14,52,False
2011-03-15,56,False
2011-03-16,58,False
2011-03-17,58,False
2011-03-18,58,False
2011-03-19,54,False
2011-03-20,55,False
2011-03-21,51,False
2011-03-22,51,False
2011-03-23,54,False
2011-03-24,53,False
2011-03-25,53,False
2011-03-26,53,False
2011-03-27,54,False
2011-03-28,47,False
2011-03-29,49,False
2011-03-30,49,False
2011-03-31,50,False
2011-04-01,51,False
2011-04-02,50,False
2011-04-03,51,False
2011-04-04,50,False
2011-04-05,51,False
2011-04-06,54,False
2011-04-07,58,False
2011-04-08,60,False
2011-04-09,57,False
2011-04-10,52,False
2011-04-11,50,False
2011-04-12,51,False
2011-04-13,51,False
2011-04-14,51,False
2011-04-15,53,False
2011-04-16,55,False
2011-04-17,51,False
2011-04-18,47,False
2011-04-19,50,False
2011-04-20,59,False
2011-04-21,50,False
2011-04-22,54,False
2011-04-23,50,False
2011-04-24,50,False
2011-04-25,51,False
2011-04-26,52,False
2011-04-27,66,False
2011-04-28,60,False
2011-04-29,55,False
2011-04-30,54,False
2011-05-01,50,False
2011-05-02,100,False
2011-05-03,62,False
2011-05-04,57,False
2011-05-05,56,False
2011-05-06,54,False
2011-05-07,52,False
2011-05-08,53,False
2011-05-09,48,False
2011-05-10,46,False
2011-05-11,51,False
2011-05-12,50,False
2011-05-13,52,False
2011-05-14,53,False
2011-05-15,50,False
2011-05-16,51,False
2011-05-17,50,False
2011-05-18,55,False
2011-05-19,53,False
2011-05-20,54,False
2011-05-21,55,False
2011-05-22,51,False
2011-05-23,52,False
2011-05-24,51,False
2011-05-25,58,False
2011-05-26,52,False
2011-05-27,51,False
2011-05-28,60,False
2011-05-29,50,False
2011-05-30,42,False
2011-05-31,46,False
2011-06-01,47,False
2011-06-02,49,False
2011-06-03,50,False
2011-06-04,52,False
2011-06-05,49,False
2011-06-06,48,False
2011-06-07,49,False
2011-06-08,49,False
2011-06-09,48,False
2011-06-10,50,False
2011-06-11,48,False
2011-06-12,50,False
2011-06-13,47,False
2011-06-14,46,False
2011-06-15,44,False
2011-06-16,46,False
2011-06-17,50,False
2011-06-18,50,False
2011-06-19,50,False
2011-06-20,55,False
2011-06-21,58,False
2011-06-22,57,False
2011-06-23,54,False
2011-06-24,52,False
2011-06-25,54,False
2011-06-26,56,False
2011-06-27,50,False
2011-06-28,52,False
2011-06-29,57,False
2011-06-30,55,False
2011-07-01,59,False
2011-07-02,57,False
2011-07-03,59,False
2011-07-04,55,False
2011-07-05,65,False
2011-07-06,53,False
2011-07-07,56,False
2011-07-08,57,False
2011-07-09,56,False
2011-07-10,51,False
2011-07-11,50,False
2011-07-12,53,False
2011-07-13,54,False
2011-07-14,52,False
2011-07-15,52,False
2011-07-16,52,False
2011-07-17,55,False
2011-07-18,52,False
2011-07-19,50,False
2011-07-20,49,False
2011-07-21,48,False
2011-07-22,50,False
2011-07-23,54,False
2011-07-24,53,False
2011-07-25,50,False
2011-07-26,49,False
2011-07-27,48,False
2011-07-28,49,False
2011-07-29,51,False
2011-07-30,51,False
2011-07-31,53,False
2011-08-01,50,False
2011-08-02,50,False
2011-08-03,46,False
2011-08-04,50,False
2011-08-05,48,False
2011-08-06,54,False
2011-08-07,54,False
2011-08-08,57,False
2011-08-09,51,False
2011-08-10,50,False
2011-08-11,50,False
2011-08-12,57,False
2011-08-13,53,False
2011-08-14,55,False
2011-08-15,49,False
2011-08-16,48,False
2011-08-17,50,False
2011-08-18,49,False
2011-08-19,49,False
2011-08-20,52,False
2011-08-21,50,False
2011-08-22,49,False
2011-08-23,63,False
2011-08-24,52,False
2011-08-25,52,False
2011-08-26,56,False
2011-08-27,60,False
2011-08-28,63,False
2011-08-29,50,False
2011-08-30,47,False
2011-08-31,45,False
2011-09-01,47,False
2011-09-02,51,False
2011-09-03,50,False
2011-09-04,50,False
2011-09-05,46,False
2011-09-06,47,False
2011-09-07,51,False
2011-09-08,52,False
2011-09-09,58,False
2011-09-10,57,False
2011-09-11,64,False
2011-09-12,52,False
2011-09-13,51,False
2011-09-14,53,False
2011-09-15,48,False
2011-09-16,52,False
2011-09-17,54,False
2011-09-18,64,False
