date,FOX,isPartial
2012-10-12,35,False
2012-10-13,29,False
2012-10-14,30,False
2012-10-15,28,False
2012-10-16,29,False
2012-10-17,43,False
2012-10-18,33,False
2012-10-19,31,False
2012-10-20,30,False
2012-10-21,30,False
2012-10-22,28,False
2012-10-23,37,False
2012-10-24,33,False
2012-10-25,31,False
2012-10-26,33,False
2012-10-27,31,False
2012-10-28,34,False
2012-10-29,38,False
2012-10-30,38,False
2012-10-31,32,False
2012-11-01,29,False
2012-11-02,31,False
2012-11-03,30,False
2012-11-04,31,False
2012-11-05,31,False
2012-11-06,57,False
2012-11-07,100,False
2012-11-08,32,False
2012-11-09,29,False
2012-11-10,28,False
2012-11-11,30,False
2012-11-12,28,False
2012-11-13,28,False
2012-11-14,27,False
2012-11-15,28,False
2012-11-16,27,False
2012-11-17,28,False
2012-11-18,29,False
2012-11-19,25,False
2012-11-20,26,False
2012-11-21,26,False
2012-11-22,24,False
2012-11-23,25,False
2012-11-24,27,False
2012-11-25,27,False
2012-11-26,24,False
2012-11-27,25,False
2012-11-28,25,False
2012-11-29,26,False
2012-11-30,26,False
2012-12-01,26,False
2012-12-02,26,False
2012-12-03,24,False
2012-12-04,26,False
2012-12-05,26,False
2012-12-06,25,False
2012-12-07,26,False
2012-12-08,29,False
2012-12-09,33,False
2012-12-10,27,False
2012-12-11,27,False
2012-12-12,28,False
2012-12-13,27,False
2012-12-14,44,False
2012-12-15,37,False
2012-12-16,34,False
2012-12-17,29,False
2012-12-18,30,False
2012-12-19,29,False
2012-12-20,29,False
2012-12-21,32,False
2012-12-22,28,False
2012-12-23,28,False
2012-12-24,26,False
2012-12-25,28,False
2012-12-26,30,False
2012-12-27,28,False
2012-12-28,28,False
2012-12-29,28,False
2012-12-30,31,False
2012-12-31,32,False
2013-01-01,34,False
2013-01-02,31,False
2013-01-03,32,False
2013-01-04,28,False
2013-01-05,30,False
2013-01-06,28,False
2013-01-07,28,False
2013-01-08,27,False
2013-01-09,26,False
2013-01-10,27,False
2013-01-11,27,False
2013-01-12,27,False
2013-01-13,30,False
2013-01-14,30,False
2013-01-15,28,False
2013-01-16,31,False
2013-01-17,29,False
2013-01-18,30,False
2013-01-19,29,False
2013-01-20,33,False
2013-01-21,27,False
2013-01-22,31,False
2013-01-23,29,False
2013-01-24,28,False
2013-01-25,30,False
2013-01-26,29,False
2013-01-27,30,False
2013-01-28,27,False
2013-01-29,28,False
2013-01-30,33,False
2013-01-31,29,False
2013-02-01,29,False
2013-02-02,27,False
2013-02-03,28,False
2013-02-04,26,False
2013-02-05,26,False
2013-02-06,26,False
2013-02-07,28,False
2013-02-08,31,False
2013-02-09,29,False
2013-02-10,30,False
2013-02-11,31,False
2013-02-12,31,False
2013-02-13,36,False
2013-02-14,29,False
2013-02-15,29,False
2013-02-16,27,False
2013-02-17,27,False
2013-02-18,26,False
2013-02-19,26,False
2013-02-20,30,False
2013-02-21,30,False
2013-02-22,30,False
2013-02-23,27,False
2013-02-24,29,False
2013-02-25,26,False
2013-02-26,28,False
2013-02-27,30,False
2013-02-28,27,False
2013-03-01,28,False
2013-03-02,26,False
2013-03-03,28,False
