date,new regulations
2011-01-01,46
2011-01-02,25
2011-01-03,45
2011-01-04,70
2011-01-05,71
2011-01-06,57
2011-01-07,59
2011-01-08,25
2011-01-09,30
2011-01-10,59
2011-01-11,46
2011-01-12,60
2011-01-13,58
2011-01-14,63
2011-01-15,21
2011-01-16,42
2011-01-17,44
2011-01-18,53
2011-01-19,56
2011-01-20,67
2011-01-21,62
2011-01-22,24
2011-01-23,28
2011-01-24,38
2011-01-25,47
2011-01-26,59
2011-01-27,71
2011-01-28,59
2011-01-29,37
2011-01-30,39
2011-01-31,64
2011-02-01,69
2011-02-02,62
2011-02-03,59
2011-02-04,67
2011-02-05,42
2011-02-06,35
2011-02-07,53
2011-02-08,53
2011-02-09,58
2011-02-10,48
2011-02-11,48
2011-02-12,30
2011-02-13,44
2011-02-14,48
2011-02-15,61
2011-02-16,60
2011-02-17,53
2011-02-18,52
2011-02-19,37
2011-02-20,30
2011-02-21,51
2011-02-22,56
2011-02-23,68
2011-02-24,59
2011-02-25,54
2011-02-26,27
2011-02-27,24
2011-02-28,42
2011-03-01,59
2011-03-02,60
2011-03-03,55
2011-03-04,59
2011-03-05,42
2011-03-06,41
2011-03-07,70
2011-03-08,56
2011-03-09,67
2011-03-10,66
2011-03-11,58
2011-03-12,24
2011-03-13,23
2011-03-14,43
2011-03-15,67
2011-03-16,64
2011-03-17,57
2011-03-18,53
2011-03-19,37
2011-03-20,32
2011-03-21,100
2011-03-22,91
2011-03-23,75
2011-03-24,70
2011-03-25,62
2011-03-26,31
2011-03-27,36
2011-03-28,70
2011-03-29,77
2011-03-30,72
2011-03-31,62
2011-04-01,56
2011-04-02,39
2011-04-03,39
2011-04-04,55
2011-04-05,54
2011-04-06,56
2011-04-07,64
2011-04-08,55
2011-04-09,26
2011-04-10,30
2011-04-11,58
2011-04-12,57
2011-04-13,61
2011-04-14,60
2011-04-15,47
2011-04-16,50
2011-04-17,32
2011-04-18,78
2011-04-19,75
2011-04-20,57
2011-04-21,68
2011-04-22,53
2011-04-23,31
2011-04-24,41
2011-04-25,61
2011-04-26,46
2011-04-27,48
2011-04-28,55
2011-04-29,54
2011-04-30,32
2011-05-01,35
2011-05-02,53
2011-05-03,60
2011-05-04,68
2011-05-05,50
2011-05-06,41
2011-05-07,39
2011-05-08,19
2011-05-09,56
2011-05-10,46
2011-05-11,51
2011-05-12,57
2011-05-13,41
2011-05-14,30
2011-05-15,31
2011-05-16,56
2011-05-17,70
2011-05-18,51
2011-05-19,41
2011-05-20,50
2011-05-21,35
2011-05-22,28
2011-05-23,54
2011-05-24,60
2011-05-25,61
2011-05-26,54
2011-05-27,48
2011-05-28,24
2011-05-29,27
2011-05-30,29
2011-05-31,49
2011-06-01,52
2011-06-02,65
2011-06-03,46
2011-06-04,29
2011-06-05,35
2011-06-06,58
2011-06-07,53
2011-06-08,58
2011-06-09,61
2011-06-10,47
2011-06-11,26
2011-06-12,30
2011-06-13,45
2011-06-14,50
2011-06-15,70
2011-06-16,50
2011-06-17,45
2011-06-18,32
2011-06-19,40
2011-06-20,61
2011-06-21,65
2011-06-22,61
2011-06-23,54
2011-06-24,45
2011-06-25,32
2011-06-26,43
2011-06-27,53
2011-06-28,74
2011-06-29,74
2011-06-30,48
2011-07-01,44
2011-07-02,22
2011-07-03,33
2011-07-04,33
2011-07-05,57
2011-07-06,53
2011-07-07,50
2011-07-08,53
2011-07-09,42
2011-07-10,33
2011-07-11,54
2011-07-12,58
2011-07-13,52
2011-07-14,52
2011-07-15,44
2011-07-16,36
2011-07-17,28
2011-07-18,63
2011-07-19,59
2011-07-20,52
2011-07-21,45
2011-07-22,51
2011-07-23,30
2011-07-24,42
2011-07-25,52
2011-07-26,51
2011-07-27,48
2011-07-28,54
2011-07-29,49
2011-07-30,23
2011-07-31,29
2011-08-01,47
2011-08-02,52
2011-08-03,41
2011-08-04,49
2011-08-05,68
2011-08-06,25
2011-08-07,29
2011-08-08,49
2011-08-09,62
2011-08-10,46
2011-08-11,42
2011-08-12,40
2011-08-13,49
2011-08-14,42
2011-08-15,60
2011-08-16,43
2011-08-17,51
2011-08-18,46
2011-08-19,42
2011-08-20,22
2011-08-21,38
2011-08-22,52
2011-08-23,69
2011-08-24,64
2011-08-25,64
2011-08-26,39
2011-08-27,23
2011-08-28,24
2011-08-29,36
2011-08-30,51
2011-08-31,58
2011-09-01,59
2011-09-02,34
2011-09-03,20
2011-09-04,38
2011-09-05,39
2011-09-06,47
2011-09-07,57
2011-09-08,39
2011-09-09,52
2011-09-10,37
2011-09-11,25
2011-09-12,51
2011-09-13,53
2011-09-14,71
2011-09-15,74
2011-09-16,50
2011-09-17,26
2011-09-18,32
