date,new regulations
2014-12-01,71
2014-12-02,68
2014-12-03,64
2014-12-04,52
2014-12-05,54
2014-12-06,33
2014-12-07,41
2014-12-08,57
2014-12-09,64
2014-12-10,71
2014-12-11,46
2014-12-12,56
2014-12-13,46
2014-12-14,38
2014-12-15,53
2014-12-16,60
2014-12-17,65
2014-12-18,62
2014-12-19,56
2014-12-20,27
2014-12-21,41
2014-12-22,42
2014-12-23,49
2014-12-24,33
2014-12-25,30
2014-12-26,44
2014-12-27,29
2014-12-28,35
2014-12-29,57
2014-12-30,47
2014-12-31,48
2015-01-01,41
2015-01-02,56
2015-01-03,33
2015-01-04,34
2015-01-05,56
2015-01-06,63
2015-01-07,63
2015-01-08,65
2015-01-09,59
2015-01-10,39
2015-01-11,45
2015-01-12,64
2015-01-13,77
2015-01-14,78
2015-01-15,70
2015-01-16,69
2015-01-17,32
2015-01-18,49
2015-01-19,59
2015-01-20,70
2015-01-21,52
2015-01-22,70
2015-01-23,69
2015-01-24,32
2015-01-25,45
2015-01-26,73
2015-01-27,65
2015-01-28,71
2015-01-29,77
2015-01-30,68
2015-01-31,29
2015-02-01,36
2015-02-02,53
2015-02-03,89
2015-02-04,50
2015-02-05,69
2015-02-06,69
2015-02-07,43
2015-02-08,41
2015-02-09,87
2015-02-10,67
2015-02-11,75
2015-02-12,60
2015-02-13,67
2015-02-14,34
2015-02-15,37
2015-02-16,82
2015-02-17,55
2015-02-18,74
2015-02-19,69
2015-02-20,61
2015-02-21,42
2015-02-22,30
2015-02-23,71
2015-02-24,96
2015-02-25,75
2015-02-26,61
2015-02-27,65
2015-02-28,69
2015-03-01,43
2015-03-02,65
2015-03-03,74
2015-03-04,65
2015-03-05,75
2015-03-06,57
2015-03-07,26
2015-03-08,43
2015-03-09,52
2015-03-10,66
2015-03-11,69
2015-03-12,74
2015-03-13,61
2015-03-14,43
2015-03-15,50
2015-03-16,64
2015-03-17,70
2015-03-18,88
2015-03-19,76
2015-03-20,60
2015-03-21,58
2015-03-22,40
2015-03-23,65
2015-03-24,82
2015-03-25,73
2015-03-26,88
2015-03-27,69
2015-03-28,34
2015-03-29,58
2015-03-30,78
2015-03-31,69
2015-04-01,76
2015-04-02,79
2015-04-03,52
2015-04-04,47
2015-04-05,33
2015-04-06,65
2015-04-07,57
2015-04-08,74
2015-04-09,88
2015-04-10,58
2015-04-11,47
2015-04-12,33
2015-04-13,57
2015-04-14,77
2015-04-15,53
2015-04-16,66
2015-04-17,54
2015-04-18,36
2015-04-19,45
2015-04-20,53
2015-04-21,87
2015-04-22,76
2015-04-23,77
2015-04-24,56
2015-04-25,38
2015-04-26,44
2015-04-27,62
2015-04-28,64
2015-04-29,69
2015-04-30,81
2015-05-01,52
2015-05-02,45
2015-05-03,42
2015-05-04,52
2015-05-05,57
2015-05-06,66
2015-05-07,76
2015-05-08,44
2015-05-09,31
2015-05-10,36
2015-05-11,46
2015-05-12,78
2015-05-13,67
2015-05-14,68
2015-05-15,53
2015-05-16,33
2015-05-17,41
2015-05-18,61
2015-05-19,73
2015-05-20,71
2015-05-21,64
2015-05-22,43
2015-05-23,42
2015-05-24,30
2015-05-25,31
2015-05-26,71
2015-05-27,67
2015-05-28,70
2015-05-29,61
2015-05-30,33
2015-05-31,32
2015-06-01,79
2015-06-02,94
2015-06-03,75
2015-06-04,61
2015-06-05,54
2015-06-06,36
2015-06-07,36
2015-06-08,62
2015-06-09,71
2015-06-10,68
2015-06-11,77
2015-06-12,49
2015-06-13,49
2015-06-14,27
2015-06-15,100
2015-06-16,75
2015-06-17,67
2015-06-18,56
2015-06-19,76
2015-06-20,47
2015-06-21,42
2015-06-22,50
2015-06-23,78
2015-06-24,73
2015-06-25,58
2015-06-26,43
2015-06-27,38
2015-06-28,36
2015-06-29,54
2015-06-30,73
2015-07-01,64
2015-07-02,70
2015-07-03,56
2015-07-04,41
2015-07-05,42
2015-07-06,80
2015-07-07,63
2015-07-08,68
2015-07-09,63
2015-07-10,68
2015-07-11,44
2015-07-12,36
2015-07-13,73
2015-07-14,81
2015-07-15,49
2015-07-16,63
2015-07-17,57
2015-07-18,41
2015-07-19,37
2015-07-20,68
2015-07-21,69
2015-07-22,65
2015-07-23,78
2015-07-24,58
2015-07-25,35
2015-07-26,41
2015-07-27,61
2015-07-28,66
2015-07-29,64
2015-07-30,59
2015-07-31,49
2015-08-01,36
2015-08-02,43
2015-08-03,66
2015-08-04,55
2015-08-05,65
2015-08-06,56
2015-08-07,50
2015-08-08,36
2015-08-09,32
2015-08-10,60
2015-08-11,91
2015-08-12,73
2015-08-13,53
2015-08-14,61
2015-08-15,45
2015-08-16,40
2015-08-17,52
2015-08-18,61
