date,new regulations
2015-04-10,74
2015-04-11,43
2015-04-12,42
2015-04-13,83
2015-04-14,90
2015-04-15,64
2015-04-16,87
2015-04-17,71
2015-04-18,48
2015-04-19,55
2015-04-20,61
2015-04-21,100
2015-04-22,79
2015-04-23,73
2015-04-24,67
2015-04-25,35
2015-04-26,50
2015-04-27,77
2015-04-28,81
2015-04-29,84
2015-04-30,81
2015-05-01,82
2015-05-02,35
2015-05-03,60
2015-05-04,64
2015-05-05,72
2015-05-06,85
2015-05-07,83
2015-05-08,74
2015-05-09,43
2015-05-10,47
2015-05-11,72
2015-05-12,90
2015-05-13,78
2015-05-14,86
2015-05-15,67
2015-05-16,42
2015-05-17,53
2015-05-18,75
2015-05-19,82
2015-05-20,72
2015-05-21,77
2015-05-22,56
2015-05-23,35
2015-05-24,33
2015-05-25,43
2015-05-26,79
2015-05-27,72
2015-05-28,72
2015-05-29,66
2015-05-30,47
2015-05-31,47
2015-06-01,90
2015-06-02,95
2015-06-03,93
2015-06-04,85
2015-06-05,84
2015-06-06,41
2015-06-07,47
2015-06-08,78
2015-06-09,71
2015-06-10,81
2015-06-11,92
2015-06-12,75
2015-06-13,61
2015-06-14,41
2015-06-15,96
2015-06-16,91
2015-06-17,78
2015-06-18,65
2015-06-19,75
2015-06-20,41
2015-06-21,31
2015-06-22,75
2015-06-23,97
2015-06-24,90
2015-06-25,65
2015-06-26,67
2015-06-27,40
2015-06-28,42
2015-06-29,83
2015-06-30,86
2015-07-01,71
2015-07-02,81
2015-07-03,64
2015-07-04,45
2015-07-05,45
2015-07-06,75
2015-07-07,67
2015-07-08,86
2015-07-09,69
2015-07-10,70
2015-07-11,40
2015-07-12,43
2015-07-13,81
2015-07-14,88
2015-07-15,75
2015-07-16,68
2015-07-17,63
2015-07-18,41
2015-07-19,39
2015-07-20,77
2015-07-21,63
2015-07-22,75
2015-07-23,60
2015-07-24,65
2015-07-25,36
2015-07-26,40
2015-07-27,86
2015-07-28,84
2015-07-29,65
2015-07-30,65
2015-07-31,59
2015-08-01,39
2015-08-02,46
2015-08-03,61
2015-08-04,58
2015-08-05,75
2015-08-06,64
2015-08-07,58
2015-08-08,32
2015-08-09,35
2015-08-10,70
2015-08-11,83
2015-08-12,83
2015-08-13,60
2015-08-14,65
2015-08-15,44
2015-08-16,32
2015-08-17,67
2015-08-18,71
2015-08-19,78
2015-08-20,72
2015-08-21,57
2015-08-22,46
2015-08-23,36
2015-08-24,61
2015-08-25,74
2015-08-26,79
2015-08-27,81
2015-08-28,61
2015-08-29,39
2015-08-30,47
2015-08-31,65
2015-09-01,87
2015-09-02,77
2015-09-03,80
2015-09-04,60
2015-09-05,49
2015-09-06,42
2015-09-07,56
2015-09-08,70
2015-09-09,76
2015-09-10,73
2015-09-11,62
2015-09-12,39
2015-09-13,52
2015-09-14,85
2015-09-15,87
2015-09-16,74
2015-09-17,74
2015-09-18,69
2015-09-19,45
2015-09-20,43
2015-09-21,67
2015-09-22,77
2015-09-23,74
2015-09-24,66
2015-09-25,65
2015-09-26,38
2015-09-27,55
2015-09-28,81
2015-09-29,84
2015-09-30,86
2015-10-01,78
2015-10-02,80
2015-10-03,46
2015-10-04,52
2015-10-05,71
2015-10-06,85
2015-10-07,82
2015-10-08,73
2015-10-09,72
2015-10-10,49
2015-10-11,36
2015-10-12,66
2015-10-13,75
2015-10-14,63
2015-10-15,64
2015-10-16,80
2015-10-17,34
2015-10-18,45
2015-10-19,73
2015-10-20,61
2015-10-21,65
2015-10-22,79
2015-10-23,57
2015-10-24,46
2015-10-25,39
2015-10-26,63
2015-10-27,69
2015-10-28,73
2015-10-29,74
2015-10-30,59
2015-10-31,48
2015-11-01,38
2015-11-02,60
2015-11-03,79
2015-11-04,65
2015-11-05,69
2015-11-06,56
2015-11-07,45
2015-11-08,42
2015-11-09,67
2015-11-10,75
2015-11-11,63
2015-11-12,63
2015-11-13,65
2015-11-14,35
2015-11-15,44
2015-11-16,58
2015-11-17,72
2015-11-18,73
2015-11-19,72
2015-11-20,60
2015-11-21,42
2015-11-22,45
2015-11-23,75
2015-11-24,61
2015-11-25,64
2015-11-26,61
2015-11-27,45
2015-11-28,37
2015-11-29,42
2015-11-30,84
2015-12-01,74
2015-12-02,75
2015-12-03,58
2015-12-04,62
2015-12-05,29
2015-12-06,46
2015-12-07,84
2015-12-08,75
2015-12-09,73
2015-12-10,68
2015-12-11,55
2015-12-12,36
2015-12-13,39
2015-12-14,57
2015-12-15,82
2015-12-16,75
2015-12-17,80
2015-12-18,59
2015-12-19,42
2015-12-20,37
2015-12-21,66
2015-12-22,62
2015-12-23,47
2015-12-24,46
2015-12-25,32
2015-12-26,25
