date,new regulations
2012-01-26,68
2012-01-27,51
2012-01-28,49
2012-01-29,41
2012-01-30,56
2012-01-31,62
2012-02-01,58
2012-02-02,48
2012-02-03,53
2012-02-04,40
2012-02-05,45
2012-02-06,50
2012-02-07,62
2012-02-08,45
2012-02-09,66
2012-02-10,45
2012-02-11,23
2012-02-12,25
2012-02-13,55
2012-02-14,53
2012-02-15,70
2012-02-16,54
2012-02-17,38
2012-02-18,27
2012-02-19,33
2012-02-20,50
2012-02-21,51
2012-02-22,49
2012-02-23,50
2012-02-24,54
2012-02-25,30
2012-02-26,35
2012-02-27,57
2012-02-28,59
2012-02-29,59
2012-03-01,59
2012-03-02,36
2012-03-03,19
2012-03-04,37
2012-03-05,56
2012-03-06,73
2012-03-07,46
2012-03-08,57
2012-03-09,43
2012-03-10,35
2012-03-11,36
2012-03-12,54
2012-03-13,56
2012-03-14,66
2012-03-15,65
2012-03-16,54
2012-03-17,27
2012-03-18,30
2012-03-19,57
2012-03-20,54
2012-03-21,53
2012-03-22,81
2012-03-23,42
2012-03-24,31
2012-03-25,42
2012-03-26,46
2012-03-27,68
2012-03-28,50
2012-03-29,47
2012-03-30,50
2012-03-31,20
2012-04-01,39
2012-04-02,60
2012-04-03,56
2012-04-04,50
2012-04-05,53
2012-04-06,48
2012-04-07,25
2012-04-08,21
2012-04-09,47
2012-04-10,61
2012-04-11,75
2012-04-12,48
2012-04-13,45
2012-04-14,33
2012-04-15,28
2012-04-16,61
2012-04-17,66
2012-04-18,58
2012-04-19,54
2012-04-20,31
2012-04-21,36
2012-04-22,41
2012-04-23,54
2012-04-24,44
2012-04-25,58
2012-04-26,76
2012-04-27,42
2012-04-28,24
2012-04-29,27
2012-04-30,50
2012-05-01,63
2012-05-02,54
2012-05-03,59
2012-05-04,48
2012-05-05,32
2012-05-06,30
2012-05-07,51
2012-05-08,47
2012-05-09,78
2012-05-10,44
2012-05-11,34
2012-05-12,27
2012-05-13,30
2012-05-14,58
2012-05-15,37
2012-05-16,48
2012-05-17,48
2012-05-18,48
2012-05-19,47
2012-05-20,21
2012-05-21,58
2012-05-22,55
2012-05-23,52
2012-05-24,51
2012-05-25,38
2012-05-26,24
2012-05-27,31
2012-05-28,42
2012-05-29,51
2012-05-30,70
2012-05-31,51
2012-06-01,44
2012-06-02,30
2012-06-03,41
2012-06-04,60
2012-06-05,56
2012-06-06,56
2012-06-07,56
2012-06-08,43
2012-06-09,29
2012-06-10,44
2012-06-11,46
2012-06-12,51
2012-06-13,37
2012-06-14,52
2012-06-15,49
2012-06-16,35
2012-06-17,27
2012-06-18,40
2012-06-19,46
2012-06-20,59
2012-06-21,45
2012-06-22,39
2012-06-23,41
2012-06-24,31
2012-06-25,43
2012-06-26,49
2012-06-27,57
2012-06-28,50
2012-06-29,50
2012-06-30,38
2012-07-01,36
2012-07-02,36
2012-07-03,44
2012-07-04,46
2012-07-05,48
2012-07-06,50
2012-07-07,32
2012-07-08,42
2012-07-09,52
2012-07-10,53
2012-07-11,38
2012-07-12,38
2012-07-13,47
2012-07-14,22
2012-07-15,38
2012-07-16,55
2012-07-17,53
2012-07-18,62
2012-07-19,40
2012-07-20,47
2012-07-21,29
2012-07-22,27
2012-07-23,56
2012-07-24,47
2012-07-25,55
2012-07-26,55
2012-07-27,42
2012-07-28,31
2012-07-29,32
2012-07-30,29
2012-07-31,57
2012-08-01,45
2012-08-02,59
2012-08-03,33
2012-08-04,25
2012-08-05,25
2012-08-06,38
2012-08-07,44
2012-08-08,53
2012-08-09,42
2012-08-10,42
2012-08-11,29
2012-08-12,39
2012-08-13,37
2012-08-14,46
2012-08-15,52
2012-08-16,55
2012-08-17,39
2012-08-18,41
2012-08-19,19
2012-08-20,43
2012-08-21,63
2012-08-22,44
2012-08-23,48
2012-08-24,43
2012-08-25,30
2012-08-26,25
2012-08-27,47
2012-08-28,49
2012-08-29,57
2012-08-30,44
2012-08-31,52
2012-09-01,38
2012-09-02,31
2012-09-03,29
2012-09-04,69
2012-09-05,53
2012-09-06,100
2012-09-07,68
2012-09-08,25
2012-09-09,41
2012-09-10,55
2012-09-11,60
2012-09-12,56
2012-09-13,49
2012-09-14,37
2012-09-15,27
2012-09-16,48
2012-09-17,76
2012-09-18,62
2012-09-19,49
2012-09-20,64
2012-09-21,58
2012-09-22,26
2012-09-23,33
2012-09-24,44
2012-09-25,58
2012-09-26,58
2012-09-27,63
2012-09-28,49
2012-09-29,36
2012-09-30,31
2012-10-01,74
2012-10-02,67
2012-10-03,49
2012-10-04,46
2012-10-05,48
2012-10-06,38
2012-10-07,41
2012-10-08,44
2012-10-09,57
2012-10-10,49
2012-10-11,50
2012-10-12,55
