date,new regulations
2015-12-26,30
2015-12-27,35
2015-12-28,52
2015-12-29,66
2015-12-30,55
2015-12-31,67
2016-01-01,49
2016-01-02,46
2016-01-03,41
2016-01-04,68
2016-01-05,76
2016-01-06,75
2016-01-07,67
2016-01-08,69
2016-01-09,33
2016-01-10,29
2016-01-11,59
2016-01-12,64
2016-01-13,63
2016-01-14,59
2016-01-15,54
2016-01-16,29
2016-01-17,35
2016-01-18,69
2016-01-19,57
2016-01-20,54
2016-01-21,63
2016-01-22,59
2016-01-23,42
2016-01-24,50
2016-01-25,80
2016-01-26,64
2016-01-27,73
2016-01-28,75
2016-01-29,48
2016-01-30,44
2016-01-31,34
2016-02-01,70
2016-02-02,66
2016-02-03,71
2016-02-04,63
2016-02-05,66
2016-02-06,35
2016-02-07,38
2016-02-08,61
2016-02-09,60
2016-02-10,59
2016-02-11,57
2016-02-12,59
2016-02-13,36
2016-02-14,34
2016-02-15,63
2016-02-16,60
2016-02-17,69
2016-02-18,66
2016-02-19,55
2016-02-20,38
2016-02-21,39
2016-02-22,64
2016-02-23,72
2016-02-24,64
2016-02-25,65
2016-02-26,55
2016-02-27,41
2016-02-28,29
2016-02-29,62
2016-03-01,58
2016-03-02,70
2016-03-03,69
2016-03-04,56
2016-03-05,43
2016-03-06,35
2016-03-07,62
2016-03-08,70
2016-03-09,64
2016-03-10,70
2016-03-11,53
2016-03-12,31
2016-03-13,37
2016-03-14,73
2016-03-15,68
2016-03-16,58
2016-03-17,54
2016-03-18,68
2016-03-19,38
2016-03-20,46
2016-03-21,78
2016-03-22,64
2016-03-23,71
2016-03-24,60
2016-03-25,42
2016-03-26,30
2016-03-27,39
2016-03-28,56
2016-03-29,65
2016-03-30,56
2016-03-31,75
2016-04-01,71
2016-04-02,31
2016-04-03,50
2016-04-04,56
2016-04-05,71
2016-04-06,83
2016-04-07,69
2016-04-08,63
2016-04-09,39
2016-04-10,48
2016-04-11,66
2016-04-12,81
2016-04-13,75
2016-04-14,66
2016-04-15,50
2016-04-16,47
2016-04-17,46
2016-04-18,69
2016-04-19,66
2016-04-20,75
2016-04-21,62
2016-04-22,66
2016-04-23,44
2016-04-24,43
2016-04-25,60
2016-04-26,68
2016-04-27,78
2016-04-28,69
2016-04-29,44
2016-04-30,36
2016-05-01,39
2016-05-02,66
2016-05-03,70
2016-05-04,78
2016-05-05,100
2016-05-06,81
2016-05-07,47
2016-05-08,43
2016-05-09,82
2016-05-10,79
2016-05-11,68
2016-05-12,77
2016-05-13,66
2016-05-14,46
2016-05-15,47
2016-05-16,78
2016-05-17,70
2016-05-18,99
2016-05-19,76
2016-05-20,75
2016-05-21,51
2016-05-22,35
2016-05-23,73
2016-05-24,72
2016-05-25,68
2016-05-26,68
2016-05-27,73
2016-05-28,34
2016-05-29,35
2016-05-30,47
2016-05-31,70
2016-06-01,58
2016-06-02,71
2016-06-03,66
2016-06-04,38
2016-06-05,43
2016-06-06,69
2016-06-07,63
2016-06-08,76
2016-06-09,70
2016-06-10,55
2016-06-11,38
2016-06-12,39
2016-06-13,69
2016-06-14,59
2016-06-15,70
2016-06-16,68
2016-06-17,65
2016-06-18,32
2016-06-19,27
2016-06-20,62
2016-06-21,77
2016-06-22,82
2016-06-23,71
2016-06-24,59
2016-06-25,36
2016-06-26,38
2016-06-27,60
2016-06-28,66
2016-06-29,60
2016-06-30,60
2016-07-01,61
2016-07-02,44
2016-07-03,40
2016-07-04,44
2016-07-05,52
2016-07-06,75
2016-07-07,65
2016-07-08,66
2016-07-09,40
2016-07-10,34
2016-07-11,51
2016-07-12,67
2016-07-13,72
2016-07-14,71
2016-07-15,58
2016-07-16,34
2016-07-17,38
2016-07-18,72
2016-07-19,64
2016-07-20,69
2016-07-21,66
2016-07-22,51
2016-07-23,34
2016-07-24,29
2016-07-25,65
2016-07-26,56
2016-07-27,68
2016-07-28,62
2016-07-29,53
2016-07-30,30
2016-07-31,39
2016-08-01,67
2016-08-02,56
2016-08-03,75
2016-08-04,69
2016-08-05,58
2016-08-06,40
2016-08-07,58
2016-08-08,87
2016-08-09,78
2016-08-10,66
2016-08-11,75
2016-08-12,68
2016-08-13,49
2016-08-14,43
2016-08-15,56
2016-08-16,62
2016-08-17,63
2016-08-18,67
2016-08-19,53
2016-08-20,51
2016-08-21,38
2016-08-22,71
2016-08-23,76
2016-08-24,67
2016-08-25,67
2016-08-26,60
2016-08-27,43
2016-08-28,32
2016-08-29,64
2016-08-30,73
2016-08-31,58
2016-09-01,66
2016-09-02,57
2016-09-03,48
2016-09-04,33
2016-09-05,44
2016-09-06,68
2016-09-07,63
2016-09-08,64
2016-09-09,58
2016-09-10,33
2016-09-11,33
