date,TXN
2012-10-12,31
2012-10-13,24
2012-10-14,6
2012-10-15,49
2012-10-16,38
2012-10-17,26
2012-10-18,39
2012-10-19,26
2012-10-20,21
2012-10-21,17
2012-10-22,45
2012-10-23,35
2012-10-24,31
2012-10-25,35
2012-10-26,24
2012-10-27,12
2012-10-28,11
2012-10-29,27
2012-10-30,16
2012-10-31,20
2012-11-01,31
2012-11-02,16
2012-11-03,17
2012-11-04,17
2012-11-05,24
2012-11-06,44
2012-11-07,31
2012-11-08,21
2012-11-09,22
2012-11-10,13
2012-11-11,19
2012-11-12,27
2012-11-13,22
2012-11-14,35
2012-11-15,64
2012-11-16,48
2012-11-17,9
2012-11-18,19
2012-11-19,25
2012-11-20,35
2012-11-21,22
2012-11-22,27
2012-11-23,20
2012-11-24,13
2012-11-25,22
2012-11-26,34
2012-11-27,26
2012-11-28,29
2012-11-29,46
2012-11-30,33
2012-12-01,19
2012-12-02,17
2012-12-03,32
2012-12-04,37
2012-12-05,34
2012-12-06,36
2012-12-07,34
2012-12-08,23
2012-12-09,18
2012-12-10,38
2012-12-11,37
2012-12-12,39
2012-12-13,38
2012-12-14,49
2012-12-15,28
2012-12-16,15
2012-12-17,100
2012-12-18,54
2012-12-19,42
2012-12-20,33
2012-12-21,39
2012-12-22,33
2012-12-23,18
2012-12-24,20
2012-12-25,27
2012-12-26,25
2012-12-27,20
2012-12-28,26
2012-12-29,23
2012-12-30,17
2012-12-31,31
2013-01-01,16
2013-01-02,26
2013-01-03,58
2013-01-04,40
2013-01-05,16
2013-01-06,11
2013-01-07,21
2013-01-08,36
2013-01-09,33
2013-01-10,37
2013-01-11,33
2013-01-12,21
2013-01-13,16
2013-01-14,46
2013-01-15,29
2013-01-16,32
2013-01-17,39
2013-01-18,42
2013-01-19,12
2013-01-20,24
2013-01-21,25
2013-01-22,49
2013-01-23,48
2013-01-24,48
2013-01-25,26
2013-01-26,25
2013-01-27,12
2013-01-28,42
2013-01-29,46
2013-01-30,44
2013-01-31,40
2013-02-01,34
2013-02-02,16
2013-02-03,7
2013-02-04,31
2013-02-05,38
2013-02-06,31
2013-02-07,34
2013-02-08,39
2013-02-09,19
2013-02-10,16
2013-02-11,33
2013-02-12,45
2013-02-13,28
2013-02-14,42
2013-02-15,46
2013-02-16,19
2013-02-17,10
2013-02-18,21
2013-02-19,36
2013-02-20,48
2013-02-21,28
2013-02-22,50
2013-02-23,33
2013-02-24,17
2013-02-25,36
2013-02-26,37
2013-02-27,32
2013-02-28,28
2013-03-01,38
2013-03-02,27
2013-03-03,12
2013-03-04,32
2013-03-05,32
2013-03-06,64
2013-03-07,46
2013-03-08,31
2013-03-09,29
2013-03-10,23
2013-03-11,40
2013-03-12,34
2013-03-13,33
2013-03-14,36
2013-03-15,28
2013-03-16,29
2013-03-17,12
2013-03-18,34
2013-03-19,38
2013-03-20,29
2013-03-21,49
2013-03-22,31
2013-03-23,20
2013-03-24,15
2013-03-25,33
2013-03-26,30
2013-03-27,44
2013-03-28,40
2013-03-29,23
2013-03-30,20
2013-03-31,13
2013-04-01,24
2013-04-02,44
2013-04-03,43
2013-04-04,37
2013-04-05,41
2013-04-06,20
2013-04-07,12
2013-04-08,38
2013-04-09,44
2013-04-10,38
2013-04-11,55
2013-04-12,45
2013-04-13,22
2013-04-14,19
2013-04-15,33
2013-04-16,35
2013-04-17,39
2013-04-18,35
2013-04-19,40
2013-04-20,21
2013-04-21,18
2013-04-22,57
2013-04-23,63
2013-04-24,39
2013-04-25,40
2013-04-26,36
2013-04-27,19
2013-04-28,20
2013-04-29,30
2013-04-30,29
2013-05-01,24
2013-05-02,41
2013-05-03,36
2013-05-04,19
2013-05-05,17
2013-05-06,33
2013-05-07,40
2013-05-08,38
2013-05-09,28
2013-05-10,29
2013-05-11,24
2013-05-12,22
2013-05-13,17
2013-05-14,31
2013-05-15,25
2013-05-16,27
2013-05-17,42
2013-05-18,12
2013-05-19,20
2013-05-20,27
2013-05-21,31
2013-05-22,38
2013-05-23,25
2013-05-24,33
2013-05-25,16
2013-05-26,10
2013-05-27,15
2013-05-28,34
2013-05-29,29
2013-05-30,35
2013-05-31,31
2013-06-01,17
2013-06-02,15
2013-06-03,29
2013-06-04,22
2013-06-05,40
2013-06-06,24
2013-06-07,28
2013-06-08,14
2013-06-09,14
2013-06-10,21
2013-06-11,40
2013-06-12,25
2013-06-13,26
2013-06-14,31
2013-06-15,14
2013-06-16,10
2013-06-17,28
2013-06-18,30
2013-06-19,27
2013-06-20,29
2013-06-21,27
2013-06-22,12
2013-06-23,7
2013-06-24,35
2013-06-25,37
2013-06-26,34
2013-06-27,33
2013-06-28,15
2013-06-29,9
