date,TXN
2016-08-02,31
2016-08-03,29
2016-08-04,50
2016-08-05,26
2016-08-06,11
2016-08-07,22
2016-08-08,29
2016-08-09,32
2016-08-10,34
2016-08-11,36
2016-08-12,26
2016-08-13,20
2016-08-14,15
2016-08-15,39
2016-08-16,29
2016-08-17,28
2016-08-18,33
2016-08-19,35
2016-08-20,20
2016-08-21,19
2016-08-22,35
2016-08-23,29
2016-08-24,21
2016-08-25,22
2016-08-26,29
2016-08-27,16
2016-08-28,12
2016-08-29,33
2016-08-30,31
2016-08-31,21
2016-09-01,29
2016-09-02,33
2016-09-03,18
2016-09-04,16
2016-09-05,17
2016-09-06,40
2016-09-07,28
2016-09-08,43
2016-09-09,41
2016-09-10,17
2016-09-11,17
2016-09-12,43
2016-09-13,34
2016-09-14,30
2016-09-15,39
2016-09-16,46
2016-09-17,16
2016-09-18,15
2016-09-19,28
2016-09-20,30
2016-09-21,32
2016-09-22,24
2016-09-23,47
2016-09-24,21
2016-09-25,15
2016-09-26,28
2016-09-27,35
2016-09-28,32
2016-09-29,29
2016-09-30,46
2016-10-01,22
2016-10-02,23
2016-10-03,30
2016-10-04,36
2016-10-05,33
2016-10-06,41
2016-10-07,25
2016-10-08,22
2016-10-09,10
2016-10-10,29
2016-10-11,27
2016-10-12,34
2016-10-13,26
2016-10-14,24
2016-10-15,30
2016-10-16,16
2016-10-17,17
2016-10-18,30
2016-10-19,21
2016-10-20,21
2016-10-21,38
2016-10-22,15
2016-10-23,13
2016-10-24,37
2016-10-25,40
2016-10-26,48
2016-10-27,53
2016-10-28,34
2016-10-29,17
2016-10-30,15
2016-10-31,38
2016-11-01,43
2016-11-02,40
2016-11-03,37
2016-11-04,22
2016-11-05,21
2016-11-06,13
2016-11-07,43
2016-11-08,46
2016-11-09,60
2016-11-10,48
2016-11-11,39
2016-11-12,34
2016-11-13,8
2016-11-14,32
2016-11-15,41
2016-11-16,38
2016-11-17,57
2016-11-18,44
2016-11-19,20
2016-11-20,18
2016-11-21,45
2016-11-22,55
2016-11-23,50
2016-11-24,29
2016-11-25,39
2016-11-26,24
2016-11-27,27
2016-11-28,50
2016-11-29,54
2016-11-30,45
2016-12-01,45
2016-12-02,57
2016-12-03,28
2016-12-04,18
2016-12-05,36
2016-12-06,42
2016-12-07,45
2016-12-08,40
2016-12-09,47
2016-12-10,24
2016-12-11,18
2016-12-12,26
2016-12-13,49
2016-12-14,29
2016-12-15,49
2016-12-16,37
2016-12-17,27
2016-12-18,17
2016-12-19,43
2016-12-20,36
2016-12-21,52
2016-12-22,29
2016-12-23,24
2016-12-24,25
2016-12-25,26
2016-12-26,35
2016-12-27,34
2016-12-28,39
2016-12-29,36
2016-12-30,46
2016-12-31,17
2017-01-01,21
2017-01-02,28
2017-01-03,42
2017-01-04,38
2017-01-05,41
2017-01-06,39
2017-01-07,21
2017-01-08,17
2017-01-09,26
2017-01-10,54
2017-01-11,35
2017-01-12,44
2017-01-13,41
2017-01-14,29
2017-01-15,20
2017-01-16,27
2017-01-17,30
2017-01-18,35
2017-01-19,25
2017-01-20,31
2017-01-21,24
2017-01-22,13
2017-01-23,39
2017-01-24,92
2017-01-25,100
2017-01-26,56
2017-01-27,44
2017-01-28,19
2017-01-29,19
2017-01-30,53
2017-01-31,39
2017-02-01,47
2017-02-02,32
2017-02-03,32
2017-02-04,28
2017-02-05,17
2017-02-06,32
2017-02-07,46
2017-02-08,32
2017-02-09,46
2017-02-10,46
2017-02-11,23
2017-02-12,19
2017-02-13,39
2017-02-14,38
2017-02-15,43
2017-02-16,33
2017-02-17,33
2017-02-18,22
2017-02-19,17
2017-02-20,35
2017-02-21,39
2017-02-22,38
2017-02-23,30
2017-02-24,21
2017-02-25,17
2017-02-26,19
2017-02-27,36
2017-02-28,37
2017-03-01,46
2017-03-02,41
2017-03-03,35
2017-03-04,17
2017-03-05,23
2017-03-06,32
2017-03-07,42
2017-03-08,31
2017-03-09,48
2017-03-10,42
2017-03-11,20
2017-03-12,31
2017-03-13,28
2017-03-14,48
2017-03-15,31
2017-03-16,19
2017-03-17,42
2017-03-18,11
2017-03-19,23
2017-03-20,27
2017-03-21,33
2017-03-22,33
2017-03-23,47
2017-03-24,33
2017-03-25,27
2017-03-26,19
2017-03-27,42
2017-03-28,31
2017-03-29,36
2017-03-30,32
2017-03-31,43
2017-04-01,32
2017-04-02,21
2017-04-03,25
2017-04-04,35
2017-04-05,55
2017-04-06,56
2017-04-07,44
2017-04-08,29
2017-04-09,18
2017-04-10,39
2017-04-11,39
2017-04-12,52
2017-04-13,51
2017-04-14,30
2017-04-15,29
2017-04-16,15
2017-04-17,46
2017-04-18,38
