date,TXN
2012-01-26,94
2012-01-27,64
2012-01-28,30
2012-01-29,33
2012-01-30,54
2012-01-31,48
2012-02-01,63
2012-02-02,73
2012-02-03,47
2012-02-04,47
2012-02-05,39
2012-02-06,57
2012-02-07,92
2012-02-08,75
2012-02-09,57
2012-02-10,79
2012-02-11,43
2012-02-12,31
2012-02-13,53
2012-02-14,42
2012-02-15,51
2012-02-16,48
2012-02-17,44
2012-02-18,28
2012-02-19,33
2012-02-20,37
2012-02-21,80
2012-02-22,39
2012-02-23,39
2012-02-24,56
2012-02-25,25
2012-02-26,25
2012-02-27,39
2012-02-28,50
2012-02-29,63
2012-03-01,82
2012-03-02,33
2012-03-03,26
2012-03-04,22
2012-03-05,58
2012-03-06,60
2012-03-07,62
2012-03-08,37
2012-03-09,85
2012-03-10,32
2012-03-11,28
2012-03-12,47
2012-03-13,50
2012-03-14,51
2012-03-15,55
2012-03-16,50
2012-03-17,44
2012-03-18,36
2012-03-19,42
2012-03-20,83
2012-03-21,51
2012-03-22,24
2012-03-23,29
2012-03-24,22
2012-03-25,26
2012-03-26,66
2012-03-27,45
2012-03-28,58
2012-03-29,58
2012-03-30,61
2012-03-31,51
2012-04-01,16
2012-04-02,63
2012-04-03,58
2012-04-04,37
2012-04-05,41
2012-04-06,25
2012-04-07,27
2012-04-08,35
2012-04-09,57
2012-04-10,50
2012-04-11,47
2012-04-12,43
2012-04-13,38
2012-04-14,22
2012-04-15,27
2012-04-16,41
2012-04-17,59
2012-04-18,29
2012-04-19,30
2012-04-20,34
2012-04-21,70
2012-04-22,37
2012-04-23,100
2012-04-24,65
2012-04-25,77
2012-04-26,54
2012-04-27,41
2012-04-28,29
2012-04-29,27
2012-04-30,44
2012-05-01,19
2012-05-02,50
2012-05-03,33
2012-05-04,50
2012-05-05,27
2012-05-06,16
2012-05-07,29
2012-05-08,47
2012-05-09,44
2012-05-10,33
2012-05-11,69
2012-05-12,37
2012-05-13,22
2012-05-14,44
2012-05-15,41
2012-05-16,35
2012-05-17,46
2012-05-18,35
2012-05-19,28
2012-05-20,18
2012-05-21,32
2012-05-22,23
2012-05-23,49
2012-05-24,39
2012-05-25,35
2012-05-26,38
2012-05-27,34
2012-05-28,25
2012-05-29,32
2012-05-30,29
2012-05-31,36
2012-06-01,43
2012-06-02,17
2012-06-03,39
2012-06-04,41
2012-06-05,58
2012-06-06,52
2012-06-07,39
2012-06-08,28
2012-06-09,25
2012-06-10,29
2012-06-11,32
2012-06-12,37
2012-06-13,41
2012-06-14,39
2012-06-15,34
2012-06-16,29
2012-06-17,22
2012-06-18,46
2012-06-19,61
2012-06-20,56
2012-06-21,45
2012-06-22,53
2012-06-23,33
2012-06-24,36
2012-06-25,43
2012-06-26,38
2012-06-27,30
2012-06-28,18
2012-06-29,25
2012-06-30,30
2012-07-01,40
2012-07-02,41
2012-07-03,53
2012-07-04,60
2012-07-05,61
2012-07-06,31
2012-07-07,22
2012-07-08,22
2012-07-09,68
2012-07-10,41
2012-07-11,72
2012-07-12,51
2012-07-13,44
2012-07-14,22
2012-07-15,22
2012-07-16,44
2012-07-17,50
2012-07-18,45
2012-07-19,51
2012-07-20,35
2012-07-21,30
2012-07-22,30
2012-07-23,90
2012-07-24,51
2012-07-25,45
2012-07-26,61
2012-07-27,47
2012-07-28,33
2012-07-29,33
2012-07-30,47
2012-07-31,56
2012-08-01,48
2012-08-02,39
2012-08-03,47
2012-08-04,22
2012-08-05,19
2012-08-06,51
2012-08-07,65
2012-08-08,36
2012-08-09,30
2012-08-10,54
2012-08-11,22
2012-08-12,37
2012-08-13,59
2012-08-14,51
2012-08-15,43
2012-08-16,36
2012-08-17,47
2012-08-18,19
2012-08-19,26
2012-08-20,49
2012-08-21,60
2012-08-22,18
2012-08-23,49
2012-08-24,47
2012-08-25,43
2012-08-26,46
2012-08-27,52
2012-08-28,37
2012-08-29,38
2012-08-30,41
2012-08-31,33
2012-09-01,43
2012-09-02,39
2012-09-03,39
2012-09-04,51
2012-09-05,43
2012-09-06,67
2012-09-07,59
2012-09-08,28
2012-09-09,42
2012-09-10,48
2012-09-11,59
2012-09-12,48
2012-09-13,57
2012-09-14,57
2012-09-15,31
2012-09-16,21
2012-09-17,82
2012-09-18,53
2012-09-19,62
2012-09-20,55
2012-09-21,48
2012-09-22,28
2012-09-23,35
2012-09-24,48
2012-09-25,53
2012-09-26,51
2012-09-27,46
2012-09-28,60
2012-09-29,28
2012-09-30,35
2012-10-01,65
2012-10-02,31
2012-10-03,59
2012-10-04,39
2012-10-05,37
2012-10-06,37
2012-10-07,53
2012-10-08,44
2012-10-09,54
2012-10-10,35
2012-10-11,33
2012-10-12,53
