date,TXN
2014-07-24,50
2014-07-25,67
2014-07-26,32
2014-07-27,29
2014-07-28,72
2014-07-29,43
2014-07-30,41
2014-07-31,72
2014-08-01,37
2014-08-02,34
2014-08-03,32
2014-08-04,57
2014-08-05,57
2014-08-06,66
2014-08-07,24
2014-08-08,43
2014-08-09,34
2014-08-10,20
2014-08-11,56
2014-08-12,30
2014-08-13,30
2014-08-14,50
2014-08-15,23
2014-08-16,47
2014-08-17,25
2014-08-18,51
2014-08-19,67
2014-08-20,32
2014-08-21,35
2014-08-22,31
2014-08-23,38
2014-08-24,33
2014-08-25,39
2014-08-26,36
2014-08-27,46
2014-08-28,46
2014-08-29,31
2014-08-30,25
2014-08-31,27
2014-09-01,21
2014-09-02,40
2014-09-03,40
2014-09-04,61
2014-09-05,59
2014-09-06,24
2014-09-07,27
2014-09-08,60
2014-09-09,33
2014-09-10,48
2014-09-11,36
2014-09-12,44
2014-09-13,19
2014-09-14,8
2014-09-15,46
2014-09-16,58
2014-09-17,45
2014-09-18,47
2014-09-19,69
2014-09-20,29
2014-09-21,23
2014-09-22,42
2014-09-23,38
2014-09-24,37
2014-09-25,51
2014-09-26,32
2014-09-27,64
2014-09-28,21
2014-09-29,51
2014-09-30,50
2014-10-01,67
2014-10-02,54
2014-10-03,38
2014-10-04,19
2014-10-05,42
2014-10-06,78
2014-10-07,50
2014-10-08,44
2014-10-09,64
2014-10-10,94
2014-10-11,40
2014-10-12,28
2014-10-13,54
2014-10-14,45
2014-10-15,63
2014-10-16,57
2014-10-17,55
2014-10-18,37
2014-10-19,28
2014-10-20,75
2014-10-21,88
2014-10-22,78
2014-10-23,70
2014-10-24,61
2014-10-25,21
2014-10-26,30
2014-10-27,87
2014-10-28,68
2014-10-29,56
2014-10-30,65
2014-10-31,76
2014-11-01,58
2014-11-02,34
2014-11-03,75
2014-11-04,79
2014-11-05,81
2014-11-06,80
2014-11-07,65
2014-11-08,36
2014-11-09,22
2014-11-10,36
2014-11-11,28
2014-11-12,48
2014-11-13,54
2014-11-14,62
2014-11-15,28
2014-11-16,22
2014-11-17,57
2014-11-18,52
2014-11-19,68
2014-11-20,69
2014-11-21,76
2014-11-22,25
2014-11-23,41
2014-11-24,42
2014-11-25,52
2014-11-26,53
2014-11-27,56
2014-11-28,47
2014-11-29,33
2014-11-30,22
2014-12-01,35
2014-12-02,61
2014-12-03,90
2014-12-04,38
2014-12-05,64
2014-12-06,38
2014-12-07,17
2014-12-08,70
2014-12-09,56
2014-12-10,50
2014-12-11,60
2014-12-12,69
2014-12-13,31
2014-12-14,35
2014-12-15,65
2014-12-16,64
2014-12-17,50
2014-12-18,71
2014-12-19,44
2014-12-20,10
2014-12-21,8
2014-12-22,43
2014-12-23,54
2014-12-24,47
2014-12-25,26
2014-12-26,33
2014-12-27,31
2014-12-28,21
2014-12-29,36
2014-12-30,37
2014-12-31,41
2015-01-01,16
2015-01-02,40
2015-01-03,27
2015-01-04,22
2015-01-05,55
2015-01-06,64
2015-01-07,70
2015-01-08,43
2015-01-09,55
2015-01-10,38
2015-01-11,21
2015-01-12,45
2015-01-13,61
2015-01-14,61
2015-01-15,47
2015-01-16,46
2015-01-17,34
2015-01-18,32
2015-01-19,49
2015-01-20,60
2015-01-21,48
2015-01-22,72
2015-01-23,77
2015-01-24,17
2015-01-25,38
2015-01-26,91
2015-01-27,100
2015-01-28,44
2015-01-29,79
2015-01-30,73
2015-01-31,38
2015-02-01,16
2015-02-02,62
2015-02-03,36
2015-02-04,60
2015-02-05,54
2015-02-06,38
2015-02-07,36
2015-02-08,28
2015-02-09,46
2015-02-10,44
2015-02-11,74
2015-02-12,75
2015-02-13,70
2015-02-14,29
2015-02-15,46
2015-02-16,38
2015-02-17,39
2015-02-18,80
2015-02-19,67
2015-02-20,70
2015-02-21,24
2015-02-22,21
2015-02-23,71
2015-02-24,69
2015-02-25,42
2015-02-26,73
2015-02-27,75
2015-02-28,28
2015-03-01,34
2015-03-02,77
2015-03-03,69
2015-03-04,79
2015-03-05,75
2015-03-06,59
2015-03-07,21
2015-03-08,28
2015-03-09,56
2015-03-10,64
2015-03-11,38
2015-03-12,46
2015-03-13,46
2015-03-14,30
2015-03-15,23
2015-03-16,83
2015-03-17,42
2015-03-18,58
2015-03-19,66
2015-03-20,51
2015-03-21,26
2015-03-22,32
2015-03-23,43
2015-03-24,40
2015-03-25,47
2015-03-26,51
2015-03-27,52
2015-03-28,35
2015-03-29,15
2015-03-30,46
2015-03-31,52
2015-04-01,30
2015-04-02,59
2015-04-03,30
2015-04-04,29
2015-04-05,27
2015-04-06,49
2015-04-07,75
2015-04-08,58
2015-04-09,51
2015-04-10,43
