date,TXN
2011-01-01,17
2011-01-02,26
2011-01-03,24
2011-01-04,70
2011-01-05,37
2011-01-06,48
2011-01-07,24
2011-01-08,38
2011-01-09,19
2011-01-10,41
2011-01-11,50
2011-01-12,50
2011-01-13,36
2011-01-14,42
2011-01-15,19
2011-01-16,19
2011-01-17,37
2011-01-18,44
2011-01-19,55
2011-01-20,55
2011-01-21,55
2011-01-22,23
2011-01-23,21
2011-01-24,76
2011-01-25,83
2011-01-26,44
2011-01-27,45
2011-01-28,58
2011-01-29,22
2011-01-30,17
2011-01-31,44
2011-02-01,40
2011-02-02,52
2011-02-03,53
2011-02-04,38
2011-02-05,27
2011-02-06,23
2011-02-07,45
2011-02-08,63
2011-02-09,32
2011-02-10,32
2011-02-11,26
2011-02-12,27
2011-02-13,27
2011-02-14,54
2011-02-15,54
2011-02-16,43
2011-02-17,47
2011-02-18,49
2011-02-19,21
2011-02-20,18
2011-02-21,29
2011-02-22,38
2011-02-23,51
2011-02-24,34
2011-02-25,28
2011-02-26,13
2011-02-27,15
2011-02-28,50
2011-03-01,38
2011-03-02,56
2011-03-03,61
2011-03-04,49
2011-03-05,31
2011-03-06,12
2011-03-07,52
2011-03-08,32
2011-03-09,55
2011-03-10,38
2011-03-11,42
2011-03-12,49
2011-03-13,30
2011-03-14,38
2011-03-15,36
2011-03-16,21
2011-03-17,32
2011-03-18,41
2011-03-19,18
2011-03-20,27
2011-03-21,24
2011-03-22,19
2011-03-23,26
2011-03-24,29
2011-03-25,28
2011-03-26,24
2011-03-27,15
2011-03-28,40
2011-03-29,31
2011-03-30,19
2011-03-31,46
2011-04-01,36
2011-04-02,14
2011-04-03,54
2011-04-04,88
2011-04-05,92
2011-04-06,70
2011-04-07,51
2011-04-08,59
2011-04-09,31
2011-04-10,30
2011-04-11,48
2011-04-12,45
2011-04-13,41
2011-04-14,47
2011-04-15,36
2011-04-16,28
2011-04-17,18
2011-04-18,100
2011-04-19,69
2011-04-20,65
2011-04-21,51
2011-04-22,43
2011-04-23,20
2011-04-24,13
2011-04-25,40
2011-04-26,47
2011-04-27,36
2011-04-28,67
2011-04-29,51
2011-04-30,12
2011-05-01,14
2011-05-02,48
2011-05-03,55
2011-05-04,46
2011-05-05,34
2011-05-06,46
2011-05-07,18
2011-05-08,28
2011-05-09,36
2011-05-10,40
2011-05-11,19
2011-05-12,38
2011-05-13,38
2011-05-14,45
2011-05-15,26
2011-05-16,28
2011-05-17,45
2011-05-18,36
2011-05-19,39
2011-05-20,40
2011-05-21,15
2011-05-22,21
2011-05-23,33
2011-05-24,30
2011-05-25,21
2011-05-26,31
2011-05-27,25
2011-05-28,24
2011-05-29,23
2011-05-30,18
2011-05-31,35
2011-06-01,41
2011-06-02,25
2011-06-03,23
2011-06-04,19
2011-06-05,24
2011-06-06,42
2011-06-07,28
2011-06-08,57
2011-06-09,40
2011-06-10,40
2011-06-11,18
2011-06-12,18
2011-06-13,26
2011-06-14,33
2011-06-15,40
2011-06-16,26
2011-06-17,30
2011-06-18,18
2011-06-19,27
2011-06-20,23
2011-06-21,19
2011-06-22,36
2011-06-23,40
2011-06-24,26
2011-06-25,24
2011-06-26,25
2011-06-27,33
2011-06-28,38
2011-06-29,29
2011-06-30,31
2011-07-01,49
2011-07-02,12
2011-07-03,16
2011-07-04,33
2011-07-05,43
2011-07-06,26
2011-07-07,44
2011-07-08,43
2011-07-09,19
2011-07-10,25
2011-07-11,24
2011-07-12,19
2011-07-13,33
2011-07-14,37
2011-07-15,39
2011-07-16,12
2011-07-17,28
2011-07-18,36
2011-07-19,33
2011-07-20,29
2011-07-21,39
2011-07-22,23
2011-07-23,18
2011-07-24,15
2011-07-25,57
2011-07-26,54
2011-07-27,26
2011-07-28,24
2011-07-29,50
2011-07-30,23
2011-07-31,23
2011-08-01,39
2011-08-02,48
2011-08-03,35
2011-08-04,43
2011-08-05,52
2011-08-06,15
2011-08-07,13
2011-08-08,58
2011-08-09,51
2011-08-10,54
2011-08-11,38
2011-08-12,35
2011-08-13,18
2011-08-14,15
2011-08-15,29
2011-08-16,33
2011-08-17,31
2011-08-18,52
2011-08-19,40
2011-08-20,31
2011-08-21,20
2011-08-22,25
2011-08-23,18
2011-08-24,34
2011-08-25,37
2011-08-26,29
2011-08-27,11
2011-08-28,17
2011-08-29,32
2011-08-30,25
2011-08-31,25
2011-09-01,37
2011-09-02,33
2011-09-03,13
2011-09-04,19
2011-09-05,27
2011-09-06,26
2011-09-07,29
2011-09-08,44
2011-09-09,46
2011-09-10,14
2011-09-11,28
2011-09-12,28
2011-09-13,21
2011-09-14,28
2011-09-15,46
2011-09-16,42
2011-09-17,14
2011-09-18,18
