date,MSFT
2015-12-26,7
2015-12-27,7
2015-12-28,12
2015-12-29,17
2015-12-30,14
2015-12-31,15
2016-01-01,7
2016-01-02,6
2016-01-03,8
2016-01-04,22
2016-01-05,24
2016-01-06,23
2016-01-07,28
2016-01-08,25
2016-01-09,9
2016-01-10,7
2016-01-11,18
2016-01-12,18
2016-01-13,21
2016-01-14,23
2016-01-15,21
2016-01-16,13
2016-01-17,8
2016-01-18,13
2016-01-19,22
2016-01-20,22
2016-01-21,22
2016-01-22,22
2016-01-23,7
2016-01-24,5
2016-01-25,20
2016-01-26,20
2016-01-27,24
2016-01-28,59
2016-01-29,67
2016-01-30,17
2016-01-31,10
2016-02-01,24
2016-02-02,25
2016-02-03,23
2016-02-04,22
2016-02-05,24
2016-02-06,11
2016-02-07,6
2016-02-08,24
2016-02-09,22
2016-02-10,21
2016-02-11,23
2016-02-12,18
2016-02-13,7
2016-02-14,8
2016-02-15,10
2016-02-16,23
2016-02-17,20
2016-02-18,20
2016-02-19,20
2016-02-20,10
2016-02-21,4
2016-02-22,18
2016-02-23,21
2016-02-24,21
2016-02-25,16
2016-02-26,18
2016-02-27,8
2016-02-28,7
2016-02-29,17
2016-03-01,21
2016-03-02,18
2016-03-03,19
2016-03-04,16
2016-03-05,6
2016-03-06,6
2016-03-07,17
2016-03-08,17
2016-03-09,18
2016-03-10,20
2016-03-11,18
2016-03-12,9
2016-03-13,5
2016-03-14,16
2016-03-15,17
2016-03-16,17
2016-03-17,21
2016-03-18,19
2016-03-19,6
2016-03-20,5
2016-03-21,17
2016-03-22,21
2016-03-23,20
2016-03-24,19
2016-03-25,12
2016-03-26,8
2016-03-27,5
2016-03-28,15
2016-03-29,16
2016-03-30,24
2016-03-31,24
2016-04-01,20
2016-04-02,8
2016-04-03,5
2016-04-04,15
2016-04-05,17
2016-04-06,17
2016-04-07,17
2016-04-08,20
2016-04-09,5
2016-04-10,6
2016-04-11,16
2016-04-12,15
2016-04-13,15
2016-04-14,19
2016-04-15,19
2016-04-16,9
2016-04-17,3
2016-04-18,19
2016-04-19,23
2016-04-20,21
2016-04-21,48
2016-04-22,67
2016-04-23,18
2016-04-24,9
2016-04-25,26
2016-04-26,25
2016-04-27,27
2016-04-28,28
2016-04-29,23
2016-04-30,10
2016-05-01,7
2016-05-02,20
2016-05-03,22
2016-05-04,17
2016-05-05,19
2016-05-06,13
2016-05-07,7
2016-05-08,5
2016-05-09,17
2016-05-10,21
2016-05-11,16
2016-05-12,22
2016-05-13,15
2016-05-14,3
2016-05-15,4
2016-05-16,20
2016-05-17,17
2016-05-18,17
2016-05-19,15
2016-05-20,14
2016-05-21,7
2016-05-22,5
2016-05-23,14
2016-05-24,23
2016-05-25,24
2016-05-26,21
2016-05-27,19
2016-05-28,8
2016-05-29,4
2016-05-30,7
2016-05-31,19
2016-06-01,16
2016-06-02,15
2016-06-03,16
2016-06-04,4
2016-06-05,4
2016-06-06,14
2016-06-07,12
2016-06-08,14
2016-06-09,13
2016-06-10,13
2016-06-11,5
2016-06-12,3
2016-06-13,100
2016-06-14,35
2016-06-15,24
2016-06-16,21
2016-06-17,18
2016-06-18,8
2016-06-19,4
2016-06-20,18
2016-06-21,18
2016-06-22,16
2016-06-23,18
2016-06-24,52
2016-06-25,10
2016-06-26,8
2016-06-27,24
2016-06-28,27
2016-06-29,21
2016-06-30,21
2016-07-01,19
2016-07-02,6
2016-07-03,5
2016-07-04,8
2016-07-05,15
2016-07-06,21
2016-07-07,20
2016-07-08,21
2016-07-09,11
2016-07-10,6
2016-07-11,17
2016-07-12,20
2016-07-13,20
2016-07-14,20
2016-07-15,23
2016-07-16,7
2016-07-17,4
2016-07-18,22
2016-07-19,65
2016-07-20,91
2016-07-21,42
2016-07-22,26
2016-07-23,9
2016-07-24,7
2016-07-25,24
2016-07-26,26
2016-07-27,21
2016-07-28,20
2016-07-29,25
2016-07-30,8
2016-07-31,5
2016-08-01,18
2016-08-02,20
2016-08-03,18
2016-08-04,22
2016-08-05,20
2016-08-06,8
2016-08-07,8
2016-08-08,19
2016-08-09,18
2016-08-10,15
2016-08-11,20
2016-08-12,19
2016-08-13,5
2016-08-14,6
2016-08-15,20
2016-08-16,19
2016-08-17,17
2016-08-18,20
2016-08-19,16
2016-08-20,5
2016-08-21,6
2016-08-22,14
2016-08-23,23
2016-08-24,19
2016-08-25,14
2016-08-26,13
2016-08-27,8
2016-08-28,6
2016-08-29,18
2016-08-30,14
2016-08-31,17
2016-09-01,18
2016-09-02,18
2016-09-03,5
2016-09-04,5
2016-09-05,8
2016-09-06,19
2016-09-07,17
2016-09-08,19
2016-09-09,16
2016-09-10,6
2016-09-11,5
