date,MSFT
2012-10-12,31
2012-10-13,11
2012-10-14,10
2012-10-15,39
2012-10-16,51
2012-10-17,44
2012-10-18,77
2012-10-19,74
2012-10-20,21
2012-10-21,11
2012-10-22,50
2012-10-23,56
2012-10-24,53
2012-10-25,56
2012-10-26,72
2012-10-27,27
2012-10-28,18
2012-10-29,32
2012-10-30,29
2012-10-31,52
2012-11-01,55
2012-11-02,49
2012-11-03,25
2012-11-04,13
2012-11-05,39
2012-11-06,45
2012-11-07,53
2012-11-08,37
2012-11-09,37
2012-11-10,15
2012-11-11,18
2012-11-12,32
2012-11-13,88
2012-11-14,59
2012-11-15,51
2012-11-16,46
2012-11-17,20
2012-11-18,14
2012-11-19,46
2012-11-20,43
2012-11-21,37
2012-11-22,14
2012-11-23,30
2012-11-24,17
2012-11-25,9
2012-11-26,33
2012-11-27,40
2012-11-28,41
2012-11-29,38
2012-11-30,38
2012-12-01,20
2012-12-02,9
2012-12-03,36
2012-12-04,35
2012-12-05,39
2012-12-06,42
2012-12-07,40
2012-12-08,21
2012-12-09,11
2012-12-10,37
2012-12-11,39
2012-12-12,45
2012-12-13,29
2012-12-14,35
2012-12-15,17
2012-12-16,15
2012-12-17,31
2012-12-18,33
2012-12-19,31
2012-12-20,39
2012-12-21,33
2012-12-22,18
2012-12-23,10
2012-12-24,21
2012-12-25,11
2012-12-26,25
2012-12-27,34
2012-12-28,30
2012-12-29,19
2012-12-30,10
2012-12-31,32
2013-01-01,16
2013-01-02,40
2013-01-03,47
2013-01-04,39
2013-01-05,20
2013-01-06,14
2013-01-07,36
2013-01-08,38
2013-01-09,34
2013-01-10,38
2013-01-11,36
2013-01-12,16
2013-01-13,13
2013-01-14,41
2013-01-15,37
2013-01-16,35
2013-01-17,35
2013-01-18,34
2013-01-19,11
2013-01-20,10
2013-01-21,26
2013-01-22,45
2013-01-23,47
2013-01-24,95
2013-01-25,100
2013-01-26,31
2013-01-27,18
2013-01-28,39
2013-01-29,39
2013-01-30,36
2013-01-31,37
2013-02-01,45
2013-02-02,18
2013-02-03,13
2013-02-04,30
2013-02-05,34
2013-02-06,35
2013-02-07,29
2013-02-08,28
2013-02-09,16
2013-02-10,13
2013-02-11,33
2013-02-12,42
2013-02-13,34
2013-02-14,37
2013-02-15,31
2013-02-16,18
2013-02-17,8
2013-02-18,20
2013-02-19,35
2013-02-20,36
2013-02-21,36
2013-02-22,28
2013-02-23,15
2013-02-24,10
2013-02-25,33
2013-02-26,28
2013-02-27,26
2013-02-28,30
2013-03-01,26
2013-03-02,19
2013-03-03,15
2013-03-04,27
2013-03-05,39
2013-03-06,46
2013-03-07,35
2013-03-08,34
2013-03-09,12
2013-03-10,13
2013-03-11,31
2013-03-12,26
2013-03-13,30
2013-03-14,27
2013-03-15,31
2013-03-16,18
2013-03-17,10
2013-03-18,26
2013-03-19,27
2013-03-20,30
2013-03-21,29
2013-03-22,25
2013-03-23,12
2013-03-24,12
2013-03-25,31
2013-03-26,31
2013-03-27,27
2013-03-28,29
2013-03-29,24
2013-03-30,13
2013-03-31,15
2013-04-01,24
2013-04-02,28
2013-04-03,32
2013-04-04,30
2013-04-05,25
2013-04-06,13
2013-04-07,12
2013-04-08,25
2013-04-09,45
2013-04-10,68
2013-04-11,83
2013-04-12,52
2013-04-13,19
2013-04-14,13
2013-04-15,36
2013-04-16,43
2013-04-17,42
2013-04-18,54
2013-04-19,69
2013-04-20,17
2013-04-21,17
2013-04-22,58
2013-04-23,55
2013-04-24,54
2013-04-25,61
2013-04-26,58
2013-04-27,23
2013-04-28,15
2013-04-29,54
2013-04-30,54
2013-05-01,63
2013-05-02,54
2013-05-03,52
2013-05-04,17
2013-05-05,18
2013-05-06,50
2013-05-07,62
2013-05-08,49
2013-05-09,44
2013-05-10,39
2013-05-11,23
2013-05-12,8
2013-05-13,37
2013-05-14,38
2013-05-15,40
2013-05-16,55
2013-05-17,71
2013-05-18,25
2013-05-19,18
2013-05-20,56
2013-05-21,100
2013-05-22,92
2013-05-23,57
2013-05-24,46
2013-05-25,20
2013-05-26,15
2013-05-27,17
2013-05-28,43
2013-05-29,41
2013-05-30,45
2013-05-31,36
2013-06-01,22
2013-06-02,15
2013-06-03,44
2013-06-04,51
2013-06-05,45
2013-06-06,38
2013-06-07,39
2013-06-08,21
2013-06-09,14
2013-06-10,46
2013-06-11,58
2013-06-12,46
2013-06-13,41
2013-06-14,34
2013-06-15,16
2013-06-16,13
2013-06-17,32
2013-06-18,39
2013-06-19,34
2013-06-20,41
2013-06-21,44
2013-06-22,13
2013-06-23,14
2013-06-24,35
2013-06-25,34
2013-06-26,40
2013-06-27,39
2013-06-28,40
2013-06-29,19
