date,MSFT
2015-04-10,22
2015-04-11,9
2015-04-12,5
2015-04-13,22
2015-04-14,21
2015-04-15,24
2015-04-16,22
2015-04-17,22
2015-04-18,8
2015-04-19,6
2015-04-20,27
2015-04-21,26
2015-04-22,25
2015-04-23,53
2015-04-24,83
2015-04-25,26
2015-04-26,14
2015-04-27,42
2015-04-28,46
2015-04-29,48
2015-04-30,44
2015-05-01,36
2015-05-02,14
2015-05-03,9
2015-05-04,32
2015-05-05,32
2015-05-06,27
2015-05-07,28
2015-05-08,28
2015-05-09,11
2015-05-10,6
2015-05-11,22
2015-05-12,24
2015-05-13,23
2015-05-14,25
2015-05-15,25
2015-05-16,8
2015-05-17,7
2015-05-18,20
2015-05-19,26
2015-05-20,22
2015-05-21,24
2015-05-22,22
2015-05-23,8
2015-05-24,7
2015-05-25,10
2015-05-26,21
2015-05-27,21
2015-05-28,21
2015-05-29,18
2015-05-30,7
2015-05-31,6
2015-06-01,22
2015-06-02,22
2015-06-03,17
2015-06-04,19
2015-06-05,18
2015-06-06,9
2015-06-07,6
2015-06-08,19
2015-06-09,19
2015-06-10,19
2015-06-11,19
2015-06-12,16
2015-06-13,7
2015-06-14,5
2015-06-15,18
2015-06-16,22
2015-06-17,22
2015-06-18,27
2015-06-19,19
2015-06-20,10
2015-06-21,7
2015-06-22,16
2015-06-23,19
2015-06-24,22
2015-06-25,18
2015-06-26,17
2015-06-27,7
2015-06-28,5
2015-06-29,22
2015-06-30,25
2015-07-01,22
2015-07-02,23
2015-07-03,11
2015-07-04,8
2015-07-05,7
2015-07-06,22
2015-07-07,18
2015-07-08,47
2015-07-09,29
2015-07-10,25
2015-07-11,9
2015-07-12,7
2015-07-13,26
2015-07-14,22
2015-07-15,23
2015-07-16,23
2015-07-17,28
2015-07-18,12
2015-07-19,8
2015-07-20,27
2015-07-21,67
2015-07-22,66
2015-07-23,33
2015-07-24,25
2015-07-25,11
2015-07-26,10
2015-07-27,24
2015-07-28,25
2015-07-29,34
2015-07-30,33
2015-07-31,27
2015-08-01,15
2015-08-02,10
2015-08-03,22
2015-08-04,25
2015-08-05,31
2015-08-06,24
2015-08-07,20
2015-08-08,7
2015-08-09,7
2015-08-10,21
2015-08-11,23
2015-08-12,23
2015-08-13,21
2015-08-14,19
2015-08-15,12
2015-08-16,8
2015-08-17,20
2015-08-18,21
2015-08-19,19
2015-08-20,22
2015-08-21,28
2015-08-22,14
2015-08-23,8
2015-08-24,47
2015-08-25,44
2015-08-26,36
2015-08-27,28
2015-08-28,29
2015-08-29,10
2015-08-30,7
2015-08-31,21
2015-09-01,27
2015-09-02,25
2015-09-03,25
2015-09-04,25
2015-09-05,10
2015-09-06,8
2015-09-07,10
2015-09-08,21
2015-09-09,27
2015-09-10,23
2015-09-11,23
2015-09-12,8
2015-09-13,6
2015-09-14,19
2015-09-15,22
2015-09-16,24
2015-09-17,21
2015-09-18,21
2015-09-19,6
2015-09-20,7
2015-09-21,21
2015-09-22,17
2015-09-23,16
2015-09-24,17
2015-09-25,18
2015-09-26,5
2015-09-27,7
2015-09-28,20
2015-09-29,20
2015-09-30,20
2015-10-01,19
2015-10-02,20
2015-10-03,8
2015-10-04,7
2015-10-05,21
2015-10-06,42
2015-10-07,36
2015-10-08,31
2015-10-09,27
2015-10-10,11
2015-10-11,6
2015-10-12,23
2015-10-13,21
2015-10-14,21
2015-10-15,18
2015-10-16,20
2015-10-17,8
2015-10-18,6
2015-10-19,21
2015-10-20,22
2015-10-21,24
2015-10-22,59
2015-10-23,100
2015-10-24,30
2015-10-25,14
2015-10-26,46
2015-10-27,43
2015-10-28,38
2015-10-29,31
2015-10-30,27
2015-10-31,10
2015-11-01,9
2015-11-02,26
2015-11-03,27
2015-11-04,30
2015-11-05,25
2015-11-06,27
2015-11-07,11
2015-11-08,8
2015-11-09,21
2015-11-10,23
2015-11-11,19
2015-11-12,20
2015-11-13,20
2015-11-14,9
2015-11-15,6
2015-11-16,22
2015-11-17,20
2015-11-18,17
2015-11-19,19
2015-11-20,20
2015-11-21,6
2015-11-22,6
2015-11-23,16
2015-11-24,18
2015-11-25,19
2015-11-26,9
2015-11-27,9
2015-11-28,7
2015-11-29,4
2015-11-30,19
2015-12-01,23
2015-12-02,25
2015-12-03,22
2015-12-04,25
2015-12-05,12
2015-12-06,6
2015-12-07,21
2015-12-08,23
2015-12-09,19
2015-12-10,19
2015-12-11,20
2015-12-12,7
2015-12-13,6
2015-12-14,17
2015-12-15,20
2015-12-16,21
2015-12-17,25
2015-12-18,22
2015-12-19,11
2015-12-20,5
2015-12-21,21
2015-12-22,19
2015-12-23,20
2015-12-24,15
2015-12-25,7
2015-12-26,7
