date,MSFT
2014-03-16,8
2014-03-17,23
2014-03-18,37
2014-03-19,36
2014-03-20,36
2014-03-21,35
2014-03-22,11
2014-03-23,10
2014-03-24,30
2014-03-25,31
2014-03-26,33
2014-03-27,40
2014-03-28,40
2014-03-29,15
2014-03-30,9
2014-03-31,37
2014-04-01,38
2014-04-02,44
2014-04-03,36
2014-04-04,36
2014-04-05,17
2014-04-06,11
2014-04-07,32
2014-04-08,31
2014-04-09,31
2014-04-10,33
2014-04-11,27
2014-04-12,16
2014-04-13,10
2014-04-14,26
2014-04-15,31
2014-04-16,26
2014-04-17,28
2014-04-18,17
2014-04-19,10
2014-04-20,7
2014-04-21,27
2014-04-22,27
2014-04-23,25
2014-04-24,56
2014-04-25,53
2014-04-26,12
2014-04-27,12
2014-04-28,30
2014-04-29,32
2014-04-30,24
2014-05-01,29
2014-05-02,27
2014-05-03,11
2014-05-04,8
2014-05-05,24
2014-05-06,25
2014-05-07,31
2014-05-08,28
2014-05-09,22
2014-05-10,9
2014-05-11,8
2014-05-12,24
2014-05-13,32
2014-05-14,27
2014-05-15,29
2014-05-16,22
2014-05-17,12
2014-05-18,10
2014-05-19,23
2014-05-20,36
2014-05-21,28
2014-05-22,30
2014-05-23,22
2014-05-24,10
2014-05-25,8
2014-05-26,10
2014-05-27,25
2014-05-28,21
2014-05-29,25
2014-05-30,27
2014-05-31,12
2014-06-01,6
2014-06-02,19
2014-06-03,21
2014-06-04,20
2014-06-05,26
2014-06-06,28
2014-06-07,7
2014-06-08,7
2014-06-09,25
2014-06-10,20
2014-06-11,22
2014-06-12,23
2014-06-13,21
2014-06-14,11
2014-06-15,9
2014-06-16,18
2014-06-17,24
2014-06-18,24
2014-06-19,20
2014-06-20,22
2014-06-21,11
2014-06-22,8
2014-06-23,20
2014-06-24,25
2014-06-25,22
2014-06-26,24
2014-06-27,19
2014-06-28,9
2014-06-29,7
2014-06-30,23
2014-07-01,26
2014-07-02,23
2014-07-03,23
2014-07-04,12
2014-07-05,8
2014-07-06,8
2014-07-07,22
2014-07-08,22
2014-07-09,21
2014-07-10,20
2014-07-11,28
2014-07-12,9
2014-07-13,6
2014-07-14,22
2014-07-15,33
2014-07-16,40
2014-07-17,100
2014-07-18,53
2014-07-19,25
2014-07-20,11
2014-07-21,34
2014-07-22,67
2014-07-23,54
2014-07-24,32
2014-07-25,26
2014-07-26,14
2014-07-27,10
2014-07-28,22
2014-07-29,25
2014-07-30,26
2014-07-31,23
2014-08-01,31
2014-08-02,11
2014-08-03,10
2014-08-04,26
2014-08-05,25
2014-08-06,19
2014-08-07,27
2014-08-08,16
2014-08-09,7
2014-08-10,7
2014-08-11,22
2014-08-12,18
2014-08-13,19
2014-08-14,23
2014-08-15,24
2014-08-16,10
2014-08-17,10
2014-08-18,27
2014-08-19,33
2014-08-20,33
2014-08-21,23
2014-08-22,23
2014-08-23,10
2014-08-24,7
2014-08-25,24
2014-08-26,21
2014-08-27,23
2014-08-28,22
2014-08-29,18
2014-08-30,10
2014-08-31,7
2014-09-01,10
2014-09-02,23
2014-09-03,21
2014-09-04,24
2014-09-05,25
2014-09-06,11
2014-09-07,11
2014-09-08,29
2014-09-09,33
2014-09-10,28
2014-09-11,21
2014-09-12,22
2014-09-13,11
2014-09-14,9
2014-09-15,32
2014-09-16,30
2014-09-17,29
2014-09-18,27
2014-09-19,33
2014-09-20,12
2014-09-21,11
2014-09-22,24
2014-09-23,27
2014-09-24,26
2014-09-25,26
2014-09-26,20
2014-09-27,12
2014-09-28,9
2014-09-29,21
2014-09-30,28
2014-10-01,25
2014-10-02,26
2014-10-03,23
2014-10-04,11
2014-10-05,7
2014-10-06,21
2014-10-07,27
2014-10-08,26
2014-10-09,27
2014-10-10,29
2014-10-11,17
2014-10-12,9
2014-10-13,29
2014-10-14,27
2014-10-15,29
2014-10-16,31
2014-10-17,30
2014-10-18,13
2014-10-19,9
2014-10-20,29
2014-10-21,31
2014-10-22,24
2014-10-23,58
2014-10-24,59
2014-10-25,17
2014-10-26,7
2014-10-27,27
2014-10-28,29
2014-10-29,33
2014-10-30,29
2014-10-31,28
2014-11-01,13
2014-11-02,11
2014-11-03,25
2014-11-04,28
2014-11-05,26
2014-11-06,30
2014-11-07,38
2014-11-08,17
2014-11-09,11
2014-11-10,29
2014-11-11,27
2014-11-12,33
2014-11-13,31
2014-11-14,33
2014-11-15,19
2014-11-16,8
2014-11-17,24
2014-11-18,24
2014-11-19,24
2014-11-20,25
2014-11-21,21
2014-11-22,8
2014-11-23,10
2014-11-24,24
2014-11-25,23
2014-11-26,23
2014-11-27,14
2014-11-28,15
2014-11-29,9
2014-11-30,8
2014-12-01,24
