date,MSFT
2011-05-11,77
2011-05-12,49
2011-05-13,45
2011-05-14,15
2011-05-15,15
2011-05-16,41
2011-05-17,43
2011-05-18,38
2011-05-19,34
2011-05-20,31
2011-05-21,17
2011-05-22,10
2011-05-23,37
2011-05-24,36
2011-05-25,34
2011-05-26,50
2011-05-27,45
2011-05-28,21
2011-05-29,11
2011-05-30,9
2011-05-31,39
2011-06-01,42
2011-06-02,57
2011-06-03,34
2011-06-04,14
2011-06-05,13
2011-06-06,41
2011-06-07,40
2011-06-08,30
2011-06-09,31
2011-06-10,39
2011-06-11,12
2011-06-12,12
2011-06-13,35
2011-06-14,34
2011-06-15,42
2011-06-16,30
2011-06-17,29
2011-06-18,22
2011-06-19,15
2011-06-20,30
2011-06-21,41
2011-06-22,33
2011-06-23,31
2011-06-24,29
2011-06-25,13
2011-06-26,11
2011-06-27,40
2011-06-28,54
2011-06-29,49
2011-06-30,45
2011-07-01,49
2011-07-02,19
2011-07-03,11
2011-07-04,13
2011-07-05,44
2011-07-06,51
2011-07-07,48
2011-07-08,50
2011-07-09,19
2011-07-10,11
2011-07-11,42
2011-07-12,42
2011-07-13,45
2011-07-14,39
2011-07-15,39
2011-07-16,18
2011-07-17,12
2011-07-18,38
2011-07-19,50
2011-07-20,52
2011-07-21,100
2011-07-22,91
2011-07-23,21
2011-07-24,15
2011-07-25,53
2011-07-26,58
2011-07-27,39
2011-07-28,45
2011-07-29,40
2011-07-30,19
2011-07-31,13
2011-08-01,41
2011-08-02,46
2011-08-03,34
2011-08-04,59
2011-08-05,61
2011-08-06,16
2011-08-07,12
2011-08-08,75
2011-08-09,84
2011-08-10,61
2011-08-11,60
2011-08-12,47
2011-08-13,18
2011-08-14,16
2011-08-15,46
2011-08-16,40
2011-08-17,30
2011-08-18,43
2011-08-19,50
2011-08-20,12
2011-08-21,14
2011-08-22,35
2011-08-23,37
2011-08-24,39
2011-08-25,51
2011-08-26,32
2011-08-27,16
2011-08-28,9
2011-08-29,32
2011-08-30,41
2011-08-31,38
2011-09-01,38
2011-09-02,40
2011-09-03,10
2011-09-04,8
2011-09-05,16
2011-09-06,35
2011-09-07,38
2011-09-08,28
2011-09-09,41
2011-09-10,13
2011-09-11,13
2011-09-12,32
2011-09-13,46
2011-09-14,49
2011-09-15,41
2011-09-16,42
2011-09-17,18
2011-09-18,15
2011-09-19,38
2011-09-20,44
2011-09-21,58
2011-09-22,58
2011-09-23,42
2011-09-24,12
2011-09-25,12
2011-09-26,42
2011-09-27,39
2011-09-28,37
2011-09-29,36
2011-09-30,34
2011-10-01,15
2011-10-02,12
2011-10-03,36
2011-10-04,49
2011-10-05,43
2011-10-06,54
2011-10-07,38
2011-10-08,17
2011-10-09,10
2011-10-10,29
2011-10-11,36
2011-10-12,46
2011-10-13,39
2011-10-14,39
2011-10-15,14
2011-10-16,11
2011-10-17,40
2011-10-18,37
2011-10-19,42
2011-10-20,73
2011-10-21,56
2011-10-22,20
2011-10-23,12
2011-10-24,42
2011-10-25,29
2011-10-26,30
2011-10-27,39
2011-10-28,35
2011-10-29,12
2011-10-30,12
2011-10-31,34
2011-11-01,29
2011-11-02,31
2011-11-03,41
2011-11-04,28
2011-11-05,9
2011-11-06,10
2011-11-07,24
2011-11-08,31
2011-11-09,32
2011-11-10,27
2011-11-11,26
2011-11-12,11
2011-11-13,12
2011-11-14,33
2011-11-15,28
2011-11-16,30
2011-11-17,25
2011-11-18,26
2011-11-19,11
2011-11-20,13
2011-11-21,33
2011-11-22,28
2011-11-23,26
2011-11-24,16
2011-11-25,15
2011-11-26,10
2011-11-27,11
2011-11-28,28
2011-11-29,36
2011-11-30,31
2011-12-01,34
2011-12-02,29
2011-12-03,16
2011-12-04,11
2011-12-05,28
2011-12-06,31
2011-12-07,28
2011-12-08,31
2011-12-09,37
2011-12-10,10
2011-12-11,10
2011-12-12,21
2011-12-13,27
2011-12-14,25
2011-12-15,27
2011-12-16,31
2011-12-17,18
2011-12-18,9
2011-12-19,24
2011-12-20,32
2011-12-21,27
2011-12-22,30
2011-12-23,22
2011-12-24,16
2011-12-25,14
2011-12-26,14
2011-12-27,26
2011-12-28,24
2011-12-29,23
2011-12-30,19
2011-12-31,12
2012-01-01,11
2012-01-02,17
2012-01-03,35
2012-01-04,34
2012-01-05,35
2012-01-06,46
2012-01-07,15
2012-01-08,16
2012-01-09,37
2012-01-10,48
2012-01-11,37
2012-01-12,40
2012-01-13,40
2012-01-14,17
2012-01-15,14
2012-01-16,27
2012-01-17,40
2012-01-18,46
2012-01-19,65
2012-01-20,86
2012-01-21,29
2012-01-22,19
2012-01-23,42
2012-01-24,45
2012-01-25,46
2012-01-26,42
