date,MDLZ,isPartial
2012-06-04,0,False
2012-06-05,0,False
2012-06-06,0,False
2012-06-07,0,False
2012-06-08,0,False
2012-06-09,0,False
2012-06-10,0,False
2012-06-11,0,False
2012-06-12,0,False
2012-06-13,5,False
2012-06-14,0,False
2012-06-15,0,False
2012-06-16,0,False
2012-06-17,0,False
2012-06-18,0,False
2012-06-19,0,False
2012-06-20,0,False
2012-06-21,0,False
2012-06-22,0,False
2012-06-23,0,False
2012-06-24,0,False
2012-06-25,0,False
2012-06-26,10,False
2012-06-27,0,False
2012-06-28,0,False
2012-06-29,0,False
2012-06-30,0,False
2012-07-01,0,False
2012-07-02,0,False
2012-07-03,0,False
2012-07-04,0,False
2012-07-05,0,False
2012-07-06,0,False
2012-07-07,0,False
2012-07-08,0,False
2012-07-09,0,False
2012-07-10,0,False
2012-07-11,0,False
2012-07-12,5,False
2012-07-13,0,False
2012-07-14,0,False
2012-07-15,0,False
2012-07-16,0,False
2012-07-17,0,False
2012-07-18,10,False
2012-07-19,5,False
2012-07-20,5,False
2012-07-21,0,False
2012-07-22,0,False
2012-07-23,5,False
2012-07-24,10,False
2012-07-25,5,False
2012-07-26,5,False
2012-07-27,8,False
2012-07-28,6,False
2012-07-29,6,False
2012-07-30,10,False
2012-07-31,10,False
2012-08-01,0,False
2012-08-02,5,False
2012-08-03,5,False
2012-08-04,0,False
2012-08-05,6,False
2012-08-06,15,False
2012-08-07,5,False
2012-08-08,7,False
2012-08-09,5,False
2012-08-10,10,False
2012-08-11,6,False
2012-08-12,0,False
2012-08-13,10,False
2012-08-14,10,False
2012-08-15,0,False
2012-08-16,5,False
2012-08-17,5,False
2012-08-18,0,False
2012-08-19,6,False
2012-08-20,8,False
2012-08-21,12,False
2012-08-22,5,False
2012-08-23,5,False
2012-08-24,8,False
2012-08-25,6,False
2012-08-26,6,False
2012-08-27,10,False
2012-08-28,7,False
2012-08-29,5,False
2012-08-30,7,False
2012-08-31,10,False
2012-09-01,6,False
2012-09-02,6,False
2012-09-03,5,False
2012-09-04,7,False
2012-09-05,14,False
2012-09-06,10,False
2012-09-07,15,False
2012-09-08,6,False
2012-09-09,0,False
2012-09-10,5,False
2012-09-11,5,False
2012-09-12,5,False
2012-09-13,14,False
2012-09-14,5,False
2012-09-15,12,False
2012-09-16,6,False
2012-09-17,12,False
2012-09-18,7,False
2012-09-19,5,False
2012-09-20,5,False
2012-09-21,0,False
2012-09-22,0,False
2012-09-23,0,False
2012-09-24,5,False
2012-09-25,14,False
2012-09-26,14,False
2012-09-27,21,False
2012-09-28,10,False
2012-09-29,0,False
2012-09-30,6,False
2012-10-01,16,False
2012-10-02,100,False
2012-10-03,87,False
2012-10-04,41,False
2012-10-05,52,False
2012-10-06,14,False
2012-10-07,24,False
2012-10-08,23,False
2012-10-09,18,False
2012-10-10,18,False
2012-10-11,14,False
2012-10-12,14,False
2012-10-13,5,False
2012-10-14,5,False
2012-10-15,22,False
2012-10-16,35,False
2012-10-17,20,False
2012-10-18,32,False
2012-10-19,17,False
2012-10-20,5,False
2012-10-21,5,False
2012-10-22,22,False
2012-10-23,15,False
2012-10-24,4,False
2012-10-25,14,False
2012-10-26,7,False
2012-10-27,11,False
2012-10-28,5,False
2012-10-29,9,False
2012-10-30,9,False
2012-10-31,9,False
2012-11-01,17,False
2012-11-02,12,False
2012-11-03,8,False
2012-11-04,0,False
2012-11-05,11,False
2012-11-06,4,False
2012-11-07,26,False
2012-11-08,20,False
2012-11-09,23,False
2012-11-10,11,False
2012-11-11,5,False
2012-11-12,13,False
2012-11-13,22,False
2012-11-14,16,False
2012-11-15,9,False
2012-11-16,23,False
2012-11-17,10,False
2012-11-18,5,False
2012-11-19,15,False
2012-11-20,24,False
2012-11-21,11,False
2012-11-22,7,False
2012-11-23,9,False
2012-11-24,10,False
2012-11-25,5,False
2012-11-26,17,False
2012-11-27,22,False
2012-11-28,13,False
2012-11-29,15,False
2012-11-30,18,False
2012-12-01,8,False
2012-12-02,5,False
2012-12-03,6,False
