date,MDLZ,isPartial
2015-12-26,10,False
2015-12-27,0,False
2015-12-28,0,False
2015-12-29,8,False
2015-12-30,17,False
2015-12-31,19,False
2016-01-01,0,False
2016-01-02,0,False
2016-01-03,28,False
2016-01-04,32,False
2016-01-05,16,False
2016-01-06,49,False
2016-01-07,16,False
2016-01-08,33,False
2016-01-09,36,False
2016-01-10,0,False
2016-01-11,24,False
2016-01-12,32,False
2016-01-13,8,False
2016-01-14,16,False
2016-01-15,17,False
2016-01-16,0,False
2016-01-17,18,False
2016-01-18,0,False
2016-01-19,32,False
2016-01-20,16,False
2016-01-21,41,False
2016-01-22,17,False
2016-01-23,9,False
2016-01-24,0,False
2016-01-25,31,False
2016-01-26,32,False
2016-01-27,24,False
2016-01-28,48,False
2016-01-29,33,False
2016-01-30,9,False
2016-01-31,0,False
2016-02-01,32,False
2016-02-02,24,False
2016-02-03,71,False
2016-02-04,24,False
2016-02-05,33,False
2016-02-06,0,False
2016-02-07,0,False
2016-02-08,48,False
2016-02-09,48,False
2016-02-10,71,False
2016-02-11,32,False
2016-02-12,16,False
2016-02-13,27,False
2016-02-14,9,False
2016-02-15,16,False
2016-02-16,39,False
2016-02-17,31,False
2016-02-18,47,False
2016-02-19,16,False
2016-02-20,0,False
2016-02-21,18,False
2016-02-22,31,False
2016-02-23,23,False
2016-02-24,32,False
2016-02-25,8,False
2016-02-26,32,False
2016-02-27,0,False
2016-02-28,0,False
2016-02-29,23,False
2016-03-01,68,False
2016-03-02,15,False
2016-03-03,31,False
2016-03-04,32,False
2016-03-05,9,False
2016-03-06,9,False
2016-03-07,31,False
2016-03-08,31,False
2016-03-09,23,False
2016-03-10,47,False
2016-03-11,16,False
2016-03-12,9,False
2016-03-13,0,False
2016-03-14,31,False
2016-03-15,47,False
2016-03-16,47,False
2016-03-17,56,False
2016-03-18,49,False
2016-03-19,9,False
2016-03-20,0,False
2016-03-21,32,False
2016-03-22,39,False
2016-03-23,57,False
2016-03-24,51,False
2016-03-25,0,False
2016-03-26,0,False
2016-03-27,0,False
2016-03-28,8,False
2016-03-29,23,False
2016-03-30,16,False
2016-03-31,47,False
2016-04-01,8,False
2016-04-02,18,False
2016-04-03,0,False
2016-04-04,24,False
2016-04-05,23,False
2016-04-06,48,False
2016-04-07,16,False
2016-04-08,0,False
2016-04-09,9,False
2016-04-10,9,False
2016-04-11,39,False
2016-04-12,39,False
2016-04-13,63,False
2016-04-14,8,False
2016-04-15,41,False
2016-04-16,0,False
2016-04-17,0,False
2016-04-18,40,False
2016-04-19,31,False
2016-04-20,55,False
2016-04-21,16,False
2016-04-22,25,False
2016-04-23,9,False
2016-04-24,9,False
2016-04-25,23,False
2016-04-26,54,False
2016-04-27,55,False
2016-04-28,24,False
2016-04-29,42,False
2016-04-30,9,False
2016-05-01,0,False
2016-05-02,16,False
2016-05-03,31,False
2016-05-04,55,False
2016-05-05,25,False
2016-05-06,43,False
2016-05-07,9,False
2016-05-08,0,False
2016-05-09,32,False
2016-05-10,55,False
2016-05-11,23,False
2016-05-12,16,False
2016-05-13,25,False
2016-05-14,9,False
2016-05-15,9,False
2016-05-16,16,False
2016-05-17,39,False
2016-05-18,8,False
2016-05-19,24,False
2016-05-20,16,False
2016-05-21,9,False
2016-05-22,0,False
2016-05-23,31,False
2016-05-24,39,False
2016-05-25,32,False
2016-05-26,41,False
2016-05-27,25,False
2016-05-28,0,False
2016-05-29,0,False
2016-05-30,25,False
2016-05-31,40,False
2016-06-01,32,False
2016-06-02,8,False
2016-06-03,8,False
2016-06-04,9,False
2016-06-05,0,False
2016-06-06,0,False
2016-06-07,32,False
2016-06-08,32,False
2016-06-09,16,False
2016-06-10,17,False
2016-06-11,0,False
2016-06-12,0,False
2016-06-13,16,False
2016-06-14,23,False
2016-06-15,8,False
2016-06-16,24,False
2016-06-17,25,False
2016-06-18,10,False
2016-06-19,0,False
2016-06-20,0,False
2016-06-21,32,False
2016-06-22,32,False
2016-06-23,33,False
2016-06-24,25,False
2016-06-25,0,False
2016-06-26,9,False
2016-06-27,32,False
2016-06-28,24,False
2016-06-29,24,False
2016-06-30,74,False
2016-07-01,69,False
2016-07-02,10,False
2016-07-03,0,False
2016-07-04,0,False
2016-07-05,25,False
2016-07-06,26,False
2016-07-07,61,False
2016-07-08,53,False
2016-07-09,10,False
2016-07-10,0,False
2016-07-11,8,False
2016-07-12,8,False
2016-07-13,51,False
2016-07-14,16,False
2016-07-15,0,False
2016-07-16,10,False
2016-07-17,0,False
2016-07-18,17,False
2016-07-19,8,False
2016-07-20,34,False
2016-07-21,26,False
2016-07-22,26,False
2016-07-23,0,False
2016-07-24,10,False
2016-07-25,17,False
2016-07-26,25,False
2016-07-27,100,False
2016-07-28,8,False
2016-07-29,18,False
2016-07-30,10,False
2016-07-31,10,False
2016-08-01,33,False
2016-08-02,17,False
2016-08-03,51,False
2016-08-04,9,False
2016-08-05,27,False
2016-08-06,10,False
2016-08-07,0,False
2016-08-08,26,False
2016-08-09,34,False
2016-08-10,17,False
2016-08-11,27,False
2016-08-12,18,False
2016-08-13,0,False
2016-08-14,10,False
2016-08-15,28,False
2016-08-16,9,False
2016-08-17,9,False
2016-08-18,9,False
2016-08-19,37,False
2016-08-20,10,False
2016-08-21,0,False
2016-08-22,26,False
2016-08-23,0,False
2016-08-24,17,False
2016-08-25,25,False
2016-08-26,26,False
2016-08-27,10,False
2016-08-28,0,False
2016-08-29,41,False
2016-08-30,74,False
2016-08-31,17,False
2016-09-01,42,False
2016-09-02,17,False
2016-09-03,0,False
2016-09-04,9,False
2016-09-05,8,False
2016-09-06,16,False
2016-09-07,17,False
2016-09-08,8,False
2016-09-09,9,False
2016-09-10,0,False
2016-09-11,0,False
