date,STX
2016-09-11,67
2016-09-12,63
2016-09-13,68
2016-09-14,71
2016-09-15,63
2016-09-16,63
2016-09-17,55
2016-09-18,61
2016-09-19,71
2016-09-20,67
2016-09-21,65
2016-09-22,65
2016-09-23,61
2016-09-24,56
2016-09-25,54
2016-09-26,68
2016-09-27,60
2016-09-28,64
2016-09-29,62
2016-09-30,58
2016-10-01,55
2016-10-02,48
2016-10-03,71
2016-10-04,65
2016-10-05,68
2016-10-06,59
2016-10-07,58
2016-10-08,52
2016-10-09,53
2016-10-10,75
2016-10-11,82
2016-10-12,64
2016-10-13,63
2016-10-14,71
2016-10-15,56
2016-10-16,55
2016-10-17,70
2016-10-18,70
2016-10-19,75
2016-10-20,75
2016-10-21,63
2016-10-22,56
2016-10-23,55
2016-10-24,63
2016-10-25,69
2016-10-26,63
2016-10-27,57
2016-10-28,59
2016-10-29,50
2016-10-30,50
2016-10-31,63
2016-11-01,64
2016-11-02,64
2016-11-03,60
2016-11-04,70
2016-11-05,54
2016-11-06,53
2016-11-07,73
2016-11-08,77
2016-11-09,59
2016-11-10,62
2016-11-11,63
2016-11-12,63
2016-11-13,63
2016-11-14,71
2016-11-15,73
2016-11-16,69
2016-11-17,69
2016-11-18,66
2016-11-19,59
2016-11-20,56
2016-11-21,72
2016-11-22,64
2016-11-23,68
2016-11-24,54
2016-11-25,59
2016-11-26,50
2016-11-27,55
2016-11-28,75
2016-11-29,73
2016-11-30,64
2016-12-01,63
2016-12-02,65
2016-12-03,52
2016-12-04,51
2016-12-05,64
2016-12-06,61
2016-12-07,75
2016-12-08,63
2016-12-09,60
2016-12-10,51
2016-12-11,51
2016-12-12,67
2016-12-13,65
2016-12-14,65
2016-12-15,61
2016-12-16,64
2016-12-17,55
2016-12-18,55
2016-12-19,55
2016-12-20,63
2016-12-21,58
2016-12-22,56
2016-12-23,57
2016-12-24,43
2016-12-25,47
2016-12-26,52
2016-12-27,71
2016-12-28,72
2016-12-29,62
2016-12-30,54
2016-12-31,47
2017-01-01,47
2017-01-02,60
2017-01-03,100
2017-01-04,86
2017-01-05,79
2017-01-06,72
2017-01-07,63
2017-01-08,63
2017-01-09,63
2017-01-10,65
2017-01-11,82
2017-01-12,72
2017-01-13,68
2017-01-14,62
2017-01-15,59
2017-01-16,66
2017-01-17,75
2017-01-18,71
2017-01-19,75
2017-01-20,62
2017-01-21,61
2017-01-22,63
2017-01-23,76
2017-01-24,76
2017-01-25,94
2017-01-26,83
2017-01-27,68
2017-01-28,62
2017-01-29,56
2017-01-30,69
2017-01-31,72
2017-02-01,71
2017-02-02,74
2017-02-03,75
2017-02-04,60
2017-02-05,59
2017-02-06,65
2017-02-07,85
2017-02-08,70
2017-02-09,67
2017-02-10,65
2017-02-11,58
2017-02-12,58
2017-02-13,67
2017-02-14,65
2017-02-15,63
2017-02-16,79
2017-02-17,68
2017-02-18,59
2017-02-19,67
2017-02-20,77
2017-02-21,71
2017-02-22,76
2017-02-23,75
2017-02-24,80
2017-02-25,67
2017-02-26,75
2017-02-27,84
2017-02-28,79
2017-03-01,73
2017-03-02,75
2017-03-03,74
2017-03-04,64
2017-03-05,71
2017-03-06,77
2017-03-07,79
2017-03-08,74
2017-03-09,81
2017-03-10,77
2017-03-11,63
2017-03-12,68
2017-03-13,73
2017-03-14,71
2017-03-15,75
2017-03-16,72
2017-03-17,63
2017-03-18,57
2017-03-19,63
2017-03-20,68
2017-03-21,80
2017-03-22,74
2017-03-23,70
2017-03-24,66
2017-03-25,68
2017-03-26,64
2017-03-27,67
2017-03-28,76
2017-03-29,75
2017-03-30,69
2017-03-31,76
2017-04-01,65
