date,STX
2013-11-06,82
2013-11-07,76
2013-11-08,71
2013-11-09,64
2013-11-10,54
2013-11-11,73
2013-11-12,72
2013-11-13,77
2013-11-14,74
2013-11-15,72
2013-11-16,56
2013-11-17,63
2013-11-18,84
2013-11-19,76
2013-11-20,76
2013-11-21,71
2013-11-22,71
2013-11-23,53
2013-11-24,58
2013-11-25,69
2013-11-26,64
2013-11-27,75
2013-11-28,69
2013-11-29,70
2013-11-30,55
2013-12-01,64
2013-12-02,74
2013-12-03,56
2013-12-04,78
2013-12-05,69
2013-12-06,62
2013-12-07,51
2013-12-08,59
2013-12-09,66
2013-12-10,83
2013-12-11,76
2013-12-12,67
2013-12-13,71
2013-12-14,62
2013-12-15,68
2013-12-16,79
2013-12-17,74
2013-12-18,75
2013-12-19,84
2013-12-20,72
2013-12-21,58
2013-12-22,56
2013-12-23,64
2013-12-24,55
2013-12-25,57
2013-12-26,72
2013-12-27,71
2013-12-28,65
2013-12-29,64
2013-12-30,68
2013-12-31,60
2014-01-01,54
2014-01-02,60
2014-01-03,67
2014-01-04,63
2014-01-05,62
2014-01-06,68
2014-01-07,69
2014-01-08,75
2014-01-09,73
2014-01-10,68
2014-01-11,68
2014-01-12,65
2014-01-13,74
2014-01-14,86
2014-01-15,83
2014-01-16,80
2014-01-17,69
2014-01-18,62
2014-01-19,77
2014-01-20,74
2014-01-21,69
2014-01-22,79
2014-01-23,84
2014-01-24,67
2014-01-25,71
2014-01-26,63
2014-01-27,83
2014-01-28,86
2014-01-29,75
2014-01-30,74
2014-01-31,64
2014-02-01,61
2014-02-02,74
2014-02-03,75
2014-02-04,78
2014-02-05,79
2014-02-06,68
2014-02-07,77
2014-02-08,73
2014-02-09,60
2014-02-10,75
2014-02-11,75
2014-02-12,71
2014-02-13,71
2014-02-14,61
2014-02-15,51
2014-02-16,57
2014-02-17,78
2014-02-18,74
2014-02-19,64
2014-02-20,78
2014-02-21,71
2014-02-22,66
2014-02-23,69
2014-02-24,79
2014-02-25,82
2014-02-26,71
2014-02-27,70
2014-02-28,74
2014-03-01,67
2014-03-02,72
2014-03-03,83
2014-03-04,86
2014-03-05,79
2014-03-06,81
2014-03-07,77
2014-03-08,61
2014-03-09,80
2014-03-10,86
2014-03-11,69
2014-03-12,77
2014-03-13,83
2014-03-14,78
2014-03-15,74
2014-03-16,76
2014-03-17,76
2014-03-18,98
2014-03-19,89
2014-03-20,96
2014-03-21,77
2014-03-22,74
2014-03-23,86
2014-03-24,74
2014-03-25,85
2014-03-26,88
2014-03-27,73
2014-03-28,70
2014-03-29,77
2014-03-30,68
2014-03-31,85
2014-04-01,78
2014-04-02,77
2014-04-03,80
2014-04-04,78
2014-04-05,68
2014-04-06,72
2014-04-07,82
2014-04-08,77
2014-04-09,85
2014-04-10,83
2014-04-11,75
2014-04-12,55
2014-04-13,63
2014-04-14,69
2014-04-15,79
2014-04-16,71
2014-04-17,67
2014-04-18,69
2014-04-19,72
2014-04-20,61
2014-04-21,83
2014-04-22,68
2014-04-23,85
2014-04-24,74
2014-04-25,67
2014-04-26,69
2014-04-27,66
2014-04-28,86
2014-04-29,73
2014-04-30,80
2014-05-01,80
2014-05-02,74
2014-05-03,72
2014-05-04,82
2014-05-05,73
2014-05-06,73
2014-05-07,74
2014-05-08,75
2014-05-09,81
2014-05-10,75
2014-05-11,69
2014-05-12,80
2014-05-13,85
2014-05-14,88
2014-05-15,74
2014-05-16,71
2014-05-17,67
2014-05-18,78
2014-05-19,82
2014-05-20,88
2014-05-21,93
2014-05-22,100
2014-05-23,83
2014-05-24,82
2014-05-25,80
2014-05-26,99
2014-05-27,94
2014-05-28,79
2014-05-29,83
2014-05-30,78
2014-05-31,68
2014-06-01,87
2014-06-02,89
2014-06-03,91
2014-06-04,79
2014-06-05,80
2014-06-06,88
2014-06-07,60
2014-06-08,72
2014-06-09,91
2014-06-10,84
2014-06-11,79
2014-06-12,72
2014-06-13,73
2014-06-14,77
2014-06-15,65
2014-06-16,77
2014-06-17,86
2014-06-18,82
2014-06-19,86
2014-06-20,80
2014-06-21,71
2014-06-22,80
2014-06-23,98
2014-06-24,93
2014-06-25,68
2014-06-26,68
2014-06-27,74
2014-06-28,67
2014-06-29,60
2014-06-30,76
2014-07-01,60
2014-07-02,69
2014-07-03,73
2014-07-04,77
2014-07-05,58
2014-07-06,54
2014-07-07,64
2014-07-08,62
2014-07-09,62
2014-07-10,60
2014-07-11,56
2014-07-12,62
2014-07-13,65
2014-07-14,61
2014-07-15,73
2014-07-16,72
2014-07-17,64
2014-07-18,65
2014-07-19,64
2014-07-20,60
2014-07-21,73
2014-07-22,67
2014-07-23,69
2014-07-24,57
