date,STX
2014-03-16,71
2014-03-17,76
2014-03-18,82
2014-03-19,76
2014-03-20,74
2014-03-21,69
2014-03-22,63
2014-03-23,70
2014-03-24,70
2014-03-25,72
2014-03-26,78
2014-03-27,71
2014-03-28,63
2014-03-29,71
2014-03-30,57
2014-03-31,68
2014-04-01,68
2014-04-02,65
2014-04-03,67
2014-04-04,67
2014-04-05,65
2014-04-06,71
2014-04-07,72
2014-04-08,67
2014-04-09,67
2014-04-10,65
2014-04-11,63
2014-04-12,53
2014-04-13,54
2014-04-14,68
2014-04-15,65
2014-04-16,62
2014-04-17,55
2014-04-18,63
2014-04-19,70
2014-04-20,59
2014-04-21,80
2014-04-22,60
2014-04-23,75
2014-04-24,64
2014-04-25,61
2014-04-26,59
2014-04-27,60
2014-04-28,70
2014-04-29,62
2014-04-30,67
2014-05-01,68
2014-05-02,65
2014-05-03,70
2014-05-04,77
2014-05-05,63
2014-05-06,65
2014-05-07,67
2014-05-08,67
2014-05-09,81
2014-05-10,73
2014-05-11,76
2014-05-12,72
2014-05-13,77
2014-05-14,78
2014-05-15,73
2014-05-16,64
2014-05-17,70
2014-05-18,72
2014-05-19,82
2014-05-20,77
2014-05-21,86
2014-05-22,82
2014-05-23,73
2014-05-24,68
2014-05-25,75
2014-05-26,100
2014-05-27,81
2014-05-28,71
2014-05-29,62
2014-05-30,64
2014-05-31,62
2014-06-01,82
2014-06-02,85
2014-06-03,77
2014-06-04,70
2014-06-05,74
2014-06-06,65
2014-06-07,57
2014-06-08,65
2014-06-09,76
2014-06-10,78
2014-06-11,74
2014-06-12,63
2014-06-13,64
2014-06-14,70
2014-06-15,59
2014-06-16,67
2014-06-17,67
2014-06-18,72
2014-06-19,76
2014-06-20,75
2014-06-21,56
2014-06-22,79
2014-06-23,84
2014-06-24,80
2014-06-25,60
2014-06-26,62
2014-06-27,69
2014-06-28,58
2014-06-29,54
2014-06-30,60
2014-07-01,53
2014-07-02,62
2014-07-03,70
2014-07-04,63
2014-07-05,49
2014-07-06,50
2014-07-07,56
2014-07-08,59
2014-07-09,57
2014-07-10,54
2014-07-11,57
2014-07-12,58
2014-07-13,58
2014-07-14,53
2014-07-15,61
2014-07-16,53
2014-07-17,55
2014-07-18,57
2014-07-19,64
2014-07-20,45
2014-07-21,65
2014-07-22,62
2014-07-23,62
2014-07-24,57
2014-07-25,57
2014-07-26,57
2014-07-27,46
2014-07-28,62
2014-07-29,59
2014-07-30,58
2014-07-31,63
2014-08-01,52
2014-08-02,46
2014-08-03,52
2014-08-04,67
2014-08-05,64
2014-08-06,54
2014-08-07,60
2014-08-08,56
2014-08-09,56
2014-08-10,57
2014-08-11,63
2014-08-12,60
2014-08-13,63
2014-08-14,68
2014-08-15,59
2014-08-16,45
2014-08-17,53
2014-08-18,58
2014-08-19,69
2014-08-20,64
2014-08-21,66
2014-08-22,60
2014-08-23,62
2014-08-24,55
2014-08-25,58
2014-08-26,57
2014-08-27,63
2014-08-28,54
2014-08-29,55
2014-08-30,51
2014-08-31,52
2014-09-01,54
2014-09-02,55
2014-09-03,59
2014-09-04,62
2014-09-05,51
2014-09-06,60
2014-09-07,43
2014-09-08,50
2014-09-09,55
2014-09-10,62
2014-09-11,56
2014-09-12,52
2014-09-13,47
2014-09-14,53
2014-09-15,49
2014-09-16,61
2014-09-17,59
2014-09-18,56
2014-09-19,67
2014-09-20,51
2014-09-21,47
2014-09-22,62
2014-09-23,52
2014-09-24,62
2014-09-25,58
2014-09-26,53
2014-09-27,53
2014-09-28,40
2014-09-29,63
2014-09-30,65
2014-10-01,58
2014-10-02,52
2014-10-03,49
2014-10-04,53
2014-10-05,46
2014-10-06,62
2014-10-07,64
2014-10-08,57
2014-10-09,57
2014-10-10,53
2014-10-11,51
2014-10-12,48
2014-10-13,60
2014-10-14,59
2014-10-15,52
2014-10-16,55
2014-10-17,57
2014-10-18,49
2014-10-19,45
2014-10-20,62
2014-10-21,55
2014-10-22,51
2014-10-23,56
2014-10-24,57
2014-10-25,46
2014-10-26,47
2014-10-27,54
2014-10-28,56
2014-10-29,50
2014-10-30,52
2014-10-31,60
2014-11-01,55
2014-11-02,53
2014-11-03,61
2014-11-04,52
2014-11-05,58
2014-11-06,56
2014-11-07,49
2014-11-08,45
2014-11-09,51
2014-11-10,57
2014-11-11,49
2014-11-12,59
2014-11-13,53
2014-11-14,53
2014-11-15,49
2014-11-16,56
2014-11-17,62
2014-11-18,66
2014-11-19,67
2014-11-20,54
2014-11-21,61
2014-11-22,44
2014-11-23,50
2014-11-24,64
2014-11-25,54
2014-11-26,63
2014-11-27,52
2014-11-28,53
2014-11-29,52
2014-11-30,56
2014-12-01,59
