date,STX
2015-04-10,79
2015-04-11,72
2015-04-12,73
2015-04-13,87
2015-04-14,75
2015-04-15,83
2015-04-16,79
2015-04-17,82
2015-04-18,77
2015-04-19,74
2015-04-20,79
2015-04-21,80
2015-04-22,81
2015-04-23,75
2015-04-24,78
2015-04-25,78
2015-04-26,71
2015-04-27,87
2015-04-28,82
2015-04-29,90
2015-04-30,87
2015-05-01,62
2015-05-02,65
2015-05-03,73
2015-05-04,87
2015-05-05,77
2015-05-06,79
2015-05-07,76
2015-05-08,69
2015-05-09,75
2015-05-10,72
2015-05-11,82
2015-05-12,85
2015-05-13,88
2015-05-14,63
2015-05-15,69
2015-05-16,76
2015-05-17,79
2015-05-18,82
2015-05-19,83
2015-05-20,96
2015-05-21,93
2015-05-22,69
2015-05-23,76
2015-05-24,70
2015-05-25,85
2015-05-26,85
2015-05-27,100
2015-05-28,89
2015-05-29,84
2015-05-30,70
2015-05-31,90
2015-06-01,88
2015-06-02,84
2015-06-03,84
2015-06-04,78
2015-06-05,75
2015-06-06,65
2015-06-07,72
2015-06-08,90
2015-06-09,84
2015-06-10,79
2015-06-11,79
2015-06-12,73
2015-06-13,61
2015-06-14,70
2015-06-15,85
2015-06-16,75
2015-06-17,81
2015-06-18,81
2015-06-19,78
2015-06-20,67
2015-06-21,85
2015-06-22,87
2015-06-23,89
2015-06-24,78
2015-06-25,77
2015-06-26,71
2015-06-27,70
2015-06-28,58
2015-06-29,76
2015-06-30,78
2015-07-01,67
2015-07-02,77
2015-07-03,65
2015-07-04,60
2015-07-05,63
2015-07-06,67
2015-07-07,73
2015-07-08,79
2015-07-09,62
2015-07-10,77
2015-07-11,55
2015-07-12,64
2015-07-13,70
2015-07-14,69
2015-07-15,75
2015-07-16,66
2015-07-17,68
2015-07-18,59
2015-07-19,74
2015-07-20,69
2015-07-21,68
2015-07-22,59
2015-07-23,66
2015-07-24,66
2015-07-25,59
2015-07-26,60
2015-07-27,61
2015-07-28,70
2015-07-29,73
2015-07-30,77
2015-07-31,74
2015-08-01,68
2015-08-02,61
2015-08-03,80
2015-08-04,75
2015-08-05,77
2015-08-06,72
2015-08-07,66
2015-08-08,66
2015-08-09,64
2015-08-10,77
2015-08-11,80
2015-08-12,79
2015-08-13,72
2015-08-14,64
2015-08-15,67
2015-08-16,67
2015-08-17,84
2015-08-18,71
2015-08-19,66
2015-08-20,72
2015-08-21,63
2015-08-22,66
2015-08-23,62
2015-08-24,72
2015-08-25,71
2015-08-26,70
2015-08-27,79
2015-08-28,61
2015-08-29,57
2015-08-30,56
2015-08-31,71
2015-09-01,62
2015-09-02,72
2015-09-03,66
2015-09-04,67
2015-09-05,51
2015-09-06,62
2015-09-07,69
2015-09-08,58
2015-09-09,66
2015-09-10,63
2015-09-11,73
2015-09-12,63
2015-09-13,57
2015-09-14,61
2015-09-15,64
2015-09-16,65
2015-09-17,58
2015-09-18,68
2015-09-19,55
2015-09-20,69
2015-09-21,69
2015-09-22,67
2015-09-23,72
2015-09-24,64
2015-09-25,68
2015-09-26,58
2015-09-27,59
2015-09-28,57
2015-09-29,78
2015-09-30,70
2015-10-01,69
2015-10-02,69
2015-10-03,56
2015-10-04,55
2015-10-05,66
2015-10-06,71
2015-10-07,66
2015-10-08,70
2015-10-09,59
2015-10-10,54
2015-10-11,47
2015-10-12,66
2015-10-13,70
2015-10-14,76
2015-10-15,72
2015-10-16,71
2015-10-17,51
2015-10-18,53
2015-10-19,63
2015-10-20,70
2015-10-21,68
2015-10-22,71
2015-10-23,73
2015-10-24,56
2015-10-25,54
2015-10-26,71
2015-10-27,69
2015-10-28,65
2015-10-29,63
2015-10-30,67
2015-10-31,55
2015-11-01,61
2015-11-02,66
2015-11-03,70
2015-11-04,68
2015-11-05,66
2015-11-06,64
2015-11-07,50
2015-11-08,56
2015-11-09,71
2015-11-10,66
2015-11-11,72
2015-11-12,67
2015-11-13,68
2015-11-14,51
2015-11-15,57
2015-11-16,70
2015-11-17,67
2015-11-18,71
2015-11-19,67
2015-11-20,62
2015-11-21,55
2015-11-22,58
2015-11-23,59
2015-11-24,74
2015-11-25,60
2015-11-26,55
2015-11-27,60
2015-11-28,62
2015-11-29,63
2015-11-30,65
2015-12-01,68
2015-12-02,74
2015-12-03,69
2015-12-04,68
2015-12-05,66
2015-12-06,62
2015-12-07,63
2015-12-08,65
2015-12-09,64
2015-12-10,64
2015-12-11,68
2015-12-12,57
2015-12-13,68
2015-12-14,74
2015-12-15,66
2015-12-16,58
2015-12-17,61
2015-12-18,60
2015-12-19,59
2015-12-20,57
2015-12-21,54
2015-12-22,57
2015-12-23,60
2015-12-24,51
2015-12-25,53
2015-12-26,57
