date,STX
2013-02-19,69
2013-02-20,70
2013-02-21,60
2013-02-22,60
2013-02-23,47
2013-02-24,64
2013-02-25,50
2013-02-26,82
2013-02-27,69
2013-02-28,69
2013-03-01,53
2013-03-02,50
2013-03-03,58
2013-03-04,63
2013-03-05,61
2013-03-06,73
2013-03-07,71
2013-03-08,69
2013-03-09,49
2013-03-10,56
2013-03-11,73
2013-03-12,62
2013-03-13,74
2013-03-14,58
2013-03-15,57
2013-03-16,55
2013-03-17,67
2013-03-18,63
2013-03-19,70
2013-03-20,63
2013-03-21,63
2013-03-22,70
2013-03-23,60
2013-03-24,64
2013-03-25,66
2013-03-26,59
2013-03-27,52
2013-03-28,64
2013-03-29,53
2013-03-30,64
2013-03-31,50
2013-04-01,53
2013-04-02,86
2013-04-03,87
2013-04-04,72
2013-04-05,67
2013-04-06,68
2013-04-07,59
2013-04-08,75
2013-04-09,75
2013-04-10,66
2013-04-11,68
2013-04-12,62
2013-04-13,54
2013-04-14,61
2013-04-15,78
2013-04-16,64
2013-04-17,63
2013-04-18,54
2013-04-19,59
2013-04-20,56
2013-04-21,63
2013-04-22,72
2013-04-23,65
2013-04-24,73
2013-04-25,63
2013-04-26,69
2013-04-27,55
2013-04-28,55
2013-04-29,76
2013-04-30,58
2013-05-01,61
2013-05-02,85
2013-05-03,80
2013-05-04,73
2013-05-05,70
2013-05-06,82
2013-05-07,77
2013-05-08,70
2013-05-09,60
2013-05-10,54
2013-05-11,55
2013-05-12,66
2013-05-13,72
2013-05-14,72
2013-05-15,77
2013-05-16,73
2013-05-17,65
2013-05-18,57
2013-05-19,64
2013-05-20,73
2013-05-21,67
2013-05-22,76
2013-05-23,81
2013-05-24,58
2013-05-25,64
2013-05-26,69
2013-05-27,86
2013-05-28,78
2013-05-29,69
2013-05-30,69
2013-05-31,61
2013-06-01,53
2013-06-02,70
2013-06-03,76
2013-06-04,70
2013-06-05,75
2013-06-06,72
2013-06-07,100
2013-06-08,54
2013-06-09,74
2013-06-10,88
2013-06-11,90
2013-06-12,76
2013-06-13,70
2013-06-14,74
2013-06-15,49
2013-06-16,64
2013-06-17,70
2013-06-18,74
2013-06-19,75
2013-06-20,72
2013-06-21,62
2013-06-22,55
2013-06-23,64
2013-06-24,70
2013-06-25,68
2013-06-26,61
2013-06-27,59
2013-06-28,69
2013-06-29,56
2013-06-30,70
2013-07-01,82
2013-07-02,75
2013-07-03,79
2013-07-04,66
2013-07-05,68
2013-07-06,51
2013-07-07,67
2013-07-08,65
2013-07-09,63
2013-07-10,70
2013-07-11,72
2013-07-12,67
2013-07-13,58
2013-07-14,58
2013-07-15,61
2013-07-16,66
2013-07-17,64
2013-07-18,52
2013-07-19,59
2013-07-20,46
2013-07-21,60
2013-07-22,64
2013-07-23,60
2013-07-24,56
2013-07-25,59
2013-07-26,58
2013-07-27,61
2013-07-28,53
2013-07-29,56
2013-07-30,65
2013-07-31,64
2013-08-01,60
2013-08-02,63
2013-08-03,55
2013-08-04,50
2013-08-05,61
2013-08-06,69
2013-08-07,63
2013-08-08,59
2013-08-09,64
2013-08-10,47
2013-08-11,57
2013-08-12,64
2013-08-13,69
2013-08-14,65
2013-08-15,57
2013-08-16,68
2013-08-17,39
2013-08-18,46
2013-08-19,59
2013-08-20,64
2013-08-21,68
2013-08-22,69
2013-08-23,59
2013-08-24,46
2013-08-25,43
2013-08-26,57
2013-08-27,60
2013-08-28,65
2013-08-29,57
2013-08-30,59
2013-08-31,46
2013-09-01,40
2013-09-02,65
2013-09-03,57
2013-09-04,59
2013-09-05,64
2013-09-06,58
2013-09-07,41
2013-09-08,55
2013-09-09,63
2013-09-10,52
2013-09-11,48
2013-09-12,51
2013-09-13,56
2013-09-14,42
2013-09-15,41
2013-09-16,56
2013-09-17,57
2013-09-18,53
2013-09-19,59
2013-09-20,41
2013-09-21,45
2013-09-22,48
2013-09-23,66
2013-09-24,49
2013-09-25,62
2013-09-26,55
2013-09-27,56
2013-09-28,53
2013-09-29,47
2013-09-30,61
2013-10-01,55
2013-10-02,64
2013-10-03,51
2013-10-04,56
2013-10-05,42
2013-10-06,55
2013-10-07,60
2013-10-08,56
2013-10-09,50
2013-10-10,49
2013-10-11,56
2013-10-12,43
2013-10-13,42
2013-10-14,48
2013-10-15,43
2013-10-16,50
2013-10-17,52
2013-10-18,51
2013-10-19,43
2013-10-20,43
2013-10-21,57
2013-10-22,52
2013-10-23,44
2013-10-24,53
2013-10-25,47
2013-10-26,46
2013-10-27,42
2013-10-28,57
2013-10-29,51
2013-10-30,54
2013-10-31,51
2013-11-01,60
2013-11-02,37
2013-11-03,43
2013-11-04,53
2013-11-05,58
2013-11-06,60
