date,STX
2011-01-01,46
2011-01-02,64
2011-01-03,56
2011-01-04,71
2011-01-05,74
2011-01-06,77
2011-01-07,71
2011-01-08,66
2011-01-09,66
2011-01-10,78
2011-01-11,67
2011-01-12,67
2011-01-13,74
2011-01-14,68
2011-01-15,60
2011-01-16,58
2011-01-17,78
2011-01-18,82
2011-01-19,69
2011-01-20,78
2011-01-21,70
2011-01-22,56
2011-01-23,69
2011-01-24,67
2011-01-25,84
2011-01-26,74
2011-01-27,77
2011-01-28,72
2011-01-29,66
2011-01-30,58
2011-01-31,72
2011-02-01,70
2011-02-02,54
2011-02-03,66
2011-02-04,61
2011-02-05,51
2011-02-06,68
2011-02-07,78
2011-02-08,71
2011-02-09,75
2011-02-10,68
2011-02-11,58
2011-02-12,52
2011-02-13,52
2011-02-14,64
2011-02-15,75
2011-02-16,63
2011-02-17,74
2011-02-18,73
2011-02-19,67
2011-02-20,76
2011-02-21,66
2011-02-22,75
2011-02-23,69
2011-02-24,78
2011-02-25,76
2011-02-26,64
2011-02-27,64
2011-02-28,73
2011-03-01,71
2011-03-02,64
2011-03-03,60
2011-03-04,61
2011-03-05,67
2011-03-06,82
2011-03-07,89
2011-03-08,70
2011-03-09,72
2011-03-10,74
2011-03-11,63
2011-03-12,59
2011-03-13,74
2011-03-14,71
2011-03-15,84
2011-03-16,86
2011-03-17,75
2011-03-18,67
2011-03-19,85
2011-03-20,74
2011-03-21,80
2011-03-22,84
2011-03-23,76
2011-03-24,70
2011-03-25,65
2011-03-26,62
2011-03-27,62
2011-03-28,82
2011-03-29,88
2011-03-30,81
2011-03-31,78
2011-04-01,70
2011-04-02,74
2011-04-03,76
2011-04-04,83
2011-04-05,92
2011-04-06,74
2011-04-07,78
2011-04-08,89
2011-04-09,81
2011-04-10,82
2011-04-11,91
2011-04-12,86
2011-04-13,89
2011-04-14,88
2011-04-15,77
2011-04-16,95
2011-04-17,82
2011-04-18,78
2011-04-19,94
2011-04-20,85
2011-04-21,82
2011-04-22,99
2011-04-23,84
2011-04-24,83
2011-04-25,97
2011-04-26,94
2011-04-27,75
2011-04-28,84
2011-04-29,78
2011-04-30,80
2011-05-01,81
2011-05-02,90
2011-05-03,93
2011-05-04,98
2011-05-05,94
2011-05-06,78
2011-05-07,83
2011-05-08,85
2011-05-09,79
2011-05-10,73
2011-05-11,93
2011-05-12,78
2011-05-13,84
2011-05-14,74
2011-05-15,82
2011-05-16,82
2011-05-17,94
2011-05-18,100
2011-05-19,88
2011-05-20,81
2011-05-21,66
2011-05-22,74
2011-05-23,87
2011-05-24,85
2011-05-25,87
2011-05-26,88
2011-05-27,77
2011-05-28,74
2011-05-29,66
2011-05-30,84
2011-05-31,77
2011-06-01,82
2011-06-02,70
2011-06-03,76
2011-06-04,71
2011-06-05,71
2011-06-06,78
2011-06-07,76
2011-06-08,65
2011-06-09,70
2011-06-10,81
2011-06-11,63
2011-06-12,64
2011-06-13,77
2011-06-14,74
2011-06-15,85
2011-06-16,83
2011-06-17,77
2011-06-18,55
2011-06-19,79
2011-06-20,81
2011-06-21,79
2011-06-22,81
2011-06-23,67
2011-06-24,64
2011-06-25,63
2011-06-26,58
2011-06-27,66
2011-06-28,64
2011-06-29,68
2011-06-30,63
2011-07-01,71
2011-07-02,49
2011-07-03,50
2011-07-04,57
2011-07-05,76
2011-07-06,76
2011-07-07,79
2011-07-08,82
2011-07-09,64
2011-07-10,67
2011-07-11,76
2011-07-12,74
2011-07-13,66
2011-07-14,64
2011-07-15,67
2011-07-16,57
2011-07-17,64
2011-07-18,69
2011-07-19,84
2011-07-20,71
2011-07-21,76
2011-07-22,70
2011-07-23,52
2011-07-24,52
2011-07-25,70
2011-07-26,65
2011-07-27,63
2011-07-28,69
2011-07-29,65
2011-07-30,61
2011-07-31,58
2011-08-01,82
2011-08-02,58
2011-08-03,60
2011-08-04,67
2011-08-05,59
2011-08-06,54
2011-08-07,52
2011-08-08,70
2011-08-09,66
2011-08-10,71
2011-08-11,67
2011-08-12,65
2011-08-13,54
2011-08-14,57
2011-08-15,62
2011-08-16,68
2011-08-17,66
2011-08-18,62
2011-08-19,71
2011-08-20,56
2011-08-21,54
2011-08-22,62
2011-08-23,74
2011-08-24,71
2011-08-25,67
2011-08-26,67
2011-08-27,51
2011-08-28,46
2011-08-29,69
2011-08-30,71
2011-08-31,64
2011-09-01,61
2011-09-02,68
2011-09-03,44
2011-09-04,57
2011-09-05,65
2011-09-06,67
2011-09-07,62
2011-09-08,62
2011-09-09,56
2011-09-10,40
2011-09-11,50
2011-09-12,57
2011-09-13,63
2011-09-14,69
2011-09-15,66
2011-09-16,68
2011-09-17,55
2011-09-18,50
