date,ESRX
2011-01-01,0
2011-01-02,0
2011-01-03,19
2011-01-04,27
2011-01-05,0
2011-01-06,18
2011-01-07,0
2011-01-08,0
2011-01-09,0
2011-01-10,18
2011-01-11,35
2011-01-12,17
2011-01-13,0
2011-01-14,36
2011-01-15,22
2011-01-16,0
2011-01-17,17
2011-01-18,25
2011-01-19,0
2011-01-20,26
2011-01-21,36
2011-01-22,0
2011-01-23,0
2011-01-24,0
2011-01-25,0
2011-01-26,0
2011-01-27,0
2011-01-28,36
2011-01-29,21
2011-01-30,20
2011-01-31,0
2011-02-01,0
2011-02-02,16
2011-02-03,17
2011-02-04,0
2011-02-05,21
2011-02-06,0
2011-02-07,33
2011-02-08,34
2011-02-09,0
2011-02-10,0
2011-02-11,18
2011-02-12,0
2011-02-13,21
2011-02-14,34
2011-02-15,16
2011-02-16,33
2011-02-17,26
2011-02-18,18
2011-02-19,42
2011-02-20,41
2011-02-21,34
2011-02-22,17
2011-02-23,50
2011-02-24,34
2011-02-25,26
2011-02-26,21
2011-02-27,20
2011-02-28,16
2011-03-01,16
2011-03-02,25
2011-03-03,17
2011-03-04,18
2011-03-05,21
2011-03-06,0
2011-03-07,25
2011-03-08,34
2011-03-09,17
2011-03-10,16
2011-03-11,17
2011-03-12,0
2011-03-13,0
2011-03-14,35
2011-03-15,0
2011-03-16,0
2011-03-17,84
2011-03-18,26
2011-03-19,0
2011-03-20,0
2011-03-21,0
2011-03-22,25
2011-03-23,50
2011-03-24,34
2011-03-25,35
2011-03-26,0
2011-03-27,20
2011-03-28,16
2011-03-29,49
2011-03-30,0
2011-03-31,17
2011-04-01,27
2011-04-02,0
2011-04-03,0
2011-04-04,16
2011-04-05,49
2011-04-06,17
2011-04-07,34
2011-04-08,18
2011-04-09,21
2011-04-10,0
2011-04-11,16
2011-04-12,16
2011-04-13,17
2011-04-14,0
2011-04-15,35
2011-04-16,0
2011-04-17,21
2011-04-18,17
2011-04-19,0
2011-04-20,17
2011-04-21,0
2011-04-22,20
2011-04-23,0
2011-04-24,0
2011-04-25,28
2011-04-26,99
2011-04-27,49
2011-04-28,25
2011-04-29,35
2011-04-30,0
2011-05-01,21
2011-05-02,0
2011-05-03,16
2011-05-04,17
2011-05-05,17
2011-05-06,18
2011-05-07,21
2011-05-08,0
2011-05-09,24
2011-05-10,16
2011-05-11,16
2011-05-12,16
2011-05-13,17
2011-05-14,0
2011-05-15,0
2011-05-16,16
2011-05-17,0
2011-05-18,16
2011-05-19,25
2011-05-20,17
2011-05-21,0
2011-05-22,21
2011-05-23,0
2011-05-24,0
2011-05-25,33
2011-05-26,17
2011-05-27,43
2011-05-28,21
2011-05-29,0
2011-05-30,0
2011-05-31,33
2011-06-01,0
2011-06-02,0
2011-06-03,26
2011-06-04,0
2011-06-05,21
2011-06-06,16
2011-06-07,32
2011-06-08,24
2011-06-09,16
2011-06-10,52
2011-06-11,0
2011-06-12,0
2011-06-13,33
2011-06-14,24
2011-06-15,16
2011-06-16,17
2011-06-17,17
2011-06-18,21
2011-06-19,0
2011-06-20,48
2011-06-21,48
2011-06-22,0
2011-06-23,17
2011-06-24,18
2011-06-25,0
2011-06-26,0
2011-06-27,0
2011-06-28,16
2011-06-29,0
2011-06-30,17
2011-07-01,18
2011-07-02,0
2011-07-03,0
2011-07-04,17
2011-07-05,33
2011-07-06,16
2011-07-07,34
2011-07-08,35
2011-07-09,0
2011-07-10,0
2011-07-11,33
2011-07-12,16
2011-07-13,16
2011-07-14,34
2011-07-15,0
2011-07-16,22
2011-07-17,0
2011-07-18,0
2011-07-19,16
2011-07-20,50
2011-07-21,100
2011-07-22,70
2011-07-23,42
2011-07-24,21
2011-07-25,24
2011-07-26,0
2011-07-27,33
2011-07-28,17
2011-07-29,17
2011-07-30,0
2011-07-31,21
2011-08-01,0
2011-08-02,17
2011-08-03,33
2011-08-04,17
2011-08-05,34
2011-08-06,20
2011-08-07,0
2011-08-08,24
2011-08-09,24
2011-08-10,16
2011-08-11,25
2011-08-12,17
2011-08-13,21
2011-08-14,0
2011-08-15,25
2011-08-16,16
2011-08-17,16
2011-08-18,16
2011-08-19,17
2011-08-20,20
2011-08-21,0
2011-08-22,32
2011-08-23,47
2011-08-24,47
2011-08-25,32
2011-08-26,49
2011-08-27,0
2011-08-28,20
2011-08-29,16
2011-08-30,47
2011-08-31,16
2011-09-01,16
2011-09-02,17
2011-09-03,0
2011-09-04,0
2011-09-05,15
2011-09-06,38
2011-09-07,15
2011-09-08,15
2011-09-09,16
2011-09-10,0
2011-09-11,0
2011-09-12,15
2011-09-13,30
2011-09-14,23
2011-09-15,30
2011-09-16,56
2011-09-17,19
2011-09-18,18
