date,ESRX,isPartial
2017-10-06,5,False
2017-10-07,7,False
2017-10-08,0,False
2017-10-09,11,False
2017-10-10,15,False
2017-10-11,8,False
2017-10-12,15,False
2017-10-13,2,False
2017-10-14,4,False
2017-10-15,0,False
2017-10-16,3,False
2017-10-17,8,False
2017-10-18,17,False
2017-10-19,8,False
2017-10-20,3,False
2017-10-21,0,False
2017-10-22,4,False
2017-10-23,9,False
2017-10-24,8,False
2017-10-25,19,False
2017-10-26,9,False
2017-10-27,13,False
2017-10-28,4,False
2017-10-29,5,False
2017-10-30,12,False
2017-10-31,11,False
2017-11-01,3,False
2017-11-02,2,False
2017-11-03,6,False
2017-11-04,0,False
2017-11-05,2,False
2017-11-06,5,False
2017-11-07,3,False
2017-11-08,9,False
2017-11-09,5,False
2017-11-10,10,False
2017-11-11,0,False
2017-11-12,2,False
2017-11-13,0,False
2017-11-14,9,False
2017-11-15,3,False
2017-11-16,6,False
2017-11-17,3,False
2017-11-18,0,False
2017-11-19,0,False
2017-11-20,6,False
2017-11-21,5,False
2017-11-22,5,False
2017-11-23,0,False
2017-11-24,0,False
2017-11-25,2,False
2017-11-26,2,False
2017-11-27,7,False
2017-11-28,3,False
2017-11-29,5,False
2017-11-30,8,False
2017-12-01,2,False
2017-12-02,7,False
2017-12-03,0,False
2017-12-04,15,False
2017-12-05,14,False
2017-12-06,17,False
2017-12-07,9,False
2017-12-08,13,False
2017-12-09,2,False
2017-12-10,0,False
2017-12-11,3,False
2017-12-12,3,False
2017-12-13,3,False
2017-12-14,9,False
2017-12-15,18,False
2017-12-16,2,False
2017-12-17,2,False
2017-12-18,9,False
2017-12-19,6,False
2017-12-20,8,False
2017-12-21,12,False
2017-12-22,10,False
2017-12-23,4,False
2017-12-24,0,False
2017-12-25,0,False
2017-12-26,10,False
2017-12-27,3,False
2017-12-28,0,False
2017-12-29,9,False
2017-12-30,4,False
2017-12-31,0,False
2018-01-01,4,False
2018-01-02,6,False
2018-01-03,8,False
2018-01-04,6,False
2018-01-05,6,False
2018-01-06,7,False
2018-01-07,0,False
2018-01-08,8,False
2018-01-09,12,False
2018-01-10,12,False
2018-01-11,12,False
2018-01-12,5,False
2018-01-13,3,False
2018-01-14,2,False
2018-01-15,7,False
2018-01-16,15,False
2018-01-17,9,False
2018-01-18,10,False
2018-01-19,14,False
2018-01-20,3,False
2018-01-21,0,False
2018-01-22,7,False
2018-01-23,10,False
2018-01-24,9,False
2018-01-25,10,False
2018-01-26,9,False
2018-01-27,5,False
2018-01-28,3,False
2018-01-29,12,False
2018-01-30,25,False
2018-01-31,16,False
2018-02-01,13,False
2018-02-02,14,False
2018-02-03,2,False
2018-02-04,2,False
2018-02-05,10,False
2018-02-06,13,False
2018-02-07,3,False
2018-02-08,6,False
2018-02-09,11,False
2018-02-10,3,False
2018-02-11,0,False
2018-02-12,8,False
2018-02-13,6,False
2018-02-14,9,False
2018-02-15,6,False
2018-02-16,8,False
2018-02-17,2,False
2018-02-18,2,False
2018-02-19,4,False
2018-02-20,4,False
2018-02-21,12,False
2018-02-22,10,False
2018-02-23,3,False
2018-02-24,7,False
2018-02-25,0,False
2018-02-26,9,False
2018-02-27,13,False
2018-02-28,13,False
2018-03-01,6,False
2018-03-02,9,False
2018-03-03,2,False
2018-03-04,2,False
2018-03-05,1,False
2018-03-06,1,False
2018-03-07,10,False
2018-03-08,100,False
2018-03-09,25,False
2018-03-10,3,False
2018-03-11,2,False
2018-03-12,15,False
2018-03-13,1,False
2018-03-14,7,False
2018-03-15,7,False
2018-03-16,3,False
2018-03-17,2,False
2018-03-18,3,False
2018-03-19,7,False
2018-03-20,4,False
2018-03-21,9,False
2018-03-22,6,False
2018-03-23,6,False
2018-03-24,5,False
2018-03-25,2,False
2018-03-26,9,False
2018-03-27,11,False
2018-03-28,6,False
2018-03-29,5,False
2018-03-30,3,False
2018-03-31,0,False
2018-04-01,0,False
2018-04-02,6,False
2018-04-03,12,False
2018-04-04,3,False
2018-04-05,8,False
2018-04-06,9,False
2018-04-07,2,False
2018-04-08,0,False
2018-04-09,10,False
2018-04-10,6,False
2018-04-11,3,False
2018-04-12,9,False
2018-04-13,11,False
2018-04-14,2,False
2018-04-15,0,False
2018-04-16,3,False
2018-04-17,4,False
2018-04-18,9,False
2018-04-19,5,False
2018-04-20,3,False
2018-04-21,2,False
2018-04-22,2,False
2018-04-23,10,False
2018-04-24,10,False
2018-04-25,9,False
2018-04-26,7,False
2018-04-27,16,False
2018-04-28,5,False
2018-04-29,2,False
2018-04-30,5,False
2018-05-01,3,False
2018-05-02,15,False
2018-05-03,4,False
2018-05-04,3,False
2018-05-05,4,False
2018-05-06,2,False
2018-05-07,7,False
2018-05-08,3,False
2018-05-09,4,False
2018-05-10,9,False
2018-05-11,11,False
2018-05-12,0,False
2018-05-13,5,False
2018-05-14,10,False
2018-05-15,1,False
2018-05-16,1,False
2018-05-17,6,False
2018-05-18,6,False
2018-05-19,0,False
2018-05-20,3,False
2018-05-21,6,False
2018-05-22,10,False
2018-05-23,6,False
2018-05-24,6,False
2018-05-25,5,False
2018-05-26,0,False
2018-05-27,2,False
2018-05-28,2,False
2018-05-29,4,False
2018-05-30,8,False
2018-05-31,8,False
2018-06-01,6,False
