date,MU
2014-03-16,68
2014-03-17,42
2014-03-18,39
2014-03-19,49
2014-03-20,48
2014-03-21,45
2014-03-22,47
2014-03-23,46
2014-03-24,40
2014-03-25,55
2014-03-26,45
2014-03-27,40
2014-03-28,42
2014-03-29,52
2014-03-30,44
2014-03-31,40
2014-04-01,64
2014-04-02,50
2014-04-03,41
2014-04-04,42
2014-04-05,52
2014-04-06,45
2014-04-07,40
2014-04-08,42
2014-04-09,61
2014-04-10,49
2014-04-11,41
2014-04-12,45
2014-04-13,44
2014-04-14,39
2014-04-15,38
2014-04-16,39
2014-04-17,41
2014-04-18,43
2014-04-19,44
2014-04-20,54
2014-04-21,41
2014-04-22,41
2014-04-23,41
2014-04-24,40
2014-04-25,44
2014-04-26,54
2014-04-27,48
2014-04-28,40
2014-04-29,41
2014-04-30,40
2014-05-01,44
2014-05-02,42
2014-05-03,52
2014-05-04,45
2014-05-05,39
2014-05-06,43
2014-05-07,40
2014-05-08,39
2014-05-09,40
2014-05-10,45
2014-05-11,45
2014-05-12,38
2014-05-13,38
2014-05-14,38
2014-05-15,38
2014-05-16,39
2014-05-17,45
2014-05-18,46
2014-05-19,39
2014-05-20,39
2014-05-21,39
2014-05-22,40
2014-05-23,42
2014-05-24,47
2014-05-25,45
2014-05-26,38
2014-05-27,38
2014-05-28,39
2014-05-29,40
2014-05-30,40
2014-05-31,44
2014-06-01,44
2014-06-02,38
2014-06-03,38
2014-06-04,39
2014-06-05,39
2014-06-06,40
2014-06-07,44
2014-06-08,43
2014-06-09,39
2014-06-10,39
2014-06-11,40
2014-06-12,41
2014-06-13,40
2014-06-14,43
2014-06-15,43
2014-06-16,38
2014-06-17,39
2014-06-18,39
2014-06-19,41
2014-06-20,41
2014-06-21,45
2014-06-22,45
2014-06-23,41
2014-06-24,41
2014-06-25,40
2014-06-26,39
2014-06-27,44
2014-06-28,50
2014-06-29,48
2014-06-30,45
2014-07-01,45
2014-07-02,45
2014-07-03,47
2014-07-04,46
2014-07-05,50
2014-07-06,50
2014-07-07,45
2014-07-08,44
2014-07-09,44
2014-07-10,43
2014-07-11,46
2014-07-12,51
2014-07-13,49
2014-07-14,44
2014-07-15,45
2014-07-16,45
2014-07-17,47
2014-07-18,46
2014-07-19,52
2014-07-20,51
2014-07-21,45
2014-07-22,45
2014-07-23,48
2014-07-24,51
2014-07-25,47
2014-07-26,56
2014-07-27,51
2014-07-28,42
2014-07-29,42
2014-07-30,47
2014-07-31,49
2014-08-01,50
2014-08-02,60
2014-08-03,61
2014-08-04,53
2014-08-05,58
2014-08-06,44
2014-08-07,44
2014-08-08,44
2014-08-09,49
2014-08-10,49
2014-08-11,43
2014-08-12,45
2014-08-13,44
2014-08-14,43
2014-08-15,46
2014-08-16,66
2014-08-17,47
2014-08-18,43
2014-08-19,43
2014-08-20,43
2014-08-21,43
2014-08-22,44
2014-08-23,50
2014-08-24,63
2014-08-25,46
2014-08-26,48
2014-08-27,48
2014-08-28,45
2014-08-29,47
2014-08-30,62
2014-08-31,49
2014-09-01,46
2014-09-02,47
2014-09-03,44
2014-09-04,42
2014-09-05,43
2014-09-06,48
2014-09-07,47
2014-09-08,42
2014-09-09,42
2014-09-10,41
2014-09-11,42
2014-09-12,45
2014-09-13,50
2014-09-14,66
2014-09-15,48
2014-09-16,43
2014-09-17,42
2014-09-18,43
2014-09-19,42
2014-09-20,49
2014-09-21,62
2014-09-22,42
2014-09-23,42
2014-09-24,42
2014-09-25,42
2014-09-26,44
2014-09-27,57
2014-09-28,51
2014-09-29,41
2014-09-30,41
2014-10-01,41
2014-10-02,45
2014-10-03,44
2014-10-04,46
2014-10-05,59
2014-10-06,41
2014-10-07,41
2014-10-08,41
2014-10-09,41
2014-10-10,41
2014-10-11,47
2014-10-12,47
2014-10-13,40
2014-10-14,40
2014-10-15,40
2014-10-16,40
2014-10-17,43
2014-10-18,48
2014-10-19,50
2014-10-20,47
2014-10-21,44
2014-10-22,42
2014-10-23,41
2014-10-24,45
2014-10-25,56
2014-10-26,100
2014-10-27,52
2014-10-28,43
2014-10-29,40
2014-10-30,43
2014-10-31,44
2014-11-01,52
2014-11-02,84
2014-11-03,46
2014-11-04,40
2014-11-05,40
2014-11-06,39
2014-11-07,41
2014-11-08,52
2014-11-09,47
2014-11-10,42
2014-11-11,40
2014-11-12,40
2014-11-13,41
2014-11-14,42
2014-11-15,46
2014-11-16,46
2014-11-17,40
2014-11-18,41
2014-11-19,41
2014-11-20,41
2014-11-21,42
2014-11-22,63
2014-11-23,52
2014-11-24,41
2014-11-25,41
2014-11-26,39
2014-11-27,41
2014-11-28,41
2014-11-29,51
2014-11-30,47
2014-12-01,41
