date,MU
2014-07-24,55
2014-07-25,48
2014-07-26,58
2014-07-27,54
2014-07-28,43
2014-07-29,46
2014-07-30,48
2014-07-31,49
2014-08-01,53
2014-08-02,61
2014-08-03,64
2014-08-04,56
2014-08-05,61
2014-08-06,47
2014-08-07,46
2014-08-08,46
2014-08-09,50
2014-08-10,51
2014-08-11,46
2014-08-12,46
2014-08-13,45
2014-08-14,45
2014-08-15,46
2014-08-16,67
2014-08-17,49
2014-08-18,43
2014-08-19,42
2014-08-20,44
2014-08-21,43
2014-08-22,45
2014-08-23,51
2014-08-24,66
2014-08-25,48
2014-08-26,49
2014-08-27,50
2014-08-28,47
2014-08-29,48
2014-08-30,64
2014-08-31,52
2014-09-01,48
2014-09-02,48
2014-09-03,46
2014-09-04,45
2014-09-05,46
2014-09-06,50
2014-09-07,47
2014-09-08,43
2014-09-09,43
2014-09-10,42
2014-09-11,43
2014-09-12,46
2014-09-13,52
2014-09-14,68
2014-09-15,48
2014-09-16,46
2014-09-17,45
2014-09-18,43
2014-09-19,45
2014-09-20,51
2014-09-21,64
2014-09-22,45
2014-09-23,44
2014-09-24,42
2014-09-25,43
2014-09-26,45
2014-09-27,60
2014-09-28,52
2014-09-29,43
2014-09-30,41
2014-10-01,42
2014-10-02,45
2014-10-03,45
2014-10-04,49
2014-10-05,59
2014-10-06,44
2014-10-07,42
2014-10-08,43
2014-10-09,43
2014-10-10,43
2014-10-11,48
2014-10-12,46
2014-10-13,42
2014-10-14,40
2014-10-15,41
2014-10-16,43
2014-10-17,44
2014-10-18,49
2014-10-19,52
2014-10-20,49
2014-10-21,44
2014-10-22,43
2014-10-23,42
2014-10-24,45
2014-10-25,57
2014-10-26,100
2014-10-27,52
2014-10-28,43
2014-10-29,41
2014-10-30,43
2014-10-31,45
2014-11-01,54
2014-11-02,85
2014-11-03,46
2014-11-04,42
2014-11-05,40
2014-11-06,41
2014-11-07,42
2014-11-08,55
2014-11-09,48
2014-11-10,42
2014-11-11,41
2014-11-12,43
2014-11-13,42
2014-11-14,43
2014-11-15,47
2014-11-16,48
2014-11-17,42
2014-11-18,42
2014-11-19,42
2014-11-20,42
2014-11-21,43
2014-11-22,65
2014-11-23,54
2014-11-24,42
2014-11-25,42
2014-11-26,41
2014-11-27,43
2014-11-28,43
2014-11-29,54
2014-11-30,48
2014-12-01,43
2014-12-02,48
2014-12-03,45
2014-12-04,43
2014-12-05,43
2014-12-06,50
2014-12-07,50
2014-12-08,55
2014-12-09,48
2014-12-10,44
2014-12-11,45
2014-12-12,46
2014-12-13,52
2014-12-14,77
2014-12-15,48
2014-12-16,46
2014-12-17,43
2014-12-18,46
2014-12-19,45
2014-12-20,58
2014-12-21,50
2014-12-22,44
2014-12-23,46
2014-12-24,46
2014-12-25,51
2014-12-26,58
2014-12-27,53
2014-12-28,63
2014-12-29,46
2014-12-30,47
2014-12-31,47
2015-01-01,58
2015-01-02,50
2015-01-03,48
2015-01-04,50
2015-01-05,45
2015-01-06,44
2015-01-07,44
2015-01-08,44
2015-01-09,46
2015-01-10,49
2015-01-11,58
2015-01-12,44
2015-01-13,43
2015-01-14,44
2015-01-15,43
2015-01-16,46
2015-01-17,55
2015-01-18,50
2015-01-19,42
2015-01-20,44
2015-01-21,43
2015-01-22,45
2015-01-23,46
2015-01-24,49
2015-01-25,48
2015-01-26,42
2015-01-27,43
2015-01-28,42
2015-01-29,41
2015-01-30,45
2015-01-31,52
2015-02-01,47
2015-02-02,42
2015-02-03,46
2015-02-04,44
2015-02-05,43
2015-02-06,42
2015-02-07,46
2015-02-08,54
2015-02-09,43
2015-02-10,43
2015-02-11,47
2015-02-12,45
2015-02-13,43
2015-02-14,48
2015-02-15,46
2015-02-16,46
2015-02-17,45
2015-02-18,43
2015-02-19,42
2015-02-20,43
2015-02-21,51
2015-02-22,46
2015-02-23,40
2015-02-24,42
2015-02-25,42
2015-02-26,42
2015-02-27,43
2015-02-28,52
2015-03-01,47
2015-03-02,41
2015-03-03,43
2015-03-04,45
2015-03-05,44
2015-03-06,45
2015-03-07,51
2015-03-08,52
2015-03-09,57
2015-03-10,50
2015-03-11,43
2015-03-12,44
2015-03-13,43
2015-03-14,50
2015-03-15,59
2015-03-16,46
2015-03-17,43
2015-03-18,44
2015-03-19,44
2015-03-20,45
2015-03-21,53
2015-03-22,81
2015-03-23,48
2015-03-24,44
2015-03-25,41
2015-03-26,41
2015-03-27,43
2015-03-28,48
2015-03-29,46
2015-03-30,41
2015-03-31,43
2015-04-01,43
2015-04-02,43
2015-04-03,49
2015-04-04,57
2015-04-05,50
2015-04-06,46
2015-04-07,45
2015-04-08,45
2015-04-09,45
2015-04-10,45
