date,MU
2011-09-18,96
2011-09-19,66
2011-09-20,61
2011-09-21,59
2011-09-22,60
2011-09-23,63
2011-09-24,78
2011-09-25,77
2011-09-26,59
2011-09-27,60
2011-09-28,62
2011-09-29,61
2011-09-30,64
2011-10-01,81
2011-10-02,77
2011-10-03,59
2011-10-04,57
2011-10-05,60
2011-10-06,58
2011-10-07,62
2011-10-08,75
2011-10-09,77
2011-10-10,60
2011-10-11,59
2011-10-12,62
2011-10-13,60
2011-10-14,63
2011-10-15,88
2011-10-16,77
2011-10-17,59
2011-10-18,60
2011-10-19,59
2011-10-20,57
2011-10-21,63
2011-10-22,79
2011-10-23,100
2011-10-24,68
2011-10-25,61
2011-10-26,62
2011-10-27,63
2011-10-28,64
2011-10-29,82
2011-10-30,78
2011-10-31,64
2011-11-01,70
2011-11-02,64
2011-11-03,62
2011-11-04,61
2011-11-05,80
2011-11-06,75
2011-11-07,56
2011-11-08,59
2011-11-09,57
2011-11-10,58
2011-11-11,65
2011-11-12,75
2011-11-13,75
2011-11-14,60
2011-11-15,60
2011-11-16,57
2011-11-17,58
2011-11-18,62
2011-11-19,75
2011-11-20,78
2011-11-21,57
2011-11-22,61
2011-11-23,59
2011-11-24,59
2011-11-25,60
2011-11-26,83
2011-11-27,76
2011-11-28,60
2011-11-29,59
2011-11-30,60
2011-12-01,58
2011-12-02,61
2011-12-03,73
2011-12-04,74
2011-12-05,57
2011-12-06,57
2011-12-07,61
2011-12-08,61
2011-12-09,61
2011-12-10,73
2011-12-11,74
2011-12-12,57
2011-12-13,59
2011-12-14,58
2011-12-15,58
2011-12-16,60
2011-12-17,72
2011-12-18,78
2011-12-19,62
2011-12-20,62
2011-12-21,63
2011-12-22,65
2011-12-23,66
2011-12-24,73
2011-12-25,77
2011-12-26,75
2011-12-27,66
2011-12-28,66
2011-12-29,66
2011-12-30,65
2011-12-31,73
2012-01-01,74
2012-01-02,67
2012-01-03,61
2012-01-04,62
2012-01-05,62
2012-01-06,63
2012-01-07,75
2012-01-08,85
2012-01-09,59
2012-01-10,57
2012-01-11,57
2012-01-12,58
2012-01-13,60
2012-01-14,71
2012-01-15,72
2012-01-16,58
2012-01-17,58
2012-01-18,57
2012-01-19,60
2012-01-20,53
2012-01-21,52
2012-01-22,57
2012-01-23,43
2012-01-24,41
2012-01-25,41
2012-01-26,41
2012-01-27,41
2012-01-28,54
2012-01-29,46
2012-01-30,39
2012-01-31,41
2012-02-01,39
2012-02-02,40
2012-02-03,43
2012-02-04,53
2012-02-05,62
2012-02-06,43
2012-02-07,40
2012-02-08,38
2012-02-09,40
2012-02-10,42
2012-02-11,58
2012-02-12,44
2012-02-13,37
2012-02-14,39
2012-02-15,39
2012-02-16,44
2012-02-17,42
2012-02-18,46
2012-02-19,43
2012-02-20,40
2012-02-21,41
2012-02-22,41
2012-02-23,42
2012-02-24,42
2012-02-25,50
2012-02-26,50
2012-02-27,39
2012-02-28,38
2012-02-29,37
2012-03-01,39
2012-03-02,39
2012-03-03,46
2012-03-04,53
2012-03-05,40
2012-03-06,38
2012-03-07,37
2012-03-08,43
2012-03-09,40
2012-03-10,45
2012-03-11,48
2012-03-12,36
2012-03-13,35
2012-03-14,36
2012-03-15,41
2012-03-16,39
2012-03-17,45
2012-03-18,45
2012-03-19,38
2012-03-20,35
2012-03-21,36
2012-03-22,36
2012-03-23,37
2012-03-24,43
2012-03-25,44
2012-03-26,40
2012-03-27,37
2012-03-28,36
2012-03-29,36
2012-03-30,36
2012-03-31,44
2012-04-01,43
2012-04-02,41
2012-04-03,38
2012-04-04,38
2012-04-05,38
2012-04-06,41
2012-04-07,41
2012-04-08,47
2012-04-09,37
2012-04-10,34
2012-04-11,35
2012-04-12,34
2012-04-13,35
2012-04-14,42
2012-04-15,44
2012-04-16,36
2012-04-17,33
2012-04-18,34
2012-04-19,35
2012-04-20,34
2012-04-21,41
2012-04-22,45
2012-04-23,34
2012-04-24,35
2012-04-25,34
2012-04-26,33
2012-04-27,35
2012-04-28,41
2012-04-29,43
2012-04-30,54
2012-05-01,45
2012-05-02,34
2012-05-03,33
2012-05-04,34
2012-05-05,40
2012-05-06,40
2012-05-07,34
2012-05-08,33
2012-05-09,34
2012-05-10,35
2012-05-11,34
2012-05-12,41
2012-05-13,47
2012-05-14,34
2012-05-15,34
2012-05-16,34
2012-05-17,34
2012-05-18,35
2012-05-19,41
2012-05-20,39
2012-05-21,32
2012-05-22,32
2012-05-23,34
2012-05-24,35
2012-05-25,35
2012-05-26,41
2012-05-27,41
2012-05-28,35
2012-05-29,32
2012-05-30,34
2012-05-31,34
2012-06-01,35
2012-06-02,39
2012-06-03,40
2012-06-04,34
