date,MU
2012-06-04,50
2012-06-05,50
2012-06-06,51
2012-06-07,50
2012-06-08,53
2012-06-09,59
2012-06-10,56
2012-06-11,47
2012-06-12,49
2012-06-13,49
2012-06-14,49
2012-06-15,49
2012-06-16,57
2012-06-17,56
2012-06-18,50
2012-06-19,49
2012-06-20,51
2012-06-21,49
2012-06-22,50
2012-06-23,56
2012-06-24,55
2012-06-25,49
2012-06-26,48
2012-06-27,50
2012-06-28,49
2012-06-29,51
2012-06-30,54
2012-07-01,57
2012-07-02,48
2012-07-03,50
2012-07-04,52
2012-07-05,50
2012-07-06,53
2012-07-07,57
2012-07-08,57
2012-07-09,51
2012-07-10,52
2012-07-11,53
2012-07-12,54
2012-07-13,54
2012-07-14,58
2012-07-15,58
2012-07-16,50
2012-07-17,53
2012-07-18,52
2012-07-19,53
2012-07-20,57
2012-07-21,64
2012-07-22,65
2012-07-23,55
2012-07-24,52
2012-07-25,56
2012-07-26,54
2012-07-27,55
2012-07-28,58
2012-07-29,61
2012-07-30,55
2012-07-31,54
2012-08-01,54
2012-08-02,54
2012-08-03,55
2012-08-04,59
2012-08-05,60
2012-08-06,52
2012-08-07,52
2012-08-08,62
2012-08-09,56
2012-08-10,55
2012-08-11,64
2012-08-12,60
2012-08-13,52
2012-08-14,53
2012-08-15,57
2012-08-16,56
2012-08-17,58
2012-08-18,64
2012-08-19,63
2012-08-20,60
2012-08-21,54
2012-08-22,52
2012-08-23,51
2012-08-24,52
2012-08-25,68
2012-08-26,61
2012-08-27,54
2012-08-28,51
2012-08-29,51
2012-08-30,52
2012-08-31,50
2012-09-01,61
2012-09-02,65
2012-09-03,55
2012-09-04,51
2012-09-05,51
2012-09-06,52
2012-09-07,54
2012-09-08,60
2012-09-09,61
2012-09-10,52
2012-09-11,51
2012-09-12,50
2012-09-13,52
2012-09-14,50
2012-09-15,65
2012-09-16,58
2012-09-17,52
2012-09-18,48
2012-09-19,57
2012-09-20,57
2012-09-21,54
2012-09-22,63
2012-09-23,76
2012-09-24,52
2012-09-25,50
2012-09-26,54
2012-09-27,51
2012-09-28,51
2012-09-29,64
2012-09-30,58
2012-10-01,52
2012-10-02,52
2012-10-03,50
2012-10-04,50
2012-10-05,55
2012-10-06,61
2012-10-07,65
2012-10-08,52
2012-10-09,51
2012-10-10,50
2012-10-11,48
2012-10-12,51
2012-10-13,58
2012-10-14,53
2012-10-15,49
2012-10-16,46
2012-10-17,47
2012-10-18,48
2012-10-19,51
2012-10-20,61
2012-10-21,57
2012-10-22,49
2012-10-23,52
2012-10-24,49
2012-10-25,47
2012-10-26,50
2012-10-27,61
2012-10-28,83
2012-10-29,59
2012-10-30,49
2012-10-31,64
2012-11-01,60
2012-11-02,56
2012-11-03,79
2012-11-04,58
2012-11-05,48
2012-11-06,47
2012-11-07,48
2012-11-08,48
2012-11-09,50
2012-11-10,62
2012-11-11,57
2012-11-12,47
2012-11-13,48
2012-11-14,47
2012-11-15,50
2012-11-16,50
2012-11-17,58
2012-11-18,56
2012-11-19,47
2012-11-20,49
2012-11-21,48
2012-11-22,47
2012-11-23,51
2012-11-24,60
2012-11-25,55
2012-11-26,47
2012-11-27,48
2012-11-28,47
2012-11-29,48
2012-11-30,48
2012-12-01,56
2012-12-02,56
2012-12-03,48
2012-12-04,49
2012-12-05,49
2012-12-06,47
2012-12-07,49
2012-12-08,60
2012-12-09,79
2012-12-10,52
2012-12-11,50
2012-12-12,50
2012-12-13,48
2012-12-14,48
2012-12-15,58
2012-12-16,54
2012-12-17,50
2012-12-18,48
2012-12-19,48
2012-12-20,54
2012-12-21,52
2012-12-22,57
2012-12-23,64
2012-12-24,54
2012-12-25,56
2012-12-26,59
2012-12-27,53
2012-12-28,53
2012-12-29,61
2012-12-30,56
2012-12-31,50
2013-01-01,58
2013-01-02,50
2013-01-03,50
2013-01-04,53
2013-01-05,60
2013-01-06,54
2013-01-07,51
2013-01-08,50
2013-01-09,50
2013-01-10,50
2013-01-11,52
2013-01-12,58
2013-01-13,79
2013-01-14,52
2013-01-15,48
2013-01-16,53
2013-01-17,51
2013-01-18,48
2013-01-19,55
2013-01-20,62
2013-01-21,48
2013-01-22,49
2013-01-23,48
2013-01-24,49
2013-01-25,49
2013-01-26,58
2013-01-27,54
2013-01-28,48
2013-01-29,48
2013-01-30,52
2013-01-31,49
2013-02-01,49
2013-02-02,57
2013-02-03,53
2013-02-04,47
2013-02-05,46
2013-02-06,48
2013-02-07,48
2013-02-08,49
2013-02-09,52
2013-02-10,59
2013-02-11,50
2013-02-12,55
2013-02-13,100
2013-02-14,71
2013-02-15,51
2013-02-16,55
2013-02-17,54
2013-02-18,54
2013-02-19,50
