date,MU
2016-08-02,44
2016-08-03,47
2016-08-04,45
2016-08-05,47
2016-08-06,50
2016-08-07,75
2016-08-08,47
2016-08-09,44
2016-08-10,44
2016-08-11,45
2016-08-12,45
2016-08-13,48
2016-08-14,66
2016-08-15,47
2016-08-16,42
2016-08-17,42
2016-08-18,42
2016-08-19,58
2016-08-20,54
2016-08-21,44
2016-08-22,41
2016-08-23,42
2016-08-24,40
2016-08-25,43
2016-08-26,44
2016-08-27,60
2016-08-28,48
2016-08-29,40
2016-08-30,39
2016-08-31,41
2016-09-01,43
2016-09-02,43
2016-09-03,48
2016-09-04,44
2016-09-05,42
2016-09-06,39
2016-09-07,41
2016-09-08,45
2016-09-09,46
2016-09-10,100
2016-09-11,48
2016-09-12,38
2016-09-13,37
2016-09-14,38
2016-09-15,47
2016-09-16,43
2016-09-17,44
2016-09-18,56
2016-09-19,40
2016-09-20,39
2016-09-21,42
2016-09-22,43
2016-09-23,42
2016-09-24,66
2016-09-25,47
2016-09-26,39
2016-09-27,39
2016-09-28,40
2016-09-29,46
2016-09-30,44
2016-10-01,44
2016-10-02,55
2016-10-03,39
2016-10-04,38
2016-10-05,39
2016-10-06,41
2016-10-07,40
2016-10-08,43
2016-10-09,43
2016-10-10,39
2016-10-11,40
2016-10-12,42
2016-10-13,43
2016-10-14,44
2016-10-15,46
2016-10-16,49
2016-10-17,64
2016-10-18,47
2016-10-19,40
2016-10-20,47
2016-10-21,47
2016-10-22,51
2016-10-23,81
2016-10-24,48
2016-10-25,44
2016-10-26,59
2016-10-27,53
2016-10-28,44
2016-10-29,55
2016-10-30,44
2016-10-31,42
2016-11-01,40
2016-11-02,42
2016-11-03,48
2016-11-04,44
2016-11-05,43
2016-11-06,54
2016-11-07,40
2016-11-08,39
2016-11-09,36
2016-11-10,38
2016-11-11,39
2016-11-12,43
2016-11-13,43
2016-11-14,38
2016-11-15,37
2016-11-16,38
2016-11-17,39
2016-11-18,44
2016-11-19,78
2016-11-20,44
2016-11-21,39
2016-11-22,37
2016-11-23,37
2016-11-24,42
2016-11-25,40
2016-11-26,42
2016-11-27,47
2016-11-28,38
2016-11-29,37
2016-11-30,42
2016-12-01,39
2016-12-02,36
2016-12-03,41
2016-12-04,52
2016-12-05,38
2016-12-06,35
2016-12-07,37
2016-12-08,41
2016-12-09,39
2016-12-10,41
2016-12-11,57
2016-12-12,39
2016-12-13,38
2016-12-14,40
2016-12-15,39
2016-12-16,37
2016-12-17,47
2016-12-18,43
2016-12-19,38
2016-12-20,37
2016-12-21,37
2016-12-22,40
2016-12-23,42
2016-12-24,44
2016-12-25,44
2016-12-26,54
2016-12-27,41
2016-12-28,39
2016-12-29,39
2016-12-30,39
2016-12-31,52
2017-01-01,44
2017-01-02,47
2017-01-03,41
2017-01-04,38
2017-01-05,40
2017-01-06,40
2017-01-07,57
2017-01-08,44
2017-01-09,39
2017-01-10,46
2017-01-11,41
2017-01-12,38
2017-01-13,39
2017-01-14,46
2017-01-15,73
2017-01-16,43
2017-01-17,38
2017-01-18,37
2017-01-19,37
2017-01-20,37
2017-01-21,52
2017-01-22,40
2017-01-23,36
2017-01-24,36
2017-01-25,35
2017-01-26,43
2017-01-27,38
2017-01-28,39
2017-01-29,48
2017-01-30,40
2017-01-31,37
2017-02-01,41
2017-02-02,38
2017-02-03,39
2017-02-04,41
2017-02-05,49
2017-02-06,40
2017-02-07,37
2017-02-08,37
2017-02-09,37
2017-02-10,38
2017-02-11,52
2017-02-12,42
2017-02-13,38
2017-02-14,37
2017-02-15,37
2017-02-16,43
2017-02-17,40
2017-02-18,42
2017-02-19,48
2017-02-20,40
2017-02-21,40
2017-02-22,45
2017-02-23,41
2017-02-24,41
2017-02-25,45
2017-02-26,65
2017-02-27,45
2017-02-28,40
2017-03-01,39
2017-03-02,39
2017-03-03,38
2017-03-04,53
2017-03-05,40
2017-03-06,36
2017-03-07,36
2017-03-08,40
2017-03-09,44
2017-03-10,40
2017-03-11,43
2017-03-12,46
2017-03-13,62
2017-03-14,46
2017-03-15,38
2017-03-16,44
2017-03-17,44
2017-03-18,42
2017-03-19,50
2017-03-20,38
2017-03-21,38
2017-03-22,37
2017-03-23,38
2017-03-24,40
2017-03-25,41
2017-03-26,41
2017-03-27,38
2017-03-28,38
2017-03-29,39
2017-03-30,38
2017-03-31,38
2017-04-01,49
2017-04-02,41
2017-04-03,36
2017-04-04,42
2017-04-05,39
2017-04-06,38
2017-04-07,37
2017-04-08,40
2017-04-09,53
2017-04-10,39
2017-04-11,38
2017-04-12,38
2017-04-13,45
2017-04-14,44
2017-04-15,43
2017-04-16,80
2017-04-17,47
2017-04-18,40
