date,MU
2016-05-04,37
2016-05-05,38
2016-05-06,37
2016-05-07,46
2016-05-08,40
2016-05-09,37
2016-05-10,44
2016-05-11,38
2016-05-12,36
2016-05-13,36
2016-05-14,39
2016-05-15,45
2016-05-16,38
2016-05-17,40
2016-05-18,37
2016-05-19,37
2016-05-20,38
2016-05-21,56
2016-05-22,46
2016-05-23,38
2016-05-24,38
2016-05-25,37
2016-05-26,38
2016-05-27,41
2016-05-28,41
2016-05-29,40
2016-05-30,37
2016-05-31,36
2016-06-01,35
2016-06-02,38
2016-06-03,38
2016-06-04,41
2016-06-05,42
2016-06-06,42
2016-06-07,42
2016-06-08,43
2016-06-09,41
2016-06-10,42
2016-06-11,45
2016-06-12,44
2016-06-13,38
2016-06-14,39
2016-06-15,39
2016-06-16,39
2016-06-17,40
2016-06-18,44
2016-06-19,43
2016-06-20,40
2016-06-21,39
2016-06-22,39
2016-06-23,39
2016-06-24,40
2016-06-25,43
2016-06-26,42
2016-06-27,37
2016-06-28,38
2016-06-29,39
2016-06-30,39
2016-07-01,43
2016-07-02,46
2016-07-03,43
2016-07-04,39
2016-07-05,35
2016-07-06,35
2016-07-07,36
2016-07-08,37
2016-07-09,41
2016-07-10,40
2016-07-11,37
2016-07-12,37
2016-07-13,37
2016-07-14,40
2016-07-15,43
2016-07-16,57
2016-07-17,46
2016-07-18,40
2016-07-19,40
2016-07-20,41
2016-07-21,46
2016-07-22,60
2016-07-23,52
2016-07-24,47
2016-07-25,46
2016-07-26,42
2016-07-27,42
2016-07-28,45
2016-07-29,45
2016-07-30,57
2016-07-31,55
2016-08-01,43
2016-08-02,42
2016-08-03,46
2016-08-04,44
2016-08-05,46
2016-08-06,49
2016-08-07,75
2016-08-08,46
2016-08-09,43
2016-08-10,44
2016-08-11,44
2016-08-12,44
2016-08-13,47
2016-08-14,65
2016-08-15,47
2016-08-16,42
2016-08-17,41
2016-08-18,42
2016-08-19,57
2016-08-20,53
2016-08-21,44
2016-08-22,40
2016-08-23,42
2016-08-24,41
2016-08-25,44
2016-08-26,44
2016-08-27,60
2016-08-28,48
2016-08-29,41
2016-08-30,39
2016-08-31,41
2016-09-01,42
2016-09-02,44
2016-09-03,47
2016-09-04,44
2016-09-05,43
2016-09-06,39
2016-09-07,41
2016-09-08,44
2016-09-09,46
2016-09-10,100
2016-09-11,48
2016-09-12,38
2016-09-13,36
2016-09-14,38
2016-09-15,47
2016-09-16,42
2016-09-17,42
2016-09-18,56
2016-09-19,39
2016-09-20,39
2016-09-21,42
2016-09-22,43
2016-09-23,42
2016-09-24,65
2016-09-25,46
2016-09-26,39
2016-09-27,39
2016-09-28,40
2016-09-29,46
2016-09-30,43
2016-10-01,44
2016-10-02,54
2016-10-03,39
2016-10-04,39
2016-10-05,40
2016-10-06,41
2016-10-07,40
2016-10-08,43
2016-10-09,41
2016-10-10,38
2016-10-11,39
2016-10-12,41
2016-10-13,43
2016-10-14,43
2016-10-15,47
2016-10-16,50
2016-10-17,63
2016-10-18,46
2016-10-19,40
2016-10-20,48
2016-10-21,46
2016-10-22,50
2016-10-23,80
2016-10-24,48
2016-10-25,43
2016-10-26,59
2016-10-27,52
2016-10-28,44
2016-10-29,56
2016-10-30,45
2016-10-31,43
2016-11-01,41
2016-11-02,42
2016-11-03,47
2016-11-04,44
2016-11-05,44
2016-11-06,54
2016-11-07,40
2016-11-08,39
2016-11-09,36
2016-11-10,38
2016-11-11,40
2016-11-12,43
2016-11-13,43
2016-11-14,38
2016-11-15,37
2016-11-16,38
2016-11-17,39
2016-11-18,44
2016-11-19,77
2016-11-20,44
2016-11-21,38
2016-11-22,37
2016-11-23,37
2016-11-24,43
2016-11-25,40
2016-11-26,41
2016-11-27,48
2016-11-28,38
2016-11-29,37
2016-11-30,43
2016-12-01,39
2016-12-02,36
2016-12-03,41
2016-12-04,53
2016-12-05,38
2016-12-06,36
2016-12-07,36
2016-12-08,42
2016-12-09,39
2016-12-10,41
2016-12-11,58
2016-12-12,39
2016-12-13,37
2016-12-14,41
2016-12-15,39
2016-12-16,37
2016-12-17,47
2016-12-18,43
2016-12-19,38
2016-12-20,37
2016-12-21,37
2016-12-22,39
2016-12-23,43
2016-12-24,45
2016-12-25,44
2016-12-26,54
2016-12-27,41
2016-12-28,38
2016-12-29,38
2016-12-30,39
2016-12-31,52
2017-01-01,44
2017-01-02,46
2017-01-03,40
2017-01-04,37
2017-01-05,39
2017-01-06,40
2017-01-07,58
2017-01-08,43
2017-01-09,39
2017-01-10,44
2017-01-11,40
2017-01-12,38
2017-01-13,39
2017-01-14,46
2017-01-15,73
2017-01-16,42
2017-01-17,38
2017-01-18,37
2017-01-19,37
