date,MU
2016-09-11,61
2016-09-12,47
2016-09-13,46
2016-09-14,48
2016-09-15,58
2016-09-16,54
2016-09-17,54
2016-09-18,71
2016-09-19,48
2016-09-20,47
2016-09-21,51
2016-09-22,54
2016-09-23,52
2016-09-24,80
2016-09-25,58
2016-09-26,48
2016-09-27,48
2016-09-28,48
2016-09-29,57
2016-09-30,53
2016-10-01,54
2016-10-02,66
2016-10-03,48
2016-10-04,48
2016-10-05,48
2016-10-06,51
2016-10-07,50
2016-10-08,52
2016-10-09,52
2016-10-10,48
2016-10-11,48
2016-10-12,52
2016-10-13,53
2016-10-14,53
2016-10-15,57
2016-10-16,62
2016-10-17,79
2016-10-18,58
2016-10-19,49
2016-10-20,58
2016-10-21,57
2016-10-22,63
2016-10-23,100
2016-10-24,60
2016-10-25,54
2016-10-26,73
2016-10-27,63
2016-10-28,55
2016-10-29,68
2016-10-30,55
2016-10-31,52
2016-11-01,50
2016-11-02,52
2016-11-03,60
2016-11-04,54
2016-11-05,53
2016-11-06,67
2016-11-07,49
2016-11-08,47
2016-11-09,44
2016-11-10,46
2016-11-11,48
2016-11-12,52
2016-11-13,51
2016-11-14,47
2016-11-15,45
2016-11-16,47
2016-11-17,49
2016-11-18,54
2016-11-19,95
2016-11-20,54
2016-11-21,47
2016-11-22,45
2016-11-23,46
2016-11-24,52
2016-11-25,49
2016-11-26,51
2016-11-27,59
2016-11-28,46
2016-11-29,46
2016-11-30,52
2016-12-01,49
2016-12-02,46
2016-12-03,51
2016-12-04,65
2016-12-05,47
2016-12-06,45
2016-12-07,45
2016-12-08,52
2016-12-09,48
2016-12-10,51
2016-12-11,71
2016-12-12,48
2016-12-13,46
2016-12-14,51
2016-12-15,48
2016-12-16,47
2016-12-17,57
2016-12-18,53
2016-12-19,47
2016-12-20,46
2016-12-21,47
2016-12-22,49
2016-12-23,51
2016-12-24,55
2016-12-25,54
2016-12-26,67
2016-12-27,51
2016-12-28,49
2016-12-29,48
2016-12-30,48
2016-12-31,66
2017-01-01,53
2017-01-02,57
2017-01-03,50
2017-01-04,47
2017-01-05,48
2017-01-06,49
2017-01-07,70
2017-01-08,53
2017-01-09,48
2017-01-10,55
2017-01-11,49
2017-01-12,48
2017-01-13,48
2017-01-14,57
2017-01-15,89
2017-01-16,53
2017-01-17,46
2017-01-18,46
2017-01-19,45
2017-01-20,45
2017-01-21,64
2017-01-22,49
2017-01-23,44
2017-01-24,44
2017-01-25,45
2017-01-26,52
2017-01-27,46
2017-01-28,48
2017-01-29,57
2017-01-30,49
2017-01-31,46
2017-02-01,50
2017-02-02,46
2017-02-03,48
2017-02-04,51
2017-02-05,61
2017-02-06,50
2017-02-07,46
2017-02-08,47
2017-02-09,46
2017-02-10,47
2017-02-11,65
2017-02-12,52
2017-02-13,47
2017-02-14,45
2017-02-15,46
2017-02-16,53
2017-02-17,50
2017-02-18,52
2017-02-19,60
2017-02-20,49
2017-02-21,49
2017-02-22,55
2017-02-23,51
2017-02-24,50
2017-02-25,56
2017-02-26,81
2017-02-27,55
2017-02-28,50
2017-03-01,49
2017-03-02,48
2017-03-03,47
2017-03-04,66
2017-03-05,50
2017-03-06,45
2017-03-07,46
2017-03-08,50
2017-03-09,55
2017-03-10,50
2017-03-11,54
2017-03-12,57
2017-03-13,76
2017-03-14,56
2017-03-15,48
2017-03-16,54
2017-03-17,53
2017-03-18,52
2017-03-19,62
2017-03-20,47
2017-03-21,47
2017-03-22,45
2017-03-23,47
2017-03-24,49
2017-03-25,50
2017-03-26,50
2017-03-27,48
2017-03-28,48
2017-03-29,47
2017-03-30,48
2017-03-31,49
2017-04-01,59
