date,ATVI,isPartial
2011-05-11,28,False
2011-05-12,23,False
2011-05-13,18,False
2011-05-14,7,False
2011-05-15,7,False
2011-05-16,17,False
2011-05-17,11,False
2011-05-18,23,False
2011-05-19,17,False
2011-05-20,24,False
2011-05-21,22,False
2011-05-22,0,False
2011-05-23,0,False
2011-05-24,17,False
2011-05-25,17,False
2011-05-26,17,False
2011-05-27,6,False
2011-05-28,0,False
2011-05-29,15,False
2011-05-30,12,False
2011-05-31,28,False
2011-06-01,23,False
2011-06-02,24,False
2011-06-03,43,False
2011-06-04,0,False
2011-06-05,0,False
2011-06-06,45,False
2011-06-07,17,False
2011-06-08,28,False
2011-06-09,23,False
2011-06-10,30,False
2011-06-11,22,False
2011-06-12,7,False
2011-06-13,17,False
2011-06-14,17,False
2011-06-15,11,False
2011-06-16,17,False
2011-06-17,12,False
2011-06-18,36,False
2011-06-19,0,False
2011-06-20,33,False
2011-06-21,17,False
2011-06-22,11,False
2011-06-23,12,False
2011-06-24,18,False
2011-06-25,15,False
2011-06-26,7,False
2011-06-27,28,False
2011-06-28,28,False
2011-06-29,6,False
2011-06-30,6,False
2011-07-01,6,False
2011-07-02,0,False
2011-07-03,15,False
2011-07-04,6,False
2011-07-05,17,False
2011-07-06,40,False
2011-07-07,23,False
2011-07-08,6,False
2011-07-09,7,False
2011-07-10,15,False
2011-07-11,17,False
2011-07-12,6,False
2011-07-13,17,False
2011-07-14,18,False
2011-07-15,12,False
2011-07-16,7,False
2011-07-17,7,False
2011-07-18,23,False
2011-07-19,11,False
2011-07-20,29,False
2011-07-21,34,False
2011-07-22,6,False
2011-07-23,7,False
2011-07-24,0,False
2011-07-25,28,False
2011-07-26,17,False
2011-07-27,0,False
2011-07-28,23,False
2011-07-29,6,False
2011-07-30,7,False
2011-07-31,7,False
2011-08-01,23,False
2011-08-02,6,False
2011-08-03,6,False
2011-08-04,34,False
2011-08-05,24,False
2011-08-06,7,False
2011-08-07,21,False
2011-08-08,39,False
2011-08-09,49,False
2011-08-10,6,False
2011-08-11,39,False
2011-08-12,24,False
2011-08-13,22,False
2011-08-14,14,False
2011-08-15,29,False
2011-08-16,11,False
2011-08-17,17,False
2011-08-18,39,False
2011-08-19,23,False
2011-08-20,14,False
2011-08-21,7,False
2011-08-22,27,False
2011-08-23,22,False
2011-08-24,16,False
2011-08-25,11,False
2011-08-26,6,False
2011-08-27,7,False
2011-08-28,7,False
2011-08-29,16,False
2011-08-30,27,False
2011-08-31,11,False
2011-09-01,16,False
2011-09-02,28,False
2011-09-03,7,False
2011-09-04,0,False
2011-09-05,11,False
2011-09-06,0,False
2011-09-07,21,False
2011-09-08,21,False
2011-09-09,27,False
2011-09-10,20,False
2011-09-11,0,False
2011-09-12,15,False
2011-09-13,10,False
2011-09-14,26,False
2011-09-15,21,False
2011-09-16,28,False
2011-09-17,6,False
2011-09-18,0,False
2011-09-19,21,False
2011-09-20,31,False
2011-09-21,5,False
2011-09-22,31,False
2011-09-23,27,False
2011-09-24,0,False
2011-09-25,13,False
2011-09-26,15,False
2011-09-27,26,False
2011-09-28,10,False
2011-09-29,16,False
2011-09-30,16,False
2011-10-01,0,False
2011-10-02,6,False
2011-10-03,21,False
2011-10-04,15,False
2011-10-05,31,False
2011-10-06,26,False
2011-10-07,11,False
2011-10-08,6,False
2011-10-09,18,False
2011-10-10,56,False
2011-10-11,34,False
2011-10-12,25,False
2011-10-13,25,False
2011-10-14,48,False
2011-10-15,6,False
2011-10-16,12,False
2011-10-17,10,False
2011-10-18,15,False
2011-10-19,5,False
2011-10-20,10,False
2011-10-21,27,False
2011-10-22,13,False
2011-10-23,12,False
2011-10-24,60,False
2011-10-25,10,False
2011-10-26,20,False
2011-10-27,41,False
2011-10-28,16,False
2011-10-29,19,False
2011-10-30,0,False
2011-10-31,5,False
2011-11-01,31,False
2011-11-02,20,False
2011-11-03,10,False
2011-11-04,10,False
2011-11-05,18,False
2011-11-06,30,False
2011-11-07,40,False
2011-11-08,73,False
2011-11-09,100,False
2011-11-10,25,False
2011-11-11,42,False
2011-11-12,30,False
2011-11-13,12,False
2011-11-14,34,False
2011-11-15,25,False
2011-11-16,24,False
2011-11-17,25,False
2011-11-18,21,False
2011-11-19,18,False
2011-11-20,12,False
2011-11-21,34,False
2011-11-22,30,False
2011-11-23,5,False
2011-11-24,21,False
2011-11-25,16,False
2011-11-26,18,False
2011-11-27,0,False
2011-11-28,10,False
2011-11-29,24,False
2011-11-30,10,False
2011-12-01,40,False
2011-12-02,31,False
2011-12-03,18,False
2011-12-04,6,False
2011-12-05,34,False
2011-12-06,19,False
2011-12-07,15,False
2011-12-08,15,False
2011-12-09,16,False
2011-12-10,0,False
2011-12-11,6,False
2011-12-12,19,False
2011-12-13,24,False
2011-12-14,24,False
2011-12-15,15,False
2011-12-16,5,False
2011-12-17,6,False
2011-12-18,0,False
2011-12-19,10,False
2011-12-20,10,False
2011-12-21,20,False
2011-12-22,21,False
2011-12-23,28,False
2011-12-24,13,False
2011-12-25,7,False
2011-12-26,17,False
2011-12-27,42,False
2011-12-28,11,False
2011-12-29,11,False
2011-12-30,28,False
2011-12-31,0,False
2012-01-01,0,False
2012-01-02,10,False
2012-01-03,15,False
2012-01-04,15,False
2012-01-05,29,False
2012-01-06,5,False
2012-01-07,6,False
2012-01-08,6,False
2012-01-09,0,False
2012-01-10,5,False
2012-01-11,0,False
2012-01-12,19,False
2012-01-13,25,False
2012-01-14,0,False
2012-01-15,11,False
2012-01-16,9,False
2012-01-17,41,False
2012-01-18,32,False
2012-01-19,14,False
2012-01-20,10,False
2012-01-21,11,False
2012-01-22,5,False
2012-01-23,18,False
2012-01-24,23,False
2012-01-25,32,False
2012-01-26,28,False
