date,WFM
2016-07-30,42
2016-07-31,43
2016-08-01,65
2016-08-02,65
2016-08-03,79
2016-08-04,50
2016-08-05,64
2016-08-06,33
2016-08-07,44
2016-08-08,57
2016-08-09,65
2016-08-10,62
2016-08-11,62
2016-08-12,48
2016-08-13,41
2016-08-14,41
2016-08-15,54
2016-08-16,64
2016-08-17,51
2016-08-18,63
2016-08-19,57
2016-08-20,44
2016-08-21,38
2016-08-22,69
2016-08-23,74
2016-08-24,65
2016-08-25,53
2016-08-26,66
2016-08-27,38
2016-08-28,37
2016-08-29,74
2016-08-30,69
2016-08-31,59
2016-09-01,56
2016-09-02,57
2016-09-03,47
2016-09-04,45
2016-09-05,46
2016-09-06,51
2016-09-07,84
2016-09-08,68
2016-09-09,75
2016-09-10,37
2016-09-11,37
2016-09-12,74
2016-09-13,60
2016-09-14,74
2016-09-15,71
2016-09-16,72
2016-09-17,44
2016-09-18,46
2016-09-19,66
2016-09-20,54
2016-09-21,66
2016-09-22,59
2016-09-23,58
2016-09-24,42
2016-09-25,39
2016-09-26,77
2016-09-27,63
2016-09-28,58
2016-09-29,63
2016-09-30,56
2016-10-01,34
2016-10-02,39
2016-10-03,60
2016-10-04,65
2016-10-05,58
2016-10-06,62
2016-10-07,80
2016-10-08,52
2016-10-09,39
2016-10-10,65
2016-10-11,59
2016-10-12,64
2016-10-13,56
2016-10-14,70
2016-10-15,42
2016-10-16,41
2016-10-17,65
2016-10-18,54
2016-10-19,52
2016-10-20,62
2016-10-21,60
2016-10-22,44
2016-10-23,43
2016-10-24,65
2016-10-25,53
2016-10-26,67
2016-10-27,68
2016-10-28,63
2016-10-29,36
2016-10-30,41
2016-10-31,68
2016-11-01,69
2016-11-02,90
2016-11-03,67
2016-11-04,74
2016-11-05,37
2016-11-06,46
2016-11-07,73
2016-11-08,58
2016-11-09,67
2016-11-10,61
2016-11-11,73
2016-11-12,41
2016-11-13,39
2016-11-14,78
2016-11-15,69
2016-11-16,78
2016-11-17,66
2016-11-18,54
2016-11-19,40
2016-11-20,52
2016-11-21,68
2016-11-22,63
2016-11-23,60
2016-11-24,54
2016-11-25,59
2016-11-26,49
2016-11-27,40
2016-11-28,61
2016-11-29,54
2016-11-30,66
2016-12-01,62
2016-12-02,67
2016-12-03,40
2016-12-04,40
2016-12-05,64
2016-12-06,67
2016-12-07,67
2016-12-08,75
2016-12-09,62
2016-12-10,39
2016-12-11,47
2016-12-12,65
2016-12-13,61
2016-12-14,71
2016-12-15,49
2016-12-16,69
2016-12-17,45
2016-12-18,44
2016-12-19,68
2016-12-20,60
2016-12-21,56
2016-12-22,54
2016-12-23,55
2016-12-24,40
2016-12-25,30
2016-12-26,46
2016-12-27,66
2016-12-28,65
2016-12-29,56
2016-12-30,50
2016-12-31,41
2017-01-01,44
2017-01-02,53
2017-01-03,59
2017-01-04,51
2017-01-05,56
2017-01-06,40
2017-01-07,54
2017-01-08,39
2017-01-09,62
2017-01-10,63
2017-01-11,53
2017-01-12,59
2017-01-13,54
2017-01-14,47
2017-01-15,31
2017-01-16,50
2017-01-17,50
2017-01-18,65
2017-01-19,51
2017-01-20,57
2017-01-21,42
2017-01-22,39
2017-01-23,60
2017-01-24,67
2017-01-25,59
2017-01-26,57
2017-01-27,67
2017-01-28,37
2017-01-29,50
2017-01-30,59
2017-01-31,61
2017-02-01,55
2017-02-02,54
2017-02-03,55
2017-02-04,47
2017-02-05,40
2017-02-06,65
2017-02-07,66
2017-02-08,85
2017-02-09,100
2017-02-10,70
2017-02-11,51
2017-02-12,53
2017-02-13,67
2017-02-14,62
2017-02-15,61
2017-02-16,74
2017-02-17,69
2017-02-18,51
2017-02-19,46
2017-02-20,60
2017-02-21,71
2017-02-22,50
2017-02-23,62
2017-02-24,64
2017-02-25,43
2017-02-26,52
2017-02-27,74
2017-02-28,72
2017-03-01,67
2017-03-02,67
2017-03-03,59
2017-03-04,37
2017-03-05,39
2017-03-06,68
2017-03-07,58
2017-03-08,62
2017-03-09,59
2017-03-10,70
2017-03-11,39
2017-03-12,50
2017-03-13,72
2017-03-14,60
2017-03-15,69
2017-03-16,67
2017-03-17,59
2017-03-18,55
2017-03-19,43
2017-03-20,62
2017-03-21,58
2017-03-22,64
2017-03-23,66
2017-03-24,63
2017-03-25,30
2017-03-26,42
2017-03-27,73
2017-03-28,54
2017-03-29,58
2017-03-30,64
2017-03-31,68
2017-04-01,42
2017-04-02,45
2017-04-03,54
2017-04-04,68
2017-04-05,59
2017-04-06,57
2017-04-07,62
2017-04-08,38
2017-04-09,49
2017-04-10,99
2017-04-11,99
2017-04-12,83
2017-04-13,72
2017-04-14,49
