date,WFM
2011-09-18,51
2011-09-19,70
2011-09-20,81
2011-09-21,50
2011-09-22,69
2011-09-23,35
2011-09-24,44
2011-09-25,33
2011-09-26,65
2011-09-27,41
2011-09-28,42
2011-09-29,58
2011-09-30,61
2011-10-01,31
2011-10-02,38
2011-10-03,42
2011-10-04,43
2011-10-05,50
2011-10-06,50
2011-10-07,39
2011-10-08,29
2011-10-09,45
2011-10-10,65
2011-10-11,59
2011-10-12,68
2011-10-13,52
2011-10-14,30
2011-10-15,40
2011-10-16,55
2011-10-17,66
2011-10-18,66
2011-10-19,56
2011-10-20,56
2011-10-21,48
2011-10-22,48
2011-10-23,52
2011-10-24,65
2011-10-25,77
2011-10-26,41
2011-10-27,46
2011-10-28,57
2011-10-29,40
2011-10-30,42
2011-10-31,33
2011-11-01,58
2011-11-02,50
2011-11-03,56
2011-11-04,44
2011-11-05,26
2011-11-06,39
2011-11-07,61
2011-11-08,50
2011-11-09,73
2011-11-10,47
2011-11-11,60
2011-11-12,52
2011-11-13,33
2011-11-14,54
2011-11-15,53
2011-11-16,50
2011-11-17,62
2011-11-18,31
2011-11-19,44
2011-11-20,48
2011-11-21,60
2011-11-22,59
2011-11-23,46
2011-11-24,42
2011-11-25,64
2011-11-26,49
2011-11-27,45
2011-11-28,41
2011-11-29,53
2011-11-30,57
2011-12-01,44
2011-12-02,37
2011-12-03,30
2011-12-04,40
2011-12-05,60
2011-12-06,53
2011-12-07,42
2011-12-08,79
2011-12-09,89
2011-12-10,40
2011-12-11,32
2011-12-12,33
2011-12-13,57
2011-12-14,48
2011-12-15,51
2011-12-16,59
2011-12-17,41
2011-12-18,33
2011-12-19,50
2011-12-20,49
2011-12-21,43
2011-12-22,27
2011-12-23,39
2011-12-24,31
2011-12-25,52
2011-12-26,20
2011-12-27,36
2011-12-28,56
2011-12-29,47
2011-12-30,36
2011-12-31,22
2012-01-01,34
2012-01-02,42
2012-01-03,41
2012-01-04,41
2012-01-05,64
2012-01-06,52
2012-01-07,49
2012-01-08,42
2012-01-09,60
2012-01-10,51
2012-01-11,89
2012-01-12,66
2012-01-13,64
2012-01-14,41
2012-01-15,45
2012-01-16,65
2012-01-17,59
2012-01-18,78
2012-01-19,37
2012-01-20,56
2012-01-21,54
2012-01-22,33
2012-01-23,49
2012-01-24,61
2012-01-25,41
2012-01-26,68
2012-01-27,60
2012-01-28,29
2012-01-29,38
2012-01-30,63
2012-01-31,44
2012-02-01,56
2012-02-02,53
2012-02-03,63
2012-02-04,37
2012-02-05,39
2012-02-06,48
2012-02-07,52
2012-02-08,92
2012-02-09,82
2012-02-10,85
2012-02-11,42
2012-02-12,45
2012-02-13,59
2012-02-14,53
2012-02-15,70
2012-02-16,57
2012-02-17,65
2012-02-18,35
2012-02-19,40
2012-02-20,44
2012-02-21,85
2012-02-22,68
2012-02-23,60
2012-02-24,75
2012-02-25,74
2012-02-26,46
2012-02-27,50
2012-02-28,70
2012-02-29,57
2012-03-01,60
2012-03-02,44
2012-03-03,51
2012-03-04,39
2012-03-05,61
2012-03-06,50
2012-03-07,49
2012-03-08,63
2012-03-09,67
2012-03-10,30
2012-03-11,46
2012-03-12,59
2012-03-13,70
2012-03-14,65
2012-03-15,62
2012-03-16,40
2012-03-17,38
2012-03-18,35
2012-03-19,46
2012-03-20,53
2012-03-21,52
2012-03-22,65
2012-03-23,47
2012-03-24,26
2012-03-25,35
2012-03-26,84
2012-03-27,62
2012-03-28,60
2012-03-29,74
2012-03-30,55
2012-03-31,33
2012-04-01,42
2012-04-02,43
2012-04-03,55
2012-04-04,50
2012-04-05,55
2012-04-06,56
2012-04-07,20
2012-04-08,50
2012-04-09,53
2012-04-10,64
2012-04-11,67
2012-04-12,55
2012-04-13,49
2012-04-14,30
2012-04-15,46
2012-04-16,63
2012-04-17,66
2012-04-18,53
2012-04-19,52
2012-04-20,44
2012-04-21,32
2012-04-22,41
2012-04-23,49
2012-04-24,51
2012-04-25,59
2012-04-26,37
2012-04-27,59
2012-04-28,42
2012-04-29,43
2012-04-30,52
2012-05-01,54
2012-05-02,86
2012-05-03,100
2012-05-04,70
2012-05-05,39
2012-05-06,16
2012-05-07,78
2012-05-08,66
2012-05-09,55
2012-05-10,58
2012-05-11,72
2012-05-12,26
2012-05-13,35
2012-05-14,75
2012-05-15,48
2012-05-16,38
2012-05-17,57
2012-05-18,49
2012-05-19,26
2012-05-20,40
2012-05-21,71
2012-05-22,58
2012-05-23,61
2012-05-24,64
2012-05-25,61
2012-05-26,32
2012-05-27,46
2012-05-28,44
2012-05-29,61
2012-05-30,56
2012-05-31,70
2012-06-01,61
2012-06-02,59
2012-06-03,41
2012-06-04,49
