date,WFM
2016-08-02,60
2016-08-03,68
2016-08-04,40
2016-08-05,57
2016-08-06,39
2016-08-07,30
2016-08-08,65
2016-08-09,61
2016-08-10,64
2016-08-11,62
2016-08-12,54
2016-08-13,37
2016-08-14,49
2016-08-15,56
2016-08-16,57
2016-08-17,42
2016-08-18,55
2016-08-19,51
2016-08-20,39
2016-08-21,34
2016-08-22,57
2016-08-23,75
2016-08-24,74
2016-08-25,51
2016-08-26,63
2016-08-27,43
2016-08-28,45
2016-08-29,63
2016-08-30,68
2016-08-31,65
2016-09-01,56
2016-09-02,53
2016-09-03,42
2016-09-04,48
2016-09-05,63
2016-09-06,55
2016-09-07,67
2016-09-08,68
2016-09-09,83
2016-09-10,46
2016-09-11,51
2016-09-12,74
2016-09-13,55
2016-09-14,65
2016-09-15,75
2016-09-16,74
2016-09-17,37
2016-09-18,46
2016-09-19,68
2016-09-20,56
2016-09-21,68
2016-09-22,60
2016-09-23,66
2016-09-24,34
2016-09-25,18
2016-09-26,76
2016-09-27,84
2016-09-28,65
2016-09-29,57
2016-09-30,62
2016-10-01,28
2016-10-02,34
2016-10-03,72
2016-10-04,55
2016-10-05,49
2016-10-06,68
2016-10-07,75
2016-10-08,43
2016-10-09,45
2016-10-10,64
2016-10-11,58
2016-10-12,45
2016-10-13,54
2016-10-14,67
2016-10-15,48
2016-10-16,41
2016-10-17,61
2016-10-18,66
2016-10-19,68
2016-10-20,60
2016-10-21,48
2016-10-22,36
2016-10-23,41
2016-10-24,79
2016-10-25,71
2016-10-26,64
2016-10-27,59
2016-10-28,60
2016-10-29,31
2016-10-30,45
2016-10-31,64
2016-11-01,67
2016-11-02,82
2016-11-03,72
2016-11-04,70
2016-11-05,42
2016-11-06,43
2016-11-07,78
2016-11-08,64
2016-11-09,70
2016-11-10,72
2016-11-11,61
2016-11-12,38
2016-11-13,38
2016-11-14,65
2016-11-15,73
2016-11-16,78
2016-11-17,67
2016-11-18,57
2016-11-19,45
2016-11-20,46
2016-11-21,60
2016-11-22,72
2016-11-23,61
2016-11-24,43
2016-11-25,58
2016-11-26,39
2016-11-27,40
2016-11-28,66
2016-11-29,54
2016-11-30,59
2016-12-01,72
2016-12-02,51
2016-12-03,39
2016-12-04,44
2016-12-05,61
2016-12-06,73
2016-12-07,73
2016-12-08,56
2016-12-09,58
2016-12-10,27
2016-12-11,44
2016-12-12,63
2016-12-13,57
2016-12-14,67
2016-12-15,51
2016-12-16,63
2016-12-17,42
2016-12-18,33
2016-12-19,45
2016-12-20,78
2016-12-21,54
2016-12-22,47
2016-12-23,38
2016-12-24,34
2016-12-25,33
2016-12-26,48
2016-12-27,58
2016-12-28,58
2016-12-29,57
2016-12-30,49
2016-12-31,33
2017-01-01,42
2017-01-02,55
2017-01-03,52
2017-01-04,53
2017-01-05,55
2017-01-06,43
2017-01-07,57
2017-01-08,33
2017-01-09,62
2017-01-10,58
2017-01-11,50
2017-01-12,58
2017-01-13,48
2017-01-14,49
2017-01-15,37
2017-01-16,67
2017-01-17,56
2017-01-18,59
2017-01-19,56
2017-01-20,50
2017-01-21,47
2017-01-22,36
2017-01-23,74
2017-01-24,68
2017-01-25,62
2017-01-26,69
2017-01-27,62
2017-01-28,35
2017-01-29,55
2017-01-30,65
2017-01-31,71
2017-02-01,51
2017-02-02,48
2017-02-03,63
2017-02-04,43
2017-02-05,38
2017-02-06,60
2017-02-07,67
2017-02-08,100
2017-02-09,98
2017-02-10,57
2017-02-11,46
2017-02-12,32
2017-02-13,69
2017-02-14,50
2017-02-15,64
2017-02-16,80
2017-02-17,63
2017-02-18,48
2017-02-19,41
2017-02-20,62
2017-02-21,72
2017-02-22,48
2017-02-23,57
2017-02-24,57
2017-02-25,29
2017-02-26,47
2017-02-27,68
2017-02-28,55
2017-03-01,57
2017-03-02,71
2017-03-03,58
2017-03-04,44
2017-03-05,44
2017-03-06,57
2017-03-07,44
2017-03-08,54
2017-03-09,48
2017-03-10,65
2017-03-11,38
2017-03-12,49
2017-03-13,50
2017-03-14,66
2017-03-15,62
2017-03-16,62
2017-03-17,69
2017-03-18,52
2017-03-19,26
2017-03-20,74
2017-03-21,56
2017-03-22,59
2017-03-23,67
2017-03-24,55
2017-03-25,37
2017-03-26,28
2017-03-27,63
2017-03-28,63
2017-03-29,53
2017-03-30,58
2017-03-31,55
2017-04-01,28
2017-04-02,56
2017-04-03,59
2017-04-04,57
2017-04-05,57
2017-04-06,52
2017-04-07,60
2017-04-08,40
2017-04-09,52
2017-04-10,93
2017-04-11,80
2017-04-12,70
2017-04-13,67
2017-04-14,35
2017-04-15,42
2017-04-16,32
2017-04-17,63
2017-04-18,50
