date,WFM
2014-03-16,19
2014-03-17,25
2014-03-18,25
2014-03-19,26
2014-03-20,24
2014-03-21,24
2014-03-22,14
2014-03-23,20
2014-03-24,23
2014-03-25,28
2014-03-26,24
2014-03-27,33
2014-03-28,32
2014-03-29,14
2014-03-30,13
2014-03-31,24
2014-04-01,29
2014-04-02,27
2014-04-03,25
2014-04-04,33
2014-04-05,20
2014-04-06,19
2014-04-07,29
2014-04-08,23
2014-04-09,29
2014-04-10,31
2014-04-11,27
2014-04-12,17
2014-04-13,14
2014-04-14,28
2014-04-15,29
2014-04-16,35
2014-04-17,32
2014-04-18,22
2014-04-19,17
2014-04-20,21
2014-04-21,28
2014-04-22,31
2014-04-23,25
2014-04-24,36
2014-04-25,31
2014-04-26,10
2014-04-27,20
2014-04-28,34
2014-04-29,37
2014-04-30,24
2014-05-01,26
2014-05-02,31
2014-05-03,14
2014-05-04,15
2014-05-05,32
2014-05-06,56
2014-05-07,100
2014-05-08,65
2014-05-09,60
2014-05-10,28
2014-05-11,19
2014-05-12,41
2014-05-13,50
2014-05-14,38
2014-05-15,36
2014-05-16,42
2014-05-17,28
2014-05-18,28
2014-05-19,40
2014-05-20,40
2014-05-21,38
2014-05-22,39
2014-05-23,27
2014-05-24,20
2014-05-25,23
2014-05-26,31
2014-05-27,36
2014-05-28,36
2014-05-29,44
2014-05-30,35
2014-05-31,20
2014-06-01,24
2014-06-02,33
2014-06-03,30
2014-06-04,36
2014-06-05,45
2014-06-06,47
2014-06-07,24
2014-06-08,25
2014-06-09,39
2014-06-10,38
2014-06-11,49
2014-06-12,44
2014-06-13,35
2014-06-14,16
2014-06-15,18
2014-06-16,38
2014-06-17,28
2014-06-18,32
2014-06-19,30
2014-06-20,36
2014-06-21,22
2014-06-22,26
2014-06-23,36
2014-06-24,38
2014-06-25,38
2014-06-26,46
2014-06-27,35
2014-06-28,17
2014-06-29,23
2014-06-30,27
2014-07-01,26
2014-07-02,34
2014-07-03,32
2014-07-04,27
2014-07-05,16
2014-07-06,20
2014-07-07,36
2014-07-08,40
2014-07-09,38
2014-07-10,39
2014-07-11,27
2014-07-12,21
2014-07-13,18
2014-07-14,41
2014-07-15,44
2014-07-16,37
2014-07-17,46
2014-07-18,36
2014-07-19,7
2014-07-20,11
2014-07-21,39
2014-07-22,43
2014-07-23,41
2014-07-24,35
2014-07-25,27
2014-07-26,29
2014-07-27,18
2014-07-28,45
2014-07-29,44
2014-07-30,86
2014-07-31,76
2014-08-01,44
2014-08-02,17
2014-08-03,20
2014-08-04,44
2014-08-05,51
2014-08-06,42
2014-08-07,45
2014-08-08,20
2014-08-09,20
2014-08-10,18
2014-08-11,32
2014-08-12,34
2014-08-13,31
2014-08-14,31
2014-08-15,26
2014-08-16,13
2014-08-17,13
2014-08-18,28
2014-08-19,37
2014-08-20,43
2014-08-21,29
2014-08-22,41
2014-08-23,26
2014-08-24,20
2014-08-25,42
2014-08-26,44
2014-08-27,32
2014-08-28,32
2014-08-29,33
2014-08-30,18
2014-08-31,27
2014-09-01,24
2014-09-02,33
2014-09-03,35
2014-09-04,28
2014-09-05,32
2014-09-06,13
2014-09-07,19
2014-09-08,32
2014-09-09,43
2014-09-10,36
2014-09-11,32
2014-09-12,33
2014-09-13,15
2014-09-14,25
2014-09-15,35
2014-09-16,34
2014-09-17,35
2014-09-18,40
2014-09-19,32
2014-09-20,21
2014-09-21,16
2014-09-22,28
2014-09-23,29
2014-09-24,34
2014-09-25,38
2014-09-26,27
2014-09-27,25
2014-09-28,17
2014-09-29,32
2014-09-30,33
2014-10-01,38
2014-10-02,39
2014-10-03,35
2014-10-04,22
2014-10-05,22
2014-10-06,37
2014-10-07,38
2014-10-08,38
2014-10-09,41
2014-10-10,34
2014-10-11,21
2014-10-12,18
2014-10-13,30
2014-10-14,44
2014-10-15,38
2014-10-16,38
2014-10-17,33
2014-10-18,26
2014-10-19,20
2014-10-20,43
2014-10-21,30
2014-10-22,34
2014-10-23,37
2014-10-24,30
2014-10-25,20
2014-10-26,17
2014-10-27,37
2014-10-28,30
2014-10-29,32
2014-10-30,36
2014-10-31,27
2014-11-01,27
2014-11-02,19
2014-11-03,40
2014-11-04,25
2014-11-05,56
2014-11-06,76
2014-11-07,61
2014-11-08,33
2014-11-09,21
2014-11-10,46
2014-11-11,53
2014-11-12,51
2014-11-13,41
2014-11-14,28
2014-11-15,22
2014-11-16,24
2014-11-17,34
2014-11-18,42
2014-11-19,32
2014-11-20,33
2014-11-21,32
2014-11-22,30
2014-11-23,19
2014-11-24,34
2014-11-25,33
2014-11-26,30
2014-11-27,28
2014-11-28,40
2014-11-29,18
2014-11-30,25
2014-12-01,40
