date,WFM
2017-01-19,57
2017-01-20,59
2017-01-21,40
2017-01-22,34
2017-01-23,67
2017-01-24,74
2017-01-25,65
2017-01-26,68
2017-01-27,64
2017-01-28,41
2017-01-29,42
2017-01-30,68
2017-01-31,63
2017-02-01,62
2017-02-02,61
2017-02-03,62
2017-02-04,46
2017-02-05,45
2017-02-06,74
2017-02-07,71
2017-02-08,100
2017-02-09,95
2017-02-10,65
2017-02-11,55
2017-02-12,43
2017-02-13,70
2017-02-14,61
2017-02-15,69
2017-02-16,82
2017-02-17,65
2017-02-18,55
2017-02-19,53
2017-02-20,61
2017-02-21,78
2017-02-22,64
2017-02-23,63
2017-02-24,66
2017-02-25,43
2017-02-26,50
2017-02-27,60
2017-02-28,58
2017-03-01,63
2017-03-02,74
2017-03-03,61
2017-03-04,39
2017-03-05,47
2017-03-06,62
2017-03-07,70
2017-03-08,65
2017-03-09,64
2017-03-10,64
2017-03-11,43
2017-03-12,49
2017-03-13,67
2017-03-14,72
2017-03-15,66
2017-03-16,63
2017-03-17,64
2017-03-18,56
2017-03-19,43
2017-03-20,67
2017-03-21,61
2017-03-22,80
2017-03-23,65
2017-03-24,68
2017-03-25,36
2017-03-26,34
2017-03-27,71
2017-03-28,64
2017-03-29,65
2017-03-30,66
2017-03-31,63
2017-04-01,43
