date,change
2010-08-24,47
2010-08-25,48
2010-08-26,47
2010-08-27,45
2010-08-28,43
2010-08-29,42
2010-08-30,46
2010-08-31,48
2010-09-01,48
2010-09-02,48
2010-09-03,46
2010-09-04,43
2010-09-05,43
2010-09-06,44
2010-09-07,50
2010-09-08,49
2010-09-09,49
2010-09-10,45
2010-09-11,45
2010-09-12,45
2010-09-13,48
2010-09-14,49
2010-09-15,49
2010-09-16,49
2010-09-17,47
2010-09-18,43
2010-09-19,45
2010-09-20,49
2010-09-21,49
2010-09-22,48
2010-09-23,48
2010-09-24,47
2010-09-25,43
2010-09-26,45
2010-09-27,49
2010-09-28,50
2010-09-29,49
2010-09-30,48
2010-10-01,46
2010-10-02,44
2010-10-03,44
2010-10-04,49
2010-10-05,51
2010-10-06,50
2010-10-07,49
2010-10-08,46
2010-10-09,42
2010-10-10,46
2010-10-11,49
2010-10-12,50
2010-10-13,49
2010-10-14,50
2010-10-15,48
2010-10-16,42
2010-10-17,45
2010-10-18,50
2010-10-19,50
2010-10-20,49
2010-10-21,50
2010-10-22,48
2010-10-23,46
2010-10-24,49
2010-10-25,52
2010-10-26,51
2010-10-27,52
2010-10-28,53
2010-10-29,52
2010-10-30,57
2010-10-31,73
2010-11-01,65
2010-11-02,55
2010-11-03,52
2010-11-04,51
2010-11-05,49
2010-11-06,49
2010-11-07,66
2010-11-08,50
2010-11-09,49
2010-11-10,48
2010-11-11,46
2010-11-12,45
2010-11-13,41
2010-11-14,43
2010-11-15,48
2010-11-16,48
2010-11-17,48
2010-11-18,48
2010-11-19,46
2010-11-20,40
2010-11-21,42
2010-11-22,45
2010-11-23,47
2010-11-24,45
2010-11-25,41
2010-11-26,40
2010-11-27,40
2010-11-28,42
2010-11-29,45
2010-11-30,47
2010-12-01,48
2010-12-02,47
2010-12-03,46
2010-12-04,42
2010-12-05,46
2010-12-06,54
2010-12-07,50
2010-12-08,50
2010-12-09,48
2010-12-10,45
2010-12-11,42
2010-12-12,42
2010-12-13,46
2010-12-14,47
2010-12-15,45
2010-12-16,45
2010-12-17,44
2010-12-18,40
2010-12-19,39
2010-12-20,45
2010-12-21,45
2010-12-22,45
2010-12-23,42
2010-12-24,38
2010-12-25,41
2010-12-26,42
2010-12-27,44
2010-12-28,45
2010-12-29,45
2010-12-30,47
2010-12-31,44
2011-01-01,41
2011-01-02,45
2011-01-03,47
2011-01-04,48
2011-01-05,50
2011-01-06,51
2011-01-07,47
2011-01-08,45
2011-01-09,45
2011-01-10,48
2011-01-11,47
2011-01-12,48
2011-01-13,57
2011-01-14,100
2011-01-15,63
2011-01-16,53
2011-01-17,53
2011-01-18,52
2011-01-19,51
2011-01-20,51
2011-01-21,48
2011-01-22,45
2011-01-23,45
2011-01-24,47
2011-01-25,49
2011-01-26,47
2011-01-27,49
2011-01-28,47
2011-01-29,42
2011-01-30,44
2011-01-31,49
2011-02-01,48
2011-02-02,47
2011-02-03,46
2011-02-04,46
2011-02-05,43
2011-02-06,43
2011-02-07,47
2011-02-08,50
2011-02-09,49
2011-02-10,48
2011-02-11,47
2011-02-12,42
2011-02-13,44
2011-02-14,46
2011-02-15,48
2011-02-16,48
2011-02-17,48
2011-02-18,46
2011-02-19,42
2011-02-20,42
2011-02-21,47
2011-02-22,47
2011-02-23,49
2011-02-24,48
2011-02-25,46
2011-02-26,43
2011-02-27,44
2011-02-28,48
2011-03-01,50
2011-03-02,50
2011-03-03,50
2011-03-04,48
2011-03-05,44
2011-03-06,47
2011-03-07,52
2011-03-08,51
2011-03-09,50
2011-03-10,49
2011-03-11,47
2011-03-12,46
2011-03-13,62
2011-03-14,48
2011-03-15,47
2011-03-16,48
2011-03-17,47
2011-03-18,45
2011-03-19,42
2011-03-20,45
2011-03-21,49
2011-03-22,50
2011-03-23,50
2011-03-24,50
2011-03-25,47
2011-03-26,50
2011-03-27,49
2011-03-28,49
2011-03-29,48
2011-03-30,49
2011-03-31,49
2011-04-01,48
2011-04-02,42
2011-04-03,43
2011-04-04,48
2011-04-05,49
2011-04-06,49
2011-04-07,48
2011-04-08,46
2011-04-09,41
2011-04-10,43
2011-04-11,48
2011-04-12,48
2011-04-13,48
2011-04-14,48
2011-04-15,45
2011-04-16,42
2011-04-17,42
2011-04-18,47
2011-04-19,49
2011-04-20,48
2011-04-21,48
2011-04-22,45
2011-04-23,43
2011-04-24,41
2011-04-25,48
2011-04-26,47
2011-04-27,49
2011-04-28,48
2011-04-29,45
2011-04-30,41
2011-05-01,42
2011-05-02,47
2011-05-03,49
2011-05-04,49
2011-05-05,48
2011-05-06,46
2011-05-07,41
2011-05-08,42
2011-05-09,49
2011-05-10,50
2011-05-11,48
