date,change
2014-07-24,70
2014-07-25,67
2014-07-26,61
2014-07-27,60
2014-07-28,70
2014-07-29,69
2014-07-30,70
2014-07-31,70
2014-08-01,66
2014-08-02,60
2014-08-03,62
2014-08-04,69
2014-08-05,71
2014-08-06,71
2014-08-07,72
2014-08-08,69
2014-08-09,60
2014-08-10,62
2014-08-11,69
2014-08-12,68
2014-08-13,68
2014-08-14,68
2014-08-15,67
2014-08-16,60
2014-08-17,62
2014-08-18,70
2014-08-19,70
2014-08-20,69
2014-08-21,69
2014-08-22,68
2014-08-23,62
2014-08-24,60
2014-08-25,68
2014-08-26,71
2014-08-27,72
2014-08-28,71
2014-08-29,65
2014-08-30,61
2014-08-31,60
2014-09-01,65
2014-09-02,72
2014-09-03,73
2014-09-04,73
2014-09-05,70
2014-09-06,64
2014-09-07,64
2014-09-08,72
2014-09-09,72
2014-09-10,74
2014-09-11,75
2014-09-12,72
2014-09-13,63
2014-09-14,66
2014-09-15,74
2014-09-16,75
2014-09-17,77
2014-09-18,76
2014-09-19,73
2014-09-20,66
2014-09-21,68
2014-09-22,78
2014-09-23,80
2014-09-24,76
2014-09-25,76
2014-09-26,73
2014-09-27,64
2014-09-28,67
2014-09-29,77
2014-09-30,76
2014-10-01,78
2014-10-02,73
2014-10-03,72
2014-10-04,67
2014-10-05,65
2014-10-06,75
2014-10-07,75
2014-10-08,75
2014-10-09,75
2014-10-10,71
2014-10-11,66
2014-10-12,70
2014-10-13,76
2014-10-14,75
2014-10-15,76
2014-10-16,74
2014-10-17,73
2014-10-18,65
2014-10-19,70
2014-10-20,79
2014-10-21,75
2014-10-22,75
2014-10-23,74
2014-10-24,72
2014-10-25,79
2014-10-26,85
2014-10-27,81
2014-10-28,78
2014-10-29,78
2014-10-30,74
2014-10-31,71
2014-11-01,72
2014-11-02,95
2014-11-03,79
2014-11-04,75
2014-11-05,74
2014-11-06,74
2014-11-07,71
2014-11-08,63
2014-11-09,64
2014-11-10,72
2014-11-11,71
2014-11-12,73
2014-11-13,74
2014-11-14,70
2014-11-15,63
2014-11-16,63
2014-11-17,73
2014-11-18,74
2014-11-19,74
2014-11-20,74
2014-11-21,70
2014-11-22,63
2014-11-23,62
2014-11-24,71
2014-11-25,70
2014-11-26,66
2014-11-27,58
2014-11-28,58
2014-11-29,60
2014-11-30,62
2014-12-01,69
2014-12-02,71
2014-12-03,73
2014-12-04,71
2014-12-05,69
2014-12-06,61
2014-12-07,61
2014-12-08,71
2014-12-09,70
2014-12-10,72
2014-12-11,70
2014-12-12,67
2014-12-13,60
2014-12-14,60
2014-12-15,68
2014-12-16,70
2014-12-17,69
2014-12-18,68
2014-12-19,64
2014-12-20,57
2014-12-21,57
2014-12-22,64
2014-12-23,64
2014-12-24,59
2014-12-25,63
2014-12-26,64
2014-12-27,63
2014-12-28,62
2014-12-29,69
2014-12-30,69
2014-12-31,66
2015-01-01,59
2015-01-02,68
2015-01-03,65
2015-01-04,65
2015-01-05,74
2015-01-06,74
2015-01-07,71
2015-01-08,72
2015-01-09,70
2015-01-10,64
2015-01-11,63
2015-01-12,72
2015-01-13,72
2015-01-14,73
2015-01-15,76
2015-01-16,75
2015-01-17,65
2015-01-18,63
2015-01-19,72
2015-01-20,74
2015-01-21,75
2015-01-22,75
2015-01-23,71
2015-01-24,63
2015-01-25,64
2015-01-26,71
2015-01-27,73
2015-01-28,76
2015-01-29,73
2015-01-30,71
2015-01-31,64
2015-02-01,63
2015-02-02,71
2015-02-03,74
2015-02-04,76
2015-02-05,74
2015-02-06,72
2015-02-07,64
2015-02-08,66
2015-02-09,74
2015-02-10,75
2015-02-11,73
2015-02-12,72
2015-02-13,70
2015-02-14,59
2015-02-15,62
2015-02-16,72
2015-02-17,73
2015-02-18,73
2015-02-19,72
2015-02-20,71
2015-02-21,65
2015-02-22,65
2015-02-23,73
2015-02-24,74
2015-02-25,77
2015-02-26,75
2015-02-27,76
2015-02-28,69
2015-03-01,72
2015-03-02,78
2015-03-03,79
2015-03-04,77
2015-03-05,76
2015-03-06,75
2015-03-07,75
2015-03-08,100
2015-03-09,81
2015-03-10,78
2015-03-11,76
2015-03-12,75
2015-03-13,71
2015-03-14,64
2015-03-15,65
2015-03-16,75
2015-03-17,75
2015-03-18,74
2015-03-19,73
2015-03-20,69
2015-03-21,65
2015-03-22,66
2015-03-23,76
2015-03-24,75
2015-03-25,73
2015-03-26,72
2015-03-27,71
2015-03-28,72
2015-03-29,70
2015-03-30,75
2015-03-31,74
2015-04-01,73
2015-04-02,73
2015-04-03,70
2015-04-04,62
2015-04-05,60
2015-04-06,70
2015-04-07,74
2015-04-08,75
2015-04-09,73
2015-04-10,72
