date,change
2012-06-04,61
2012-06-05,63
2012-06-06,66
2012-06-07,65
2012-06-08,62
2012-06-09,56
2012-06-10,57
2012-06-11,62
2012-06-12,65
2012-06-13,65
2012-06-14,65
2012-06-15,63
2012-06-16,56
2012-06-17,57
2012-06-18,63
2012-06-19,65
2012-06-20,65
2012-06-21,64
2012-06-22,63
2012-06-23,57
2012-06-24,57
2012-06-25,64
2012-06-26,67
2012-06-27,65
2012-06-28,64
2012-06-29,62
2012-06-30,58
2012-07-01,57
2012-07-02,63
2012-07-03,64
2012-07-04,58
2012-07-05,61
2012-07-06,63
2012-07-07,59
2012-07-08,58
2012-07-09,64
2012-07-10,67
2012-07-11,67
2012-07-12,66
2012-07-13,65
2012-07-14,58
2012-07-15,61
2012-07-16,67
2012-07-17,66
2012-07-18,68
2012-07-19,66
2012-07-20,64
2012-07-21,60
2012-07-22,59
2012-07-23,67
2012-07-24,67
2012-07-25,67
2012-07-26,68
2012-07-27,65
2012-07-28,59
2012-07-29,61
2012-07-30,65
2012-07-31,68
2012-08-01,71
2012-08-02,71
2012-08-03,67
2012-08-04,60
2012-08-05,61
2012-08-06,67
2012-08-07,68
2012-08-08,67
2012-08-09,67
2012-08-10,66
2012-08-11,61
2012-08-12,60
2012-08-13,68
2012-08-14,69
2012-08-15,69
2012-08-16,71
2012-08-17,67
2012-08-18,60
2012-08-19,62
2012-08-20,68
2012-08-21,69
2012-08-22,69
2012-08-23,71
2012-08-24,69
2012-08-25,63
2012-08-26,62
2012-08-27,68
2012-08-28,69
2012-08-29,73
2012-08-30,69
2012-08-31,66
2012-09-01,62
2012-09-02,62
2012-09-03,65
2012-09-04,70
2012-09-05,72
2012-09-06,72
2012-09-07,70
2012-09-08,62
2012-09-09,66
2012-09-10,71
2012-09-11,73
2012-09-12,72
2012-09-13,72
2012-09-14,68
2012-09-15,63
2012-09-16,64
2012-09-17,72
2012-09-18,73
2012-09-19,73
2012-09-20,74
2012-09-21,74
2012-09-22,67
2012-09-23,69
2012-09-24,80
2012-09-25,75
2012-09-26,75
2012-09-27,74
2012-09-28,71
2012-09-29,67
2012-09-30,69
2012-10-01,77
2012-10-02,75
2012-10-03,75
2012-10-04,71
2012-10-05,68
2012-10-06,65
2012-10-07,65
2012-10-08,72
2012-10-09,74
2012-10-10,72
2012-10-11,73
2012-10-12,69
2012-10-13,61
2012-10-14,66
2012-10-15,73
2012-10-16,74
2012-10-17,72
2012-10-18,73
2012-10-19,69
2012-10-20,63
2012-10-21,68
2012-10-22,74
2012-10-23,73
2012-10-24,73
2012-10-25,74
2012-10-26,72
2012-10-27,78
2012-10-28,82
2012-10-29,75
2012-10-30,71
2012-10-31,71
2012-11-01,73
2012-11-02,75
2012-11-03,73
2012-11-04,100
2012-11-05,73
2012-11-06,72
2012-11-07,68
2012-11-08,69
2012-11-09,67
2012-11-10,59
2012-11-11,61
2012-11-12,68
2012-11-13,68
2012-11-14,69
2012-11-15,69
2012-11-16,67
2012-11-17,59
2012-11-18,60
2012-11-19,69
2012-11-20,69
2012-11-21,65
2012-11-22,58
2012-11-23,57
2012-11-24,60
2012-11-25,61
2012-11-26,67
2012-11-27,69
2012-11-28,70
2012-11-29,68
2012-11-30,66
2012-12-01,59
2012-12-02,62
2012-12-03,68
2012-12-04,68
2012-12-05,69
2012-12-06,68
2012-12-07,67
2012-12-08,59
2012-12-09,59
2012-12-10,67
2012-12-11,70
2012-12-12,70
2012-12-13,67
2012-12-14,62
2012-12-15,57
2012-12-16,59
2012-12-17,64
2012-12-18,65
2012-12-19,65
2012-12-20,63
2012-12-21,60
2012-12-22,56
2012-12-23,55
2012-12-24,56
2012-12-25,64
2012-12-26,66
2012-12-27,65
2012-12-28,65
2012-12-29,62
2012-12-30,62
2012-12-31,63
2013-01-01,61
2013-01-02,69
2013-01-03,69
2013-01-04,69
2013-01-05,64
2013-01-06,64
2013-01-07,70
2013-01-08,70
2013-01-09,70
2013-01-10,71
2013-01-11,68
2013-01-12,64
2013-01-13,64
2013-01-14,72
2013-01-15,69
2013-01-16,68
2013-01-17,70
2013-01-18,66
2013-01-19,62
2013-01-20,63
2013-01-21,67
2013-01-22,70
2013-01-23,68
2013-01-24,70
2013-01-25,67
2013-01-26,61
2013-01-27,63
2013-01-28,70
2013-01-29,72
2013-01-30,71
2013-01-31,71
2013-02-01,69
2013-02-02,63
2013-02-03,64
2013-02-04,68
2013-02-05,73
2013-02-06,73
2013-02-07,72
2013-02-08,68
2013-02-09,62
2013-02-10,66
2013-02-11,70
2013-02-12,72
2013-02-13,70
2013-02-14,67
2013-02-15,65
2013-02-16,63
2013-02-17,64
2013-02-18,70
2013-02-19,70
