date,change
2016-05-04,73
2016-05-05,74
2016-05-06,72
2016-05-07,60
2016-05-08,59
2016-05-09,71
2016-05-10,73
2016-05-11,74
2016-05-12,73
2016-05-13,70
2016-05-14,60
2016-05-15,60
2016-05-16,71
2016-05-17,74
2016-05-18,74
2016-05-19,73
2016-05-20,69
2016-05-21,61
2016-05-22,61
2016-05-23,71
2016-05-24,73
2016-05-25,71
2016-05-26,71
2016-05-27,68
2016-05-28,58
2016-05-29,57
2016-05-30,63
2016-05-31,72
2016-06-01,72
2016-06-02,71
2016-06-03,70
2016-06-04,63
2016-06-05,60
2016-06-06,70
2016-06-07,71
2016-06-08,73
2016-06-09,71
2016-06-10,69
2016-06-11,59
2016-06-12,58
2016-06-13,69
2016-06-14,70
2016-06-15,71
2016-06-16,70
2016-06-17,68
2016-06-18,60
2016-06-19,59
2016-06-20,70
2016-06-21,72
2016-06-22,72
2016-06-23,72
2016-06-24,72
2016-06-25,62
2016-06-26,60
2016-06-27,70
2016-06-28,74
2016-06-29,71
2016-06-30,72
2016-07-01,68
2016-07-02,61
2016-07-03,59
2016-07-04,62
2016-07-05,70
2016-07-06,73
2016-07-07,74
2016-07-08,72
2016-07-09,66
2016-07-10,64
2016-07-11,75
2016-07-12,76
2016-07-13,78
2016-07-14,77
2016-07-15,72
2016-07-16,63
2016-07-17,64
2016-07-18,73
2016-07-19,74
2016-07-20,74
2016-07-21,73
2016-07-22,69
2016-07-23,63
2016-07-24,63
2016-07-25,74
2016-07-26,74
2016-07-27,75
2016-07-28,73
2016-07-29,72
2016-07-30,65
2016-07-31,63
2016-08-01,72
2016-08-02,74
2016-08-03,75
2016-08-04,74
2016-08-05,69
2016-08-06,63
2016-08-07,60
2016-08-08,71
2016-08-09,72
2016-08-10,71
2016-08-11,73
2016-08-12,67
2016-08-13,61
2016-08-14,61
2016-08-15,72
2016-08-16,71
2016-08-17,72
2016-08-18,70
2016-08-19,70
2016-08-20,61
2016-08-21,63
2016-08-22,73
2016-08-23,74
2016-08-24,74
2016-08-25,75
2016-08-26,72
2016-08-27,63
2016-08-28,64
2016-08-29,72
2016-08-30,76
2016-08-31,76
2016-09-01,74
2016-09-02,71
2016-09-03,63
2016-09-04,62
2016-09-05,66
2016-09-06,75
2016-09-07,77
2016-09-08,77
2016-09-09,73
2016-09-10,63
2016-09-11,65
2016-09-12,76
2016-09-13,77
2016-09-14,79
2016-09-15,77
2016-09-16,75
2016-09-17,67
2016-09-18,69
2016-09-19,79
2016-09-20,78
2016-09-21,80
2016-09-22,81
2016-09-23,80
2016-09-24,68
2016-09-25,69
2016-09-26,80
2016-09-27,80
2016-09-28,80
2016-09-29,79
2016-09-30,77
2016-10-01,68
2016-10-02,67
2016-10-03,78
2016-10-04,79
2016-10-05,79
2016-10-06,77
2016-10-07,72
2016-10-08,66
2016-10-09,66
2016-10-10,74
2016-10-11,78
2016-10-12,80
2016-10-13,78
2016-10-14,74
2016-10-15,66
2016-10-16,69
2016-10-17,81
2016-10-18,80
2016-10-19,80
2016-10-20,78
2016-10-21,76
2016-10-22,68
2016-10-23,71
2016-10-24,85
2016-10-25,85
2016-10-26,83
2016-10-27,81
2016-10-28,79
2016-10-29,78
2016-10-30,91
2016-10-31,87
2016-11-01,84
2016-11-02,85
2016-11-03,80
2016-11-04,78
2016-11-05,74
2016-11-06,100
2016-11-07,80
2016-11-08,79
2016-11-09,76
2016-11-10,81
2016-11-11,76
2016-11-12,67
2016-11-13,66
2016-11-14,78
2016-11-15,80
2016-11-16,79
2016-11-17,78
2016-11-18,72
2016-11-19,64
2016-11-20,63
2016-11-21,74
2016-11-22,75
2016-11-23,70
2016-11-24,61
2016-11-25,62
2016-11-26,62
2016-11-27,62
2016-11-28,73
2016-11-29,76
2016-11-30,77
2016-12-01,75
2016-12-02,71
2016-12-03,63
2016-12-04,64
2016-12-05,75
2016-12-06,74
2016-12-07,76
2016-12-08,75
2016-12-09,70
2016-12-10,61
2016-12-11,62
2016-12-12,72
2016-12-13,74
2016-12-14,75
2016-12-15,75
2016-12-16,71
2016-12-17,63
2016-12-18,60
2016-12-19,69
2016-12-20,71
2016-12-21,71
2016-12-22,67
2016-12-23,61
2016-12-24,56
2016-12-25,60
2016-12-26,65
2016-12-27,68
2016-12-28,71
2016-12-29,69
2016-12-30,67
2016-12-31,62
2017-01-01,58
2017-01-02,69
2017-01-03,75
2017-01-04,76
2017-01-05,76
2017-01-06,74
2017-01-07,64
2017-01-08,65
2017-01-09,75
2017-01-10,77
2017-01-11,76
2017-01-12,76
2017-01-13,72
2017-01-14,64
2017-01-15,64
2017-01-16,71
2017-01-17,77
2017-01-18,77
2017-01-19,77
