date,change
2011-01-01,40
2011-01-02,44
2011-01-03,47
2011-01-04,49
2011-01-05,50
2011-01-06,49
2011-01-07,48
2011-01-08,44
2011-01-09,45
2011-01-10,47
2011-01-11,47
2011-01-12,47
2011-01-13,57
2011-01-14,100
2011-01-15,63
2011-01-16,53
2011-01-17,53
2011-01-18,51
2011-01-19,52
2011-01-20,50
2011-01-21,48
2011-01-22,44
2011-01-23,44
2011-01-24,48
2011-01-25,49
2011-01-26,48
2011-01-27,47
2011-01-28,47
2011-01-29,42
2011-01-30,44
2011-01-31,49
2011-02-01,48
2011-02-02,47
2011-02-03,46
2011-02-04,46
2011-02-05,42
2011-02-06,43
2011-02-07,47
2011-02-08,49
2011-02-09,48
2011-02-10,49
2011-02-11,46
2011-02-12,43
2011-02-13,44
2011-02-14,46
2011-02-15,48
2011-02-16,48
2011-02-17,48
2011-02-18,47
2011-02-19,42
2011-02-20,43
2011-02-21,46
2011-02-22,47
2011-02-23,48
2011-02-24,47
2011-02-25,47
2011-02-26,43
2011-02-27,44
2011-02-28,49
2011-03-01,48
2011-03-02,50
2011-03-03,50
2011-03-04,48
2011-03-05,43
2011-03-06,47
2011-03-07,51
2011-03-08,51
2011-03-09,51
2011-03-10,49
2011-03-11,46
2011-03-12,45
2011-03-13,61
2011-03-14,47
2011-03-15,47
2011-03-16,47
2011-03-17,46
2011-03-18,44
2011-03-19,41
2011-03-20,44
2011-03-21,49
2011-03-22,49
2011-03-23,49
2011-03-24,49
2011-03-25,47
2011-03-26,50
2011-03-27,48
2011-03-28,48
2011-03-29,48
2011-03-30,48
2011-03-31,47
2011-04-01,47
2011-04-02,43
2011-04-03,43
2011-04-04,48
2011-04-05,49
2011-04-06,49
2011-04-07,47
2011-04-08,46
2011-04-09,41
2011-04-10,43
2011-04-11,46
2011-04-12,48
2011-04-13,48
2011-04-14,47
2011-04-15,45
2011-04-16,41
2011-04-17,43
2011-04-18,47
2011-04-19,48
2011-04-20,48
2011-04-21,47
2011-04-22,45
2011-04-23,43
2011-04-24,41
2011-04-25,48
2011-04-26,47
2011-04-27,47
2011-04-28,47
2011-04-29,44
2011-04-30,42
2011-05-01,43
2011-05-02,47
2011-05-03,49
2011-05-04,48
2011-05-05,48
2011-05-06,45
2011-05-07,42
2011-05-08,41
2011-05-09,48
2011-05-10,48
2011-05-11,47
2011-05-12,47
2011-05-13,45
2011-05-14,41
2011-05-15,47
2011-05-16,48
2011-05-17,48
2011-05-18,48
2011-05-19,49
2011-05-20,45
2011-05-21,41
2011-05-22,42
2011-05-23,46
2011-05-24,47
2011-05-25,48
2011-05-26,47
2011-05-27,45
2011-05-28,40
2011-05-29,40
2011-05-30,42
2011-05-31,47
2011-06-01,48
2011-06-02,48
2011-06-03,47
2011-06-04,41
2011-06-05,41
2011-06-06,46
2011-06-07,49
2011-06-08,47
2011-06-09,47
2011-06-10,45
2011-06-11,42
2011-06-12,44
2011-06-13,47
2011-06-14,47
2011-06-15,46
2011-06-16,47
2011-06-17,45
2011-06-18,43
2011-06-19,42
2011-06-20,46
2011-06-21,47
2011-06-22,48
2011-06-23,49
2011-06-24,48
2011-06-25,44
2011-06-26,43
2011-06-27,48
2011-06-28,48
2011-06-29,49
2011-06-30,48
2011-07-01,45
2011-07-02,41
2011-07-03,40
2011-07-04,42
2011-07-05,47
2011-07-06,49
2011-07-07,49
2011-07-08,48
2011-07-09,45
2011-07-10,45
2011-07-11,48
2011-07-12,50
2011-07-13,49
2011-07-14,48
2011-07-15,47
2011-07-16,44
2011-07-17,44
2011-07-18,49
2011-07-19,49
2011-07-20,51
2011-07-21,49
2011-07-22,48
2011-07-23,43
2011-07-24,43
2011-07-25,50
2011-07-26,50
2011-07-27,49
2011-07-28,49
2011-07-29,48
2011-07-30,45
2011-07-31,44
2011-08-01,50
2011-08-02,52
2011-08-03,51
2011-08-04,50
2011-08-05,51
2011-08-06,47
2011-08-07,46
2011-08-08,51
2011-08-09,50
2011-08-10,50
2011-08-11,50
2011-08-12,48
2011-08-13,45
2011-08-14,46
2011-08-15,51
2011-08-16,49
2011-08-17,50
2011-08-18,50
2011-08-19,47
2011-08-20,45
2011-08-21,44
2011-08-22,48
2011-08-23,47
2011-08-24,48
2011-08-25,48
2011-08-26,46
2011-08-27,42
2011-08-28,43
2011-08-29,46
2011-08-30,47
2011-08-31,48
2011-09-01,49
2011-09-02,46
2011-09-03,42
2011-09-04,43
2011-09-05,45
2011-09-06,49
2011-09-07,48
2011-09-08,50
2011-09-09,48
2011-09-10,44
2011-09-11,47
2011-09-12,50
2011-09-13,50
2011-09-14,51
2011-09-15,50
2011-09-16,48
2011-09-17,44
2011-09-18,45
