date,LLTC
2014-03-16,0
2014-03-17,0
2014-03-18,0
2014-03-19,0
2014-03-20,25
2014-03-21,52
2014-03-22,0
2014-03-23,0
2014-03-24,65
2014-03-25,16
2014-03-26,16
2014-03-27,17
2014-03-28,34
2014-03-29,20
2014-03-30,0
2014-03-31,16
2014-04-01,16
2014-04-02,33
2014-04-03,50
2014-04-04,35
2014-04-05,0
2014-04-06,19
2014-04-07,24
2014-04-08,16
2014-04-09,17
2014-04-10,17
2014-04-11,0
2014-04-12,20
2014-04-13,20
2014-04-14,17
2014-04-15,50
2014-04-16,51
2014-04-17,53
2014-04-18,0
2014-04-19,21
2014-04-20,21
2014-04-21,27
2014-04-22,0
2014-04-23,50
2014-04-24,25
2014-04-25,35
2014-04-26,40
2014-04-27,0
2014-04-28,16
2014-04-29,16
2014-04-30,25
2014-05-01,0
2014-05-02,0
2014-05-03,20
2014-05-04,0
2014-05-05,17
2014-05-06,16
2014-05-07,33
2014-05-08,33
2014-05-09,43
2014-05-10,0
2014-05-11,0
2014-05-12,32
2014-05-13,57
2014-05-14,32
2014-05-15,41
2014-05-16,0
2014-05-17,20
2014-05-18,20
2014-05-19,33
2014-05-20,16
2014-05-21,0
2014-05-22,18
2014-05-23,38
2014-05-24,44
2014-05-25,22
2014-05-26,37
2014-05-27,27
2014-05-28,18
2014-05-29,18
2014-05-30,19
2014-05-31,22
2014-06-01,22
2014-06-02,72
2014-06-03,18
2014-06-04,54
2014-06-05,18
2014-06-06,19
2014-06-07,23
2014-06-08,0
2014-06-09,47
2014-06-10,18
2014-06-11,18
2014-06-12,18
2014-06-13,39
2014-06-14,0
2014-06-15,22
2014-06-16,0
2014-06-17,18
2014-06-18,18
2014-06-19,28
2014-06-20,0
2014-06-21,0
2014-06-22,23
2014-06-23,46
2014-06-24,37
2014-06-25,18
2014-06-26,37
2014-06-27,19
2014-06-28,0
2014-06-29,22
2014-06-30,37
2014-07-01,18
2014-07-02,37
2014-07-03,0
2014-07-04,20
2014-07-05,23
2014-07-06,0
2014-07-07,36
2014-07-08,18
2014-07-09,0
2014-07-10,37
2014-07-11,19
2014-07-12,0
2014-07-13,0
2014-07-14,38
2014-07-15,56
2014-07-16,19
2014-07-17,38
2014-07-18,20
2014-07-19,23
2014-07-20,0
2014-07-21,18
2014-07-22,37
2014-07-23,76
2014-07-24,37
2014-07-25,49
2014-07-26,46
2014-07-27,22
2014-07-28,28
2014-07-29,0
2014-07-30,0
2014-07-31,28
2014-08-01,20
2014-08-02,22
2014-08-03,23
2014-08-04,74
2014-08-05,74
2014-08-06,37
2014-08-07,27
2014-08-08,100
2014-08-09,22
2014-08-10,0
2014-08-11,28
2014-08-12,18
2014-08-13,55
2014-08-14,19
2014-08-15,20
2014-08-16,0
2014-08-17,22
2014-08-18,18
2014-08-19,27
2014-08-20,0
2014-08-21,19
2014-08-22,38
2014-08-23,22
2014-08-24,0
2014-08-25,54
2014-08-26,0
2014-08-27,18
2014-08-28,36
2014-08-29,19
2014-08-30,0
2014-08-31,0
2014-09-01,36
2014-09-02,70
2014-09-03,26
2014-09-04,17
2014-09-05,28
2014-09-06,21
2014-09-07,21
2014-09-08,35
2014-09-09,34
2014-09-10,17
2014-09-11,17
2014-09-12,36
2014-09-13,21
2014-09-14,20
2014-09-15,17
2014-09-16,17
2014-09-17,17
2014-09-18,26
2014-09-19,36
2014-09-20,0
2014-09-21,0
2014-09-22,26
2014-09-23,51
2014-09-24,17
2014-09-25,18
2014-09-26,37
2014-09-27,0
2014-09-28,21
2014-09-29,0
2014-09-30,17
2014-10-01,17
2014-10-02,35
2014-10-03,37
2014-10-04,42
2014-10-05,0
2014-10-06,34
2014-10-07,0
2014-10-08,51
2014-10-09,17
2014-10-10,18
2014-10-11,21
2014-10-12,20
2014-10-13,26
2014-10-14,42
2014-10-15,60
2014-10-16,43
2014-10-17,36
2014-10-18,20
2014-10-19,0
2014-10-20,17
2014-10-21,17
2014-10-22,17
2014-10-23,44
2014-10-24,36
2014-10-25,21
2014-10-26,0
2014-10-27,17
2014-10-28,17
2014-10-29,17
2014-10-30,17
2014-10-31,18
2014-11-01,21
2014-11-02,20
2014-11-03,17
2014-11-04,25
2014-11-05,17
2014-11-06,17
2014-11-07,18
2014-11-08,0
2014-11-09,0
2014-11-10,34
2014-11-11,0
2014-11-12,33
2014-11-13,25
2014-11-14,17
2014-11-15,0
2014-11-16,19
2014-11-17,16
2014-11-18,18
2014-11-19,0
2014-11-20,0
2014-11-21,17
2014-11-22,20
2014-11-23,19
2014-11-24,16
2014-11-25,0
2014-11-26,17
2014-11-27,0
2014-11-28,35
2014-11-29,0
2014-11-30,0
2014-12-01,32
