date,LLTC
2016-08-02,90
2016-08-03,91
2016-08-04,48
2016-08-05,42
2016-08-06,24
2016-08-07,32
2016-08-08,60
2016-08-09,67
2016-08-10,61
2016-08-11,75
2016-08-12,56
2016-08-13,24
2016-08-14,24
2016-08-15,64
2016-08-16,47
2016-08-17,27
2016-08-18,100
2016-08-19,49
2016-08-20,39
2016-08-21,23
2016-08-22,80
2016-08-23,54
2016-08-24,50
2016-08-25,20
2016-08-26,21
2016-08-27,24
2016-08-28,46
2016-08-29,39
2016-08-30,20
2016-08-31,39
2016-09-01,33
2016-09-02,27
2016-09-03,23
2016-09-04,23
2016-09-05,30
2016-09-06,39
2016-09-07,40
2016-09-08,39
2016-09-09,33
2016-09-10,23
2016-09-11,22
2016-09-12,58
2016-09-13,45
2016-09-14,39
2016-09-15,33
2016-09-16,41
2016-09-17,0
2016-09-18,0
2016-09-19,45
2016-09-20,31
2016-09-21,32
2016-09-22,45
2016-09-23,40
2016-09-24,23
2016-09-25,44
2016-09-26,32
2016-09-27,95
2016-09-28,58
2016-09-29,45
2016-09-30,21
2016-10-01,30
2016-10-02,21
2016-10-03,19
2016-10-04,37
2016-10-05,28
2016-10-06,19
2016-10-07,39
2016-10-08,37
2016-10-09,22
2016-10-10,39
2016-10-11,38
2016-10-12,28
2016-10-13,38
2016-10-14,20
2016-10-15,44
2016-10-16,32
2016-10-17,25
2016-10-18,44
2016-10-19,31
2016-10-20,28
2016-10-21,51
2016-10-22,22
2016-10-23,21
2016-10-24,29
2016-10-25,25
2016-10-26,28
2016-10-27,38
2016-10-28,20
2016-10-29,22
2016-10-30,43
2016-10-31,19
2016-11-01,29
2016-11-02,19
2016-11-03,56
2016-11-04,19
2016-11-05,32
2016-11-06,31
2016-11-07,18
2016-11-08,43
2016-11-09,40
2016-11-10,31
2016-11-11,40
2016-11-12,21
2016-11-13,0
2016-11-14,18
2016-11-15,56
2016-11-16,31
2016-11-17,38
2016-11-18,19
2016-11-19,43
2016-11-20,42
2016-11-21,30
2016-11-22,36
2016-11-23,56
2016-11-24,20
2016-11-25,19
2016-11-26,21
2016-11-27,21
2016-11-28,18
2016-11-29,37
2016-11-30,31
2016-12-01,19
2016-12-02,44
2016-12-03,21
2016-12-04,42
2016-12-05,27
2016-12-06,43
2016-12-07,18
2016-12-08,56
2016-12-09,46
2016-12-10,25
2016-12-11,22
2016-12-12,18
2016-12-13,30
2016-12-14,55
2016-12-15,19
2016-12-16,0
2016-12-17,0
2016-12-18,22
2016-12-19,31
2016-12-20,28
2016-12-21,29
2016-12-22,46
2016-12-23,31
2016-12-24,0
2016-12-25,24
2016-12-26,0
2016-12-27,0
2016-12-28,40
2016-12-29,20
2016-12-30,21
2016-12-31,0
2017-01-01,23
2017-01-02,19
2017-01-03,31
2017-01-04,24
2017-01-05,43
2017-01-06,29
2017-01-07,0
2017-01-08,20
2017-01-09,36
2017-01-10,36
2017-01-11,27
2017-01-12,27
2017-01-13,25
2017-01-14,21
2017-01-15,21
2017-01-16,18
2017-01-17,53
2017-01-18,54
2017-01-19,48
2017-01-20,46
2017-01-21,0
2017-01-22,0
2017-01-23,36
2017-01-24,36
2017-01-25,65
2017-01-26,27
2017-01-27,38
2017-01-28,35
2017-01-29,21
2017-01-30,18
2017-01-31,35
2017-02-01,35
2017-02-02,26
2017-02-03,37
2017-02-04,61
2017-02-05,20
2017-02-06,35
2017-02-07,44
2017-02-08,17
2017-02-09,30
2017-02-10,18
2017-02-11,21
2017-02-12,20
2017-02-13,41
2017-02-14,36
2017-02-15,36
2017-02-16,36
2017-02-17,31
2017-02-18,21
2017-02-19,20
2017-02-20,42
2017-02-21,35
2017-02-22,47
2017-02-23,35
2017-02-24,47
2017-02-25,0
2017-02-26,34
2017-02-27,36
2017-02-28,45
2017-03-01,35
2017-03-02,29
2017-03-03,37
2017-03-04,40
2017-03-05,0
2017-03-06,58
2017-03-07,52
2017-03-08,29
2017-03-09,27
2017-03-10,37
2017-03-11,20
2017-03-12,30
2017-03-13,65
2017-03-14,41
2017-03-15,41
2017-03-16,59
2017-03-17,43
2017-03-18,41
2017-03-19,0
2017-03-20,47
2017-03-21,35
2017-03-22,35
2017-03-23,30
2017-03-24,25
2017-03-25,41
2017-03-26,41
2017-03-27,35
2017-03-28,29
2017-03-29,53
2017-03-30,18
2017-03-31,47
2017-04-01,21
2017-04-02,0
2017-04-03,36
2017-04-04,18
2017-04-05,26
2017-04-06,35
2017-04-07,31
2017-04-08,21
2017-04-09,21
2017-04-10,46
2017-04-11,37
2017-04-12,18
2017-04-13,47
2017-04-14,20
2017-04-15,21
2017-04-16,64
2017-04-17,19
2017-04-18,36
