date,LLTC,isPartial
2017-01-19,30,False
2017-01-20,0,False
2017-01-21,0,False
2017-01-22,0,False
2017-01-23,59,False
2017-01-24,30,False
2017-01-25,60,False
2017-01-26,60,False
2017-01-27,32,False
2017-01-28,0,False
2017-01-29,0,False
2017-01-30,0,False
2017-01-31,60,False
2017-02-01,58,False
2017-02-02,30,False
2017-02-03,32,False
2017-02-04,68,False
2017-02-05,0,False
2017-02-06,30,False
2017-02-07,59,False
2017-02-08,60,False
2017-02-09,30,False
2017-02-10,0,False
2017-02-11,0,False
2017-02-12,0,False
2017-02-13,29,False
2017-02-14,30,False
2017-02-15,0,False
2017-02-16,59,False
2017-02-17,59,False
2017-02-18,34,False
2017-02-19,0,False
2017-02-20,30,False
2017-02-21,0,False
2017-02-22,59,False
2017-02-23,0,False
2017-02-24,62,False
2017-02-25,34,False
2017-02-26,0,False
2017-02-27,58,False
2017-02-28,59,False
2017-03-01,0,False
2017-03-02,57,False
2017-03-03,60,False
2017-03-04,0,False
2017-03-05,0,False
2017-03-06,0,False
2017-03-07,84,False
2017-03-08,29,False
2017-03-09,58,False
2017-03-10,31,False
2017-03-11,100,False
2017-03-12,32,False
2017-03-13,27,False
2017-03-14,0,False
2017-03-15,89,False
2017-03-16,60,False
2017-03-17,0,False
2017-03-18,34,False
2017-03-19,0,False
2017-03-20,29,False
2017-03-21,0,False
2017-03-22,0,False
2017-03-23,0,False
2017-03-24,62,False
2017-03-25,35,False
2017-03-26,0,False
2017-03-27,29,False
2017-03-28,30,False
2017-03-29,0,False
2017-03-30,0,False
2017-03-31,31,False
2017-04-01,0,False
2017-04-02,0,False
2017-04-03,30,False
2017-04-04,29,False
2017-04-05,0,False
2017-04-06,0,False
2017-04-07,31,False
2017-04-08,0,False
2017-04-09,0,False
2017-04-10,0,False
2017-04-11,0,False
2017-04-12,0,False
2017-04-13,32,False
2017-04-14,34,False
2017-04-15,35,False
2017-04-16,35,False
2017-04-17,0,False
2017-04-18,59,False
2017-04-19,0,False
2017-04-20,0,False
2017-04-21,0,False
2017-04-22,0,False
2017-04-23,33,False
2017-04-24,0,False
2017-04-25,0,False
2017-04-26,0,False
2017-04-27,30,False
2017-04-28,31,False
2017-04-29,0,False
2017-04-30,35,False
2017-05-01,64,False
2017-05-02,29,False
2017-05-03,0,False
2017-05-04,0,False
2017-05-05,0,False
2017-05-06,0,False
2017-05-07,0,False
2017-05-08,29,False
2017-05-09,0,False
2017-05-10,0,False
2017-05-11,0,False
2017-05-12,63,False
2017-05-13,35,False
2017-05-14,34,False
2017-05-15,0,False
2017-05-16,0,False
2017-05-17,0,False
2017-05-18,31,False
2017-05-19,33,False
2017-05-20,0,False
2017-05-21,0,False
2017-05-22,32,False
2017-05-23,0,False
2017-05-24,64,False
2017-05-25,33,False
2017-05-26,0,False
2017-05-27,0,False
2017-05-28,0,False
2017-05-29,33,False
2017-05-30,0,False
2017-05-31,31,False
2017-06-01,0,False
2017-06-02,34,False
2017-06-03,0,False
2017-06-04,36,False
2017-06-05,0,False
2017-06-06,0,False
2017-06-07,31,False
2017-06-08,0,False
2017-06-09,32,False
2017-06-10,0,False
2017-06-11,0,False
2017-06-12,0,False
2017-06-13,31,False
2017-06-14,0,False
2017-06-15,0,False
2017-06-16,0,False
2017-06-17,0,False
2017-06-18,0,False
2017-06-19,63,False
2017-06-20,30,False
2017-06-21,30,False
2017-06-22,61,False
2017-06-23,0,False
2017-06-24,0,False
2017-06-25,0,False
2017-06-26,0,False
2017-06-27,0,False
2017-06-28,0,False
2017-06-29,0,False
2017-06-30,0,False
2017-07-01,0,False
2017-07-02,0,False
2017-07-03,0,False
2017-07-04,0,False
2017-07-05,0,False
2017-07-06,33,False
2017-07-07,0,False
2017-07-08,0,False
2017-07-09,0,False
2017-07-10,0,False
2017-07-11,0,False
2017-07-12,0,False
