date,DLTR
2011-01-01,42
2011-01-02,0
2011-01-03,29
2011-01-04,28
2011-01-05,57
2011-01-06,58
2011-01-07,58
2011-01-08,35
2011-01-09,0
2011-01-10,46
2011-01-11,27
2011-01-12,27
2011-01-13,83
2011-01-14,28
2011-01-15,0
2011-01-16,33
2011-01-17,0
2011-01-18,27
2011-01-19,54
2011-01-20,27
2011-01-21,28
2011-01-22,100
2011-01-23,67
2011-01-24,40
2011-01-25,0
2011-01-26,0
2011-01-27,54
2011-01-28,29
2011-01-29,32
2011-01-30,32
2011-01-31,0
2011-02-01,0
2011-02-02,51
2011-02-03,26
2011-02-04,42
2011-02-05,0
2011-02-06,31
2011-02-07,78
2011-02-08,0
2011-02-09,0
2011-02-10,0
2011-02-11,28
2011-02-12,33
2011-02-13,32
2011-02-14,26
2011-02-15,26
2011-02-16,35
2011-02-17,27
2011-02-18,28
2011-02-19,33
2011-02-20,0
2011-02-21,35
2011-02-22,26
2011-02-23,53
2011-02-24,44
2011-02-25,41
2011-02-26,33
2011-02-27,48
2011-02-28,0
2011-03-01,26
2011-03-02,39
2011-03-03,27
2011-03-04,42
2011-03-05,0
2011-03-06,33
2011-03-07,27
2011-03-08,27
2011-03-09,39
2011-03-10,26
2011-03-11,27
2011-03-12,33
2011-03-13,32
2011-03-14,27
2011-03-15,52
2011-03-16,78
2011-03-17,53
2011-03-18,28
2011-03-19,64
2011-03-20,32
2011-03-21,0
2011-03-22,52
2011-03-23,26
2011-03-24,39
2011-03-25,0
2011-03-26,33
2011-03-27,32
2011-03-28,25
2011-03-29,77
2011-03-30,65
2011-03-31,39
2011-04-01,55
2011-04-02,34
2011-04-03,33
2011-04-04,52
2011-04-05,26
2011-04-06,26
2011-04-07,27
2011-04-08,28
2011-04-09,0
2011-04-10,33
2011-04-11,26
2011-04-12,0
2011-04-13,53
2011-04-14,27
2011-04-15,28
2011-04-16,0
2011-04-17,34
2011-04-18,0
2011-04-19,0
2011-04-20,27
2011-04-21,0
2011-04-22,31
2011-04-23,0
2011-04-24,36
2011-04-25,0
2011-04-26,26
2011-04-27,26
2011-04-28,26
2011-04-29,0
2011-04-30,67
2011-05-01,33
2011-05-02,26
2011-05-03,26
2011-05-04,26
2011-05-05,26
2011-05-06,28
2011-05-07,0
2011-05-08,33
2011-05-09,0
2011-05-10,26
2011-05-11,26
2011-05-12,26
2011-05-13,54
2011-05-14,32
2011-05-15,0
2011-05-16,50
2011-05-17,25
2011-05-18,51
2011-05-19,26
2011-05-20,54
2011-05-21,0
2011-05-22,0
2011-05-23,0
2011-05-24,51
2011-05-25,26
2011-05-26,39
2011-05-27,27
2011-05-28,0
2011-05-29,34
2011-05-30,27
2011-05-31,26
2011-06-01,26
2011-06-02,82
2011-06-03,55
2011-06-04,0
2011-06-05,0
2011-06-06,0
2011-06-07,25
2011-06-08,26
2011-06-09,26
2011-06-10,27
2011-06-11,33
2011-06-12,0
2011-06-13,0
2011-06-14,25
2011-06-15,0
2011-06-16,26
2011-06-17,81
2011-06-18,33
2011-06-19,0
2011-06-20,25
2011-06-21,50
2011-06-22,0
2011-06-23,40
2011-06-24,42
2011-06-25,0
2011-06-26,0
2011-06-27,52
2011-06-28,26
2011-06-29,26
2011-06-30,26
2011-07-01,0
2011-07-02,34
2011-07-03,34
2011-07-04,0
2011-07-05,26
2011-07-06,26
2011-07-07,26
2011-07-08,0
2011-07-09,0
2011-07-10,34
2011-07-11,52
2011-07-12,0
2011-07-13,52
2011-07-14,27
2011-07-15,28
2011-07-16,0
2011-07-17,33
2011-07-18,0
2011-07-19,26
2011-07-20,26
2011-07-21,52
2011-07-22,46
2011-07-23,0
2011-07-24,0
2011-07-25,26
2011-07-26,0
2011-07-27,26
2011-07-28,26
2011-07-29,0
2011-07-30,33
2011-07-31,33
2011-08-01,26
2011-08-02,35
2011-08-03,51
2011-08-04,0
2011-08-05,0
2011-08-06,0
2011-08-07,0
2011-08-08,33
2011-08-09,25
2011-08-10,0
2011-08-11,34
2011-08-12,0
2011-08-13,33
2011-08-14,0
2011-08-15,80
2011-08-16,26
2011-08-17,26
2011-08-18,52
2011-08-19,27
2011-08-20,0
2011-08-21,63
2011-08-22,37
2011-08-23,24
2011-08-24,25
2011-08-25,0
2011-08-26,0
2011-08-27,61
2011-08-28,30
2011-08-29,25
2011-08-30,33
2011-08-31,25
2011-09-01,25
2011-09-02,26
2011-09-03,0
2011-09-04,30
2011-09-05,0
2011-09-06,24
2011-09-07,24
2011-09-08,72
2011-09-09,50
2011-09-10,0
2011-09-11,29
2011-09-12,47
2011-09-13,47
2011-09-14,35
2011-09-15,36
2011-09-16,34
2011-09-17,0
2011-09-18,29
