date,DLTR
2012-01-26,0
2012-01-27,22
2012-01-28,25
2012-01-29,24
2012-01-30,0
2012-01-31,41
2012-02-01,40
2012-02-02,20
2012-02-03,32
2012-02-04,0
2012-02-05,24
2012-02-06,30
2012-02-07,30
2012-02-08,31
2012-02-09,41
2012-02-10,21
2012-02-11,24
2012-02-12,24
2012-02-13,20
2012-02-14,31
2012-02-15,0
2012-02-16,20
2012-02-17,32
2012-02-18,0
2012-02-19,37
2012-02-20,0
2012-02-21,21
2012-02-22,71
2012-02-23,21
2012-02-24,84
2012-02-25,25
2012-02-26,24
2012-02-27,40
2012-02-28,0
2012-02-29,0
2012-03-01,0
2012-03-02,0
2012-03-03,0
2012-03-04,25
2012-03-05,21
2012-03-06,50
2012-03-07,20
2012-03-08,21
2012-03-09,32
2012-03-10,0
2012-03-11,24
2012-03-12,40
2012-03-13,20
2012-03-14,0
2012-03-15,41
2012-03-16,0
2012-03-17,25
2012-03-18,24
2012-03-19,31
2012-03-20,20
2012-03-21,40
2012-03-22,21
2012-03-23,22
2012-03-24,25
2012-03-25,0
2012-03-26,20
2012-03-27,30
2012-03-28,41
2012-03-29,0
2012-03-30,44
2012-03-31,0
2012-04-01,25
2012-04-02,20
2012-04-03,21
2012-04-04,21
2012-04-05,0
2012-04-06,0
2012-04-07,26
2012-04-08,26
2012-04-09,48
2012-04-10,0
2012-04-11,40
2012-04-12,0
2012-04-13,21
2012-04-14,0
2012-04-15,0
2012-04-16,40
2012-04-17,40
2012-04-18,50
2012-04-19,20
2012-04-20,0
2012-04-21,24
2012-04-22,0
2012-04-23,20
2012-04-24,40
2012-04-25,40
2012-04-26,0
2012-04-27,21
2012-04-28,0
2012-04-29,0
2012-04-30,64
2012-05-01,66
2012-05-02,30
2012-05-03,30
2012-05-04,21
2012-05-05,0
2012-05-06,24
2012-05-07,20
2012-05-08,59
2012-05-09,20
2012-05-10,20
2012-05-11,21
2012-05-12,62
2012-05-13,61
2012-05-14,49
2012-05-15,29
2012-05-16,30
2012-05-17,83
2012-05-18,43
2012-05-19,51
2012-05-20,37
2012-05-21,39
2012-05-22,30
2012-05-23,30
2012-05-24,31
2012-05-25,21
2012-05-26,0
2012-05-27,0
2012-05-28,0
2012-05-29,49
2012-05-30,79
2012-05-31,20
2012-06-01,42
2012-06-02,25
2012-06-03,0
2012-06-04,20
2012-06-05,39
2012-06-06,40
2012-06-07,30
2012-06-08,21
2012-06-09,0
2012-06-10,24
2012-06-11,39
2012-06-12,78
2012-06-13,40
2012-06-14,20
2012-06-15,63
2012-06-16,0
2012-06-17,0
2012-06-18,49
2012-06-19,98
2012-06-20,20
2012-06-21,40
2012-06-22,32
2012-06-23,0
2012-06-24,0
2012-06-25,29
2012-06-26,30
2012-06-27,70
2012-06-28,40
2012-06-29,86
2012-06-30,100
2012-07-01,0
2012-07-02,100
2012-07-03,30
2012-07-04,42
2012-07-05,0
2012-07-06,42
2012-07-07,38
2012-07-08,25
2012-07-09,40
2012-07-10,30
2012-07-11,20
2012-07-12,41
2012-07-13,21
2012-07-14,0
2012-07-15,0
2012-07-16,20
2012-07-17,20
2012-07-18,20
2012-07-19,41
2012-07-20,43
2012-07-21,25
2012-07-22,0
2012-07-23,20
2012-07-24,30
2012-07-25,20
2012-07-26,21
2012-07-27,21
2012-07-28,0
2012-07-29,0
2012-07-30,20
2012-07-31,20
2012-08-01,20
2012-08-02,21
2012-08-03,0
2012-08-04,0
2012-08-05,25
2012-08-06,0
2012-08-07,20
2012-08-08,20
2012-08-09,21
2012-08-10,0
2012-08-11,25
2012-08-12,0
2012-08-13,30
2012-08-14,0
2012-08-15,21
2012-08-16,82
2012-08-17,86
2012-08-18,51
2012-08-19,0
2012-08-20,0
2012-08-21,40
2012-08-22,0
2012-08-23,0
2012-08-24,63
2012-08-25,24
2012-08-26,24
2012-08-27,20
2012-08-28,39
2012-08-29,29
2012-08-30,20
2012-08-31,21
2012-09-01,0
2012-09-02,0
2012-09-03,20
2012-09-04,19
2012-09-05,20
2012-09-06,20
2012-09-07,0
2012-09-08,0
2012-09-09,0
2012-09-10,19
2012-09-11,19
2012-09-12,19
2012-09-13,19
2012-09-14,0
2012-09-15,47
2012-09-16,23
2012-09-17,19
2012-09-18,19
2012-09-19,0
2012-09-20,19
2012-09-21,50
2012-09-22,24
2012-09-23,0
2012-09-24,57
2012-09-25,19
2012-09-26,0
2012-09-27,38
2012-09-28,82
2012-09-29,35
2012-09-30,0
2012-10-01,19
2012-10-02,57
2012-10-03,0
2012-10-04,0
2012-10-05,19
2012-10-06,45
2012-10-07,0
2012-10-08,0
2012-10-09,18
2012-10-10,0
2012-10-11,37
2012-10-12,40
