date,DLTR,isPartial
2012-06-04,35,False
2012-06-05,35,False
2012-06-06,0,False
2012-06-07,46,False
2012-06-08,19,False
2012-06-09,22,False
2012-06-10,0,False
2012-06-11,35,False
2012-06-12,35,False
2012-06-13,53,False
2012-06-14,27,False
2012-06-15,38,False
2012-06-16,22,False
2012-06-17,0,False
2012-06-18,17,False
2012-06-19,53,False
2012-06-20,71,False
2012-06-21,36,False
2012-06-22,19,False
2012-06-23,0,False
2012-06-24,0,False
2012-06-25,26,False
2012-06-26,44,False
2012-06-27,90,False
2012-06-28,100,False
2012-06-29,86,False
2012-06-30,23,False
2012-07-01,45,False
2012-07-02,45,False
2012-07-03,55,False
2012-07-04,0,False
2012-07-05,37,False
2012-07-06,48,False
2012-07-07,46,False
2012-07-08,0,False
2012-07-09,18,False
2012-07-10,18,False
2012-07-11,36,False
2012-07-12,18,False
2012-07-13,57,False
2012-07-14,45,False
2012-07-15,23,False
2012-07-16,36,False
2012-07-17,27,False
2012-07-18,18,False
2012-07-19,0,False
2012-07-20,19,False
2012-07-21,0,False
2012-07-22,0,False
2012-07-23,36,False
2012-07-24,18,False
2012-07-25,18,False
2012-07-26,18,False
2012-07-27,19,False
2012-07-28,0,False
2012-07-29,22,False
2012-07-30,18,False
2012-07-31,18,False
2012-08-01,36,False
2012-08-02,37,False
2012-08-03,0,False
2012-08-04,23,False
2012-08-05,22,False
2012-08-06,18,False
2012-08-07,18,False
2012-08-08,36,False
2012-08-09,0,False
2012-08-10,29,False
2012-08-11,45,False
2012-08-12,34,False
2012-08-13,46,False
2012-08-14,36,False
2012-08-15,19,False
2012-08-16,37,False
2012-08-17,68,False
2012-08-18,0,False
2012-08-19,0,False
2012-08-20,47,False
2012-08-21,55,False
2012-08-22,18,False
2012-08-23,0,False
2012-08-24,19,False
2012-08-25,0,False
2012-08-26,22,False
2012-08-27,35,False
2012-08-28,0,False
2012-08-29,18,False
2012-08-30,0,False
2012-08-31,0,False
2012-09-01,0,False
2012-09-02,0,False
2012-09-03,18,False
2012-09-04,0,False
2012-09-05,35,False
2012-09-06,18,False
2012-09-07,37,False
2012-09-08,0,False
2012-09-09,0,False
2012-09-10,17,False
2012-09-11,17,False
2012-09-12,34,False
2012-09-13,26,False
2012-09-14,0,False
2012-09-15,0,False
2012-09-16,0,False
2012-09-17,17,False
2012-09-18,17,False
2012-09-19,43,False
2012-09-20,17,False
2012-09-21,18,False
2012-09-22,0,False
2012-09-23,0,False
2012-09-24,17,False
2012-09-25,17,False
2012-09-26,17,False
2012-09-27,17,False
2012-09-28,55,False
2012-09-29,21,False
2012-09-30,0,False
2012-10-01,0,False
2012-10-02,17,False
2012-10-03,17,False
2012-10-04,17,False
2012-10-05,17,False
2012-10-06,0,False
2012-10-07,20,False
2012-10-08,17,False
2012-10-09,0,False
2012-10-10,17,False
2012-10-11,25,False
2012-10-12,26,False
2012-10-13,20,False
2012-10-14,0,False
2012-10-15,16,False
2012-10-16,24,False
2012-10-17,25,False
2012-10-18,42,False
2012-10-19,52,False
2012-10-20,20,False
2012-10-21,39,False
2012-10-22,16,False
2012-10-23,16,False
2012-10-24,16,False
2012-10-25,33,False
2012-10-26,26,False
2012-10-27,0,False
2012-10-28,0,False
2012-10-29,24,False
2012-10-30,0,False
2012-10-31,17,False
2012-11-01,17,False
2012-11-02,35,False
2012-11-03,20,False
2012-11-04,0,False
2012-11-05,32,False
2012-11-06,16,False
2012-11-07,32,False
2012-11-08,33,False
2012-11-09,17,False
2012-11-10,19,False
